Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
SVM_Linear,0.72453125,0.7246472091373483,0.6315608635815437,0.8097806200429213,0.7698655167050834,0.7741748165495816,0.6568364503046218,0.876897081426922,0.6842105263157895,0.6815625000000001,0.703125,0.66,0.7258064516129032,0.6346153846153846,0.7142857142857143,0.36154324828873674,0.22259388919694925,33,17,19,45,12.8,6.260990336999411
SVM_RBF,0.7228125,0.7231315949498447,0.6297370624310257,0.8103935532745353,0.795871206733347,0.7969515423530961,0.6997939725385752,0.8804733900336329,0.6842105263157895,0.6728125,0.765625,0.58,0.7,0.6590909090909091,0.7313432835820896,0.35022165927802407,0.2233641051731711,29,21,15,49,12.8,6.260990336999411
ExtraTrees,0.715625,0.7160939573642454,0.6192376308536568,0.8081639250527798,0.7851444514580088,0.7872213142413284,0.6780090707373887,0.877074008582261,0.7105263157894737,0.7159375,0.671875,0.76,0.7818181818181819,0.6440677966101694,0.7226890756302521,0.4235366227398101,0.23367593221380834,38,12,21,43,12.8,6.260990336999411
LogisticRegression,0.7053125,0.7057824766284332,0.6063724610145598,0.794663105867347,0.7396306756849418,0.7499691068850056,0.621186973293453,0.8611681010304705,0.6578947368421053,0.6603125000000001,0.640625,0.68,0.7192982456140351,0.5964912280701754,0.6776859504132231,0.3157894736842105,0.23198334477962776,34,16,23,41,12.8,6.260990336999411
RandomForest,0.7028124999999998,0.7037436386895887,0.6075608428967155,0.7965467155612246,0.7382427968191465,0.7501725176609059,0.6285664079574349,0.8642725589442468,0.6842105263157895,0.6815625000000001,0.703125,0.66,0.7258064516129032,0.6346153846153846,0.7142857142857143,0.36154324828873674,0.2220194304787701,33,17,19,45,12.8,6.260990336999411
LightGBM,0.6703125,0.6713775494908325,0.5692735566448801,0.7678192110177404,0.6954111951556375,0.7027910542365534,0.5753529654284365,0.8141408976425978,0.6140350877192983,0.6125,0.625,0.6,0.6666666666666666,0.5555555555555556,0.6451612903225806,0.2230483271375464,0.23266494939409368,30,20,24,40,12.8,6.260990336999411
XGBoost,0.665,0.6657389671209116,0.5629280625293596,0.757613855892832,0.7662845143294559,0.7685272765812368,0.6661002422491762,0.854501748586926,0.6140350877192983,0.6059375,0.671875,0.54,0.6515151515151515,0.5625,0.6615384615384615,0.2128060263653484,0.2742023384666676,27,23,21,43,12.8,6.260990336999411
KNN,0.651875,0.6534186480720534,0.5557094381313131,0.7467437778086763,0.7417099062955729,0.7442754339068672,0.6305897698278481,0.8385952026618843,0.5877192982456141,0.5803125,0.640625,0.52,0.6307692307692307,0.5306122448979592,0.6356589147286822,0.1609771374882556,0.2384836833838225,26,24,23,41,12.8,6.260990336999411
GradientBoosting,0.6482812500000001,0.6482782749126836,0.5455966697668105,0.7488996738215488,0.7349816387858045,0.7412425873869462,0.6200151083478982,0.8415712662461762,0.5877192982456141,0.578125,0.65625,0.5,0.6268656716417911,0.5319148936170213,0.6412213740458015,0.15728216420257946,0.23753327431663349,25,25,22,42,12.8,6.260990336999411
NaiveBayes,0.64140625,0.6421883341707877,0.538807457055178,0.7406959378733572,0.6536023331353399,0.6659905635590242,0.5328843728004533,0.7995819916151805,0.6228070175438597,0.5896875,0.859375,0.32,0.6179775280898876,0.64,0.7189542483660131,0.1897520661157025,0.35548357997007846,16,34,9,55,12.8,6.260990336999411
