fpr,tpr,threshold
0.0,0.0,inf
0.02,0.0,0.9999231637216965
0.02,0.171875,0.9281462076664042
0.04,0.171875,0.9194923639952313
0.04,0.203125,0.9056834444526233
0.06,0.203125,0.9011655234326387
0.06,0.21875,0.8878221956919155
0.1,0.21875,0.8739587816711478
0.1,0.296875,0.8189855957760094
0.12,0.296875,0.8109411139260669
0.12,0.34375,0.7949383788498997
0.14,0.34375,0.79282450128831
0.14,0.53125,0.6992993940128477
0.18,0.53125,0.6795580048043588
0.18,0.546875,0.6746343822248496
0.22,0.546875,0.6399275301571389
0.22,0.578125,0.6120447098475654
0.24,0.578125,0.6117960714647847
0.24,0.59375,0.610033755281169
0.26,0.59375,0.6046097002671085
0.26,0.609375,0.5722826150091107
0.28,0.609375,0.5632522945447244
0.28,0.625,0.5570527593804637
0.32,0.625,0.5358560107691115
0.32,0.640625,0.5264298740118677
0.36,0.640625,0.4772187851815495
0.36,0.703125,0.4377741457366571
0.38,0.703125,0.43397339555358366
0.38,0.75,0.42843471608725453
0.42,0.75,0.4236523266590774
0.42,0.765625,0.42324164366050426
0.44,0.765625,0.4161687414919083
0.44,0.78125,0.41162533435820486
0.46,0.78125,0.4045748719118059
0.46,0.796875,0.39795413911908023
0.58,0.796875,0.32502884625052175
0.58,0.8125,0.32463502182105536
0.6,0.8125,0.3193532630243451
0.6,0.828125,0.30811151169995965
0.7,0.828125,0.283014324160292
0.7,0.84375,0.27689060715739927
0.72,0.84375,0.2761893037404788
0.72,0.875,0.23868123897477717
0.8,0.875,0.19383846853364445
0.8,0.890625,0.19249227368371435
0.82,0.890625,0.174776125242797
0.82,0.90625,0.17124172548890987
0.86,0.90625,0.11437116037748044
0.86,0.921875,0.11129248084750398
0.9,0.921875,0.1029856058772936
0.9,0.984375,0.04555117595224008
0.94,0.984375,0.03384847070230464
0.94,1.0,0.026651501029472092
1.0,1.0,0.001808462556391472
