feature,variance,log10_variance
T2_Morph_Compactness1,2.4959191229249557e-05,-4.602769474120072
Post2_Morph_Compactness1,2.4959191229249557e-05,-4.602769474120072
Pre_Morph_Compactness1,2.4959191229249557e-05,-4.602769474120072
Post1_Morph_Compactness1,2.5008665729971155e-05,-4.601909460898482
Post2_GLSZM_SmallZoneLowGreyLevelEmphasis,0.00010764411693253602,-3.968009696627633
Pre_IH_RootMeanSquare_Intensity,0.00011472000212711786,-3.940360849837973
Post2_IH_RootMeanSquare_Intensity,0.00012635976515664178,-3.898391186478301
T2_GLSZM_SmallZoneLowGreyLevelEmphasis,0.00013229183926223922,-3.8784669421947315
T2_GLCM_NormalisedInverseDifferenceMoment,0.00013664339169684167,-3.8644113634932933
Post1_IH_RootMeanSquare_Intensity,0.00015529979238623244,-3.8088291220646084
Post1_GLSZM_SmallZoneLowGreyLevelEmphasis,0.00016896511219720122,-3.772202956392205
Post2_GLCM_NormalisedInverseDifferenceMoment,0.0002616385823742348,-3.582298210994048
Pre_GLCM_NormalisedInverseDifferenceMoment,0.00029265053320404676,-3.5336506787882835
Post1_GLCM_NormalisedInverseDifferenceMoment,0.0002959593834144205,-3.528767884667351
Pre_GLSZM_SmallZoneLowGreyLevelEmphasis,0.0003143567005152899,-3.502577276843655
T2_IH_RootMeanSquare_Intensity,0.0003765425376513272,-3.4241859537050785
Post2_NGTDM_Coarseness,0.00040699697937964256,-3.3904088129107097
Pre_NGTDM_Coarseness,0.00042618762299966733,-3.370399165852908
Post1_NGTDM_Coarseness,0.00046210214325963163,-3.335262016250901
T2_GLCM_NormalisedInverseDifference,0.0008152554361169987,-3.0887062961073646
T2_NGTDM_Coarseness,0.0008709178651599115,-3.0600228001650778
Post2_GLCM_NormalisedInverseDifference,0.0009908369899114932,-3.003997788270232
Post1_GLCM_NormalisedInverseDifference,0.001042069909085772,-2.9821031442360977
Pre_GLCM_NormalisedInverseDifference,0.0011081426409805903,-2.9554043328947537
Pre_GLCM_AngularSecondMoment,0.0015474921534271034,-2.8103715441156982
Pre_GLSZM_NormalisedGreyLevelNonUniformity,0.0015492843895131363,-2.8098688547430304
Pre_GLSZM_LowGrayLevelZoneEmphasis,0.0022932336068365727,-2.6395517021707704
Post2_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.0027651135798668737,-2.5582870247460385
Post2_GLSZM_LowGrayLevelZoneEmphasis,0.002851031789166364,-2.5449979401030767
T2_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.0029465406711869755,-2.5306875598006457
Pre_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.0034754749127158344,-2.4589858419188677
Post1_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.0037216657489023744,-2.4292626342926953
