Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LightGBM,0.731 ± 0.110,0.782 ± 0.131,0.709 ± 0.154,0.714 ± 0.140,0.745 ± 0.202,0.730 ± 0.231,0.718 ± 0.165,0.698 ± 0.194,9.200 ± 5.586
SVM_RBF,0.718 ± 0.090,0.758 ± 0.151,0.690 ± 0.112,0.704 ± 0.102,0.734 ± 0.163,0.758 ± 0.180,0.723 ± 0.110,0.649 ± 0.190,9.200 ± 5.586
RandomForest,0.712 ± 0.068,0.772 ± 0.091,0.634 ± 0.156,0.642 ± 0.160,0.678 ± 0.234,0.607 ± 0.221,0.629 ± 0.199,0.678 ± 0.177,9.200 ± 5.586
LogisticRegression,0.708 ± 0.065,0.772 ± 0.114,0.663 ± 0.083,0.675 ± 0.072,0.707 ± 0.167,0.734 ± 0.158,0.698 ± 0.094,0.616 ± 0.182,9.200 ± 5.586
SVM_Linear,0.705 ± 0.053,0.779 ± 0.110,0.675 ± 0.073,0.690 ± 0.060,0.730 ± 0.195,0.762 ± 0.200,0.709 ± 0.096,0.619 ± 0.230,9.200 ± 5.586
KNN,0.688 ± 0.136,0.728 ± 0.182,0.609 ± 0.100,0.604 ± 0.070,0.662 ± 0.165,0.576 ± 0.271,0.586 ± 0.196,0.631 ± 0.202,9.200 ± 5.586
NaiveBayes,0.676 ± 0.108,0.734 ± 0.119,0.549 ± 0.128,0.552 ± 0.152,0.623 ± 0.143,0.636 ± 0.280,0.588 ± 0.149,0.467 ± 0.302,9.200 ± 5.586
GradientBoosting,0.672 ± 0.074,0.720 ± 0.152,0.624 ± 0.085,0.616 ± 0.086,0.662 ± 0.161,0.609 ± 0.159,0.630 ± 0.144,0.622 ± 0.126,9.200 ± 5.586
ExtraTrees,0.660 ± 0.066,0.736 ± 0.131,0.602 ± 0.038,0.617 ± 0.042,0.675 ± 0.146,0.675 ± 0.190,0.641 ± 0.060,0.560 ± 0.227,9.200 ± 5.586
XGBoost,0.623 ± 0.135,0.701 ± 0.178,0.604 ± 0.135,0.598 ± 0.143,0.660 ± 0.259,0.531 ± 0.205,0.580 ± 0.201,0.664 ± 0.214,9.200 ± 5.586
