Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post2_IH_IntensityHistogramMode_Intensity
1,2,ADC_GLSZM_GreyLevelVariance
1,3,ADC_IH_IntensityHistogramMedian_Intensity
1,4,Post2_Morph_Compactness1
1,5,T2_GLCM_ClusterShade
1,6,Pre_NGTDM_Complexity
1,7,T2_GLSZM_NormalisedZoneSizeNonUniformity
1,8,Pre_GLCM_Correlation
1,9,Post2_Morph_Sphericity
1,10,ADC_IB_MedianIntensity
1,11,T2_IB_IntensityBasedEnergy
1,12,Post2_GLRLM_ShortRunHighGreyLevelEmphasis
1,13,Pre_Morph_Compactness1
1,14,Pre_GLCM_Autocorrelation
1,15,Post2_GLSZM_ZonePercentage
1,16,T2_Morph_Compactness1
1,17,Post2_GLCM_Autocorrelation
1,18,Post2_Morph_Compactness2
2,1,Post2_Morph_Compactness2
2,2,Post2_IH_IntensityHistogramMode_Intensity
2,3,ADC_GLSZM_GreyLevelVariance
2,4,Pre_GLCM_ClusterProminence
2,5,ADC_IH_IntensityHistogramMedian_Intensity
2,6,T2_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm
3,1,Post2_Morph_Compactness1
3,2,Post2_GLCM_Autocorrelation
3,3,ADC_IH_IntensityHistogramMedian_Intensity
3,4,T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
3,5,Pre_GLCM_ClusterProminence
3,6,T2_GLCM_ClusterShade
3,7,Post2_Morph_Compactness2
3,8,Pre_GLCM_Correlation
3,9,Post2_GLSZM_HighGrayLevelZoneEmphasis
3,10,Pre_Morph_Compactness1
3,11,Pre_GLCM_ClusterTendency
3,12,Pre_IH_MaximumHistogramGradient_Intensity
3,13,ADC_IB_MedianIntensity
3,14,T2_Morph_Compactness1
3,15,Post2_GLRLM_HighGreyLevelRunEmphasis
3,16,ADC_IH_IntensityHistogramStd_Intensity
3,17,Pre_Morph_Compactness2
3,18,Pre_GLCM_Autocorrelation
4,1,Pre_GLCM_InverseDifference
4,2,ADC_GLCM_ClusterTendency
4,3,Post2_IH_IntensityHistogramMode_Intensity
4,4,ADC_IH_IntensityHistogramMedian_Intensity
4,5,Post2_Morph_Sphericity
4,6,T2_GLCM_ClusterShade
4,7,T2_GLSZM_SmallZoneLowGreyLevelEmphasis
4,8,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist
4,9,Post2_GLSZM_HighGrayLevelZoneEmphasis
4,10,Pre_Morph_Sphericity
4,11,ADC_IB_MedianIntensity
4,12,ADC_IH_IntensityHistogramStd_Intensity
4,13,Pre_GLCM_Autocorrelation
4,14,Pre_GLCM_Correlation
4,15,Post2_GLRLM_HighGreyLevelRunEmphasis
4,16,T2_Morph_Sphericity
4,17,Pre_GLCM_InverseDifferenceMoment
4,18,ADC_IB_StandardDeviation
5,1,ADC_IB_MedianIntensity
5,2,Post2_IH_IntensityHistogramMode_Intensity
5,3,Pre_IH_MaximumHistogramGradient_Intensity
5,4,T2_GLCM_SumVariance
5,5,Pre_GLCM_Correlation
5,6,Pre_IH_MinimumHistogramGradientGreyLevel_Intensity
