,KNN,SVM_RBF,SVM_Linear,NaiveBayes,RandomForest,LogisticRegression,ExtraTrees,LightGBM,XGBoost,GradientBoosting
KNN,0.0,0.45170010293509427,0.5899474079355836,1.097763253167686,1.5924230981985599,0.6335377126021834,2.0822356192252442,3.2663652435039303,3.0052048260967723,3.8721598269734905
SVM_RBF,-0.45170010293509427,0.0,0.45322394166040814,1.1193502635968815,1.3533267033942469,0.5351708688117796,3.083359872348403,3.0473335175966527,2.8256049782195953,3.5540936304231505
SVM_Linear,-0.5899474079355836,-0.45322394166040814,0.0,0.9902473917625357,0.8703810861171102,0.05430136753719816,2.078565168512391,2.9102537133385256,2.3654006404857184,3.1995774608243486
NaiveBayes,-1.097763253167686,-1.1193502635968815,-0.9902473917625357,0.0,-0.1715057943034387,-0.9826298971216444,0.2627923086554619,1.5107401922922805,1.1033068255272793,1.7193836188398315
RandomForest,-1.5924230981985599,-1.3533267033942469,-0.8703810861171102,0.1715057943034387,0.0,-0.8643731201970728,0.8916951712749318,2.497286215355539,2.205839007751711,2.903271589630497
LogisticRegression,-0.6335377126021834,-0.5351708688117796,-0.05430136753719816,0.9826298971216444,0.8643731201970728,0.0,1.9835031137396175,2.8988865049270856,2.4563100814605794,3.103009595457538
ExtraTrees,-2.0822356192252442,-3.083359872348403,-2.078565168512391,-0.2627923086554619,-0.8916951712749318,-1.9835031137396175,0.0,1.841936354059859,1.319972535983203,2.2768526555353827
LightGBM,-3.2663652435039303,-3.0473335175966527,-2.9102537133385256,-1.5107401922922805,-2.497286215355539,-2.8988865049270856,-1.841936354059859,0.0,-0.817345474168072,0.2611931244147751
XGBoost,-3.0052048260967723,-2.8256049782195953,-2.3654006404857184,-1.1033068255272793,-2.205839007751711,-2.4563100814605794,-1.319972535983203,0.817345474168072,0.0,1.1085426170071
GradientBoosting,-3.8721598269734905,-3.5540936304231505,-3.1995774608243486,-1.7193836188398315,-2.903271589630497,-3.103009595457538,-2.2768526555353827,-0.2611931244147751,-1.1085426170071,0.0
