Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm
1,2,Morph_Compactness2
1,3,GLCM_JointMaximum
1,4,GLCM_Autocorrelation
1,5,IH_IntensityHistogramMinimumGreyLevel_Intensity
1,6,GLSZM_LargeZoneHighGreyLevelEmphasis
1,7,GLCM_InverseVariance
1,8,IH_IntensityHistogramMode_Intensity
1,9,Morph_Asphericity
1,10,Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
1,11,IB_IntensityBasedQuartileCoefficientOfDispersion
1,12,GLSZM_LargeZoneEmphasis
1,13,Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist
1,14,Morph_SphericalDisproportion
1,15,GLRLM_ShortRunHighGreyLevelEmphasis
1,16,GLSZM_LargeZoneLowGreyLevelEmphasis
1,17,GLRLM_RunLengthNonUniformity
1,18,Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist
2,1,IH_IntensityHistogramMode_Intensity
2,2,IH_MinimumHistogramGradientGreyLevel_Intensity
2,3,GLSZM_LargeZoneLowGreyLevelEmphasis
2,4,Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
2,5,Morph_Asphericity
2,6,GLCM_InverseVariance
2,7,GLCM_Correlation
2,8,GLCM_SumAverage
2,9,Morph_IntegratedIntensity_Intensity
2,10,IH_IntensityHistogramMinimumGreyLevel_Intensity
2,11,GLCM_JointAverage
2,12,IB_IntensityBasedQuartileCoefficientOfDispersion
2,13,Morph_Sphericity
2,14,GLRLM_LongRunLowGreyLevelEmphasis
2,15,Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm
2,16,GLRLM_LongRunHighGreyLevelEmphasis
3,1,IH_IntensityHistogramMode_Intensity
3,2,GLRLM_HighGreyLevelRunEmphasis
3,3,Morph_SphericalDisproportion
3,4,Morph_Asphericity
4,1,IH_IntensityHistogramMode_Intensity
4,2,Morph_Compacity
4,3,IH_MinimumHistogramGradientGreyLevel_Intensity
4,4,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
4,5,IB_IntensityBasedEnergy
4,6,IB_25thIntensityPercentile
4,7,Morph_SphericalDisproportion
4,8,GLCM_Contrast
4,9,Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
4,10,Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm
4,11,GLRLM_LongRunLowGreyLevelEmphasis
4,12,IH_MinimumHistogramGradient_Intensity
4,13,GLCM_ClusterShade
4,14,Morph_Asphericity
4,15,GLCM_Correlation
4,16,GLRLM_LongRunHighGreyLevelEmphasis
4,17,IB_IntensityBasedQuartileCoefficientOfDispersion
4,18,GLRLM_LowGreyLevelRunEmphasis
5,1,GLRLM_HighGreyLevelRunEmphasis
5,2,GLCM_Contrast
5,3,Morph_Sphericity
5,4,Morph_Compactness1
