feature,n_valid,mean_benign,mean_malignant,median_benign,median_malignant,shapiro_p_benign,shapiro_p_malignant,normal_in_both_classes,correlation_method,correlation_coefficient,correlation_p_value,class_difference_test,class_difference_stat,class_difference_p_value,cohen_d_malignant_minus_benign,correlation_q_value_fdr,class_difference_q_value_fdr
Morph_Compacity,116,15.728989233461537,17.704628106406247,15.726982465,16.585598315,0.0010829986963688063,1.984687426747525e-09,False,Spearman,0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,1008.0,0.0002737284188392355,0.6378756988849605,0.004638464830545518,0.006615103455281524
Morph_Compactness1,116,0.03634802075,0.032927488656250004,0.035873995000000006,0.034016855,0.11165883572643799,0.00024689234747103764,False,Spearman,-0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,2320.0,0.0002737284188392355,-0.7210643797471611,0.004638464830545518,0.006615103455281524
Morph_Compactness2,116,0.47530719596153853,0.39468986442187504,0.4572585355,0.4111410155,0.13282825113169044,0.04828126372172547,False,Spearman,-0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,2320.0,0.0002737284188392355,-0.7389273111251152,0.004638464830545518,0.006615103455281524
Morph_SphericalDisproportion,116,1.2961438251153845,1.398652072421875,1.298014273,1.344837914,0.003207664406064054,1.163309040299454e-08,False,Spearman,0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,1008.0,0.0002737284188392355,0.6557458698624551,0.004638464830545518,0.006615103455281524
Morph_Sphericity,116,0.7760757611153847,0.72540617334375,0.7704076195,0.743584215,0.07559512944498646,3.205003774912215e-05,False,Spearman,-0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,2320.0,0.0002737284188392355,-0.711589713721122,0.004638464830545518,0.006615103455281524
Morph_Asphericity,116,0.2961438251153847,0.398652072421875,0.298014273,0.34483791399999997,0.003207664406064127,1.1633090402994413e-08,False,Spearman,0.3395947382213044,0.0001919364757467111,Mann_Whitney_U,1008.0,0.0002737284188392355,0.6557458698624544,0.004638464830545518,0.006615103455281524
IB_MaximumIntensity,116,519.1028926538461,644.7031657765625,502.000473,625.5,0.14384013555573447,0.8897083028863806,True,Pearson_point_biserial_equivalent,0.2981979423508997,0.0011491576109082552,Welch_t_test,-3.3514405403195258,0.0010996579857984667,0.622754145252324,0.00926350365463105,0.010561186726527644
IB_IntensityRange,116,494.6843163557692,628.6518423265625,496.0,621.0600271000001,0.26889710742549416,0.9393415446504828,True,Pearson_point_biserial_equivalent,0.30490083603107654,0.0008749374180822692,Welch_t_test,-3.4294534203829197,0.0008511411758152304,0.6381697861813888,0.00926350365463105,0.010561186726527644
IH_IntensityHistogramMode_Intensity,116,10.807692307692308,16.078125,11.5,16.0,0.013057756818626602,0.26619048850622956,False,Spearman,0.3027384886852357,0.0009560468838148025,Mann_Whitney_U,1080.0,0.0011797590745633228,0.6648139245433723,0.00926350365463105,0.010561186726527644
IH_IntensityHistogramRange_Intensity,116,22.653846153846153,28.703125,22.5,28.5,0.2283140589155437,0.848309222374905,True,Pearson_point_biserial_equivalent,0.3000276573530075,0.0010674210972415525,Welch_t_test,-3.368201920938705,0.0010425410907321726,0.6269520349417,0.00926350365463105,0.010561186726527644
IH_IntensityHistogramEntropyLog10_Intensity,116,1.1121103883269232,1.271903183671875,1.179214776,1.3039251649999999,0.0011739192408634794,0.00011599197213737389,False,Spearman,0.29818074575529174,0.0011499521778162683,Mann_Whitney_U,1088.0,0.0013990036428303415,0.61041421053223,0.00926350365463105,0.010561186726527644
IH_IntensityHistogramEntropyLog2_Intensity,116,3.6943507436346152,4.22517091984375,3.9172666945000003,4.3315456405,0.0011739192582430056,0.0001159919699983538,False,Spearman,0.29818074575529174,0.0011499521778162683,Mann_Whitney_U,1088.0,0.0013990036428303415,0.6104142105558684,0.00926350365463105,0.010561186726527644
IH_Uniformity_Intensity,116,0.12975411403846152,0.07766439884375,0.086194325,0.0577011395,6.72832519679131e-10,2.0384098165035343e-11,False,Spearman,-0.3142286678358716,0.0005922591618816852,Mann_Whitney_U,2271.0,0.0007600410088861372,-0.5138171665528791,0.00926350365463105,0.010561186726527644
GLCM_JointMaximum,116,0.10248704176923076,0.044704201703125,0.04503518250000001,0.02125754,2.1336615512216542e-10,3.951146571232704e-12,False,Spearman,-0.31060494349509554,0.0006902421314248749,Mann_Whitney_U,2264.0,0.0008744323069913815,-0.5234576356215347,0.00926350365463105,0.010561186726527644
GLCM_JointEntropyLog2,116,6.799743306057692,7.8134352205625,7.1889741925,8.015249536499999,0.0021075646892150333,0.0002772553692733663,False,Spearman,0.29869842066111685,0.0011262512595102774,Mann_Whitney_U,1087.0,0.0013723318123044386,0.6079676954388818,0.00926350365463105,0.010561186726527644
GLCM_JointEntropyLog10,116,2.0469266979230767,2.352078370546875,2.16409687,2.412830533,0.0021075646892687694,0.0002772553696956396,False,Spearman,0.29869842066111685,0.0011262512595102774,Mann_Whitney_U,1087.0,0.0013723318123044386,0.6079676954151629,0.00926350365463105,0.010561186726527644
