Feature_Name,Selection_Count,Selection_Frequency,Selected_As_Stable
Morph_Volume_cm3,5,1.0,True
GLCM_AngularSecondMoment,5,1.0,True
IH_IntensityHistogramMode_Intensity,5,1.0,True
Morph_Sphericity,4,0.8,True
Morph_Compactness1,4,0.8,True
GLCM_Correlation,3,0.6,True
GLCM_SumVariance,3,0.6,True
GLCM_InverseVariance,3,0.6,True
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,3,0.6,True
IH_AreaUnderCurveCIVH_Intensity,3,0.6,True
GLCM_NormalisedInverseDifferenceMoment,3,0.6,True
Morph_Compactness2,2,0.4,True
GLCM_SumAverage,2,0.4,True
IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2,False
GLCM_DifferenceVariance,1,0.2,False
GLRLM_HighGreyLevelRunEmphasis,1,0.2,False
IH_Uniformity_Intensity,1,0.2,False
GLCM_InverseDifferenceMoment,1,0.2,False
GLRLM_ShortRunHighGreyLevelEmphasis,1,0.2,False
GLCM_NormalisedInverseDifference,1,0.2,False
GLCM_InverseDifference,1,0.2,False
GLCM_Dissimilarity,1,0.2,False
