Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
SVM_RBF,XGBoost,0.75103550295858,0.6282544378698225,0.12278106508875752,3.427959567815884,0.0006081360247660109,✓,✓,0.02736612111447049,✓
LogisticRegression,XGBoost,0.7571005917159763,0.6282544378698225,0.12884615384615383,3.3831060463573217,0.000716709517059084,✓,✓,0.032251928267658776,✓
LogisticRegression,LightGBM,0.7571005917159763,0.6269230769230769,0.1301775147928994,3.339111947101218,0.0008404668658227898,✓,✓,0.03782100896202554,✓
SVM_RBF,LightGBM,0.75103550295858,0.6269230769230769,0.1241124260355031,3.2145241982319606,0.0013066090146107018,✓,✓,0.05879740565748158,✗
SVM_Linear,XGBoost,0.7468934911242604,0.6282544378698225,0.11863905325443791,3.0736401117545262,0.002114643621926061,✓,✓,0.09515896298667274,✗
SVM_RBF,RandomForest,0.75103550295858,0.6511834319526628,0.0998520710059172,3.011715290958589,0.0025977611856967645,✓,✓,0.1168992533563544,✗
SVM_Linear,LightGBM,0.7468934911242604,0.6269230769230769,0.11997041420118348,3.0061434608801054,0.002645841359704367,✓,✓,0.11906286118669651,✗
LogisticRegression,RandomForest,0.7571005917159763,0.6511834319526628,0.1059171597633135,2.8685272400054087,0.004123876862052813,✓,✓,0.18557445879237658,✗
GradientBoosting,XGBoost,0.7316568047337277,0.6282544378698225,0.10340236686390525,2.787519791053817,0.005311320991957003,✓,✓,0.23900944463806514,✗
SVM_Linear,RandomForest,0.7468934911242604,0.6511834319526628,0.09571005917159758,2.64104808704611,0.008264998756895604,✓,✓,0.3719249440603022,✗
GradientBoosting,LightGBM,0.7316568047337277,0.6269230769230769,0.10473372781065082,2.550668790671865,0.010751644762166435,✓,✗,0.4838240142974896,✗
SVM_RBF,ExtraTrees,0.75103550295858,0.672189349112426,0.07884615384615401,2.4181575023074786,0.015599323075987189,✓,✗,0.7019695384194234,✗
LogisticRegression,ExtraTrees,0.7571005917159763,0.672189349112426,0.08491124260355032,2.183256572963815,0.02901692068461785,✓,✗,1.0,✗
GradientBoosting,RandomForest,0.7316568047337277,0.6511834319526628,0.08047337278106492,2.1681659028132683,0.030146066082362147,✓,✗,1.0,✗
