Fold,Feature_Rank_in_Fold,Feature_Name
1,1,IH_MinimumHistogramGradientGreyLevel_Intensity
1,2,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
1,3,GLSZM_NormalisedZoneSizeNonUniformity
1,4,GLCM_ClusterShade
1,5,Morph_Compacity
1,6,Morph_CentreOfMassShift_mm
1,7,IH_IntensityHistogramMedian_Intensity
1,8,Morph_Asphericity
1,9,GLSZM_LargeZoneLowGreyLevelEmphasis
1,10,GLSZM_LargeZoneHighGreyLevelEmphasis
2,1,GLCM_JointMaximum
2,2,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
2,3,GLCM_ClusterShade
2,4,IH_IntensityHistogramMinimumGreyLevel_Intensity
2,5,GLRLM_LongRunLowGreyLevelEmphasis
2,6,IB_TotalLesionGlycolysis
2,7,Morph_Asphericity
2,8,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
2,9,IB_MinimumIntensity
2,10,GLCM_JointVariance
2,11,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
2,12,GLSZM_GreyLevelNonUniformity
2,13,GLRLM_LongRunsEmphasis
2,14,Morph_Compactness1
2,15,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
2,16,GLCM_Correlation
2,17,IB_50thIntensityPercentile
2,18,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist
3,1,IH_IntensityHistogram75thPercentile
3,2,GLSZM_NormalisedZoneSizeNonUniformity
3,3,Morph_SphericalDisproportion
3,4,GLCM_ClusterShade
3,5,Morph_Asphericity
3,6,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
3,7,Morph_IntegratedIntensity_Intensity
3,8,IH_MinimumHistogramGradientGreyLevel_Intensity
3,9,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist
3,10,Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
3,11,GLSZM_NormalisedGreyLevelNonUniformity
3,12,GLSZM_ZoneSizeVariance
4,1,IH_IntensityHistogramMinimumGreyLevel_Intensity
4,2,Morph_Asphericity
4,3,GLSZM_SmallZoneLowGreyLevelEmphasis
4,4,Morph_SphericalDisproportion
5,1,GLCM_NormalisedInverseDifference
5,2,GLSZM_NormalisedZoneSizeNonUniformity
5,3,GLCM_ClusterShade
5,4,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
5,5,Morph_Sphericity
5,6,Morph_SurfaceArea_cm2
