Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
ADC_Post1_Post2,ADC,Post1,Post2,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,LogisticRegression,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7773015873015873,0.7868253968253968,0.00952380952380949,0.073696961446726,0.0724679232434526,-0.0012290382032733999,0.7565079365079365,0.7660317460317461,0.009523809523809601,0.8283830077799191,0.8292216714668801,0.0008386636869609498,0.80910013080489,0.8143951537541139,0.005295022949223904,0.6887698412698413,0.6944444444444444,0.00567460317460311,0.6774603174603174,0.6933333333333334,0.015873015873015928,0.6919786096256685,0.7118416347381864,0.019863025112517918,0.6837606837606838,0.7058823529411765,0.022121669180492742,10.4,10.4,0.0,38,38,0
ADC_Post1_Post2,ADC,Post1,Post2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,LogisticRegression,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7951587301587301,0.7971031746031746,0.0019444444444445264,0.0799874013763215,0.0754809054992462,-0.0045064958770753005,0.7587301587301587,0.7904761904761903,0.03174603174603163,0.8343374787537441,0.8365358301840746,0.0021983514303305363,0.7888610417875377,0.8405974757837662,0.051736433996228515,0.7360714285714286,0.7261904761904763,-0.009880952380952324,0.7147619047619047,0.7192063492063492,0.004444444444444473,0.7757066935042463,0.7481845402737898,-0.02752215323045648,0.7669172932330827,0.7333333333333333,-0.03358395989974938,7.6,7.6,0.0,22,22,0
ADC_Post1_Post2,ADC,Post1,Post2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,SVM_RBF,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7864285714285714,0.7837698412698414,-0.0026587301587299716,0.053635998711432,0.0699129772575512,0.016276978546119203,0.72,0.76,0.040000000000000036,0.8313475418760955,0.8383440077417299,0.006996465865634405,0.7548024412830032,0.8191333968718876,0.06433095558888435,0.6870238095238095,0.7244047619047619,0.037380952380952404,0.6812698412698412,0.7033333333333334,0.02206349206349212,0.704940148087207,0.7129019129019128,0.007961764814705896,0.7049180327868853,0.711864406779661,0.006946373992775756,7.6,7.6,0.0,29,29,0
ADC_Post1_Pre,ADC,Post1,Pre,corr_mrmr_auto_k,corr_mrmr,SVM_Linear,SVM_Linear,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7133730158730158,0.7189285714285714,0.005555555555555536,0.075897004243991,0.0755932695656704,-0.0003037346783205941,0.6479365079365079,0.6771428571428572,0.029206349206349236,0.7951707587150831,0.7951901328260466,1.9374110963421565e-05,0.6973153449386245,0.7219283235181557,0.024612978579531264,0.6092460317460316,0.6229761904761906,0.013730158730158926,0.5792063492063492,0.5995238095238096,0.0203174603174604,0.6598249158249159,0.637444394685774,-0.022380521139141907,0.6567164179104478,0.6341463414634146,-0.022570076447033127,12.0,12.0,0.0,46,46,0
ADC_Post1_Pre,ADC,Post1,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_Linear,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.8364682539682541,0.8234920634920634,-0.012976190476190697,0.0879537688635002,0.0795087588330149,-0.008445010030485298,0.7987301587301587,0.8012698412698414,0.0025396825396826195,0.8786296727070168,0.8680744829673033,-0.010555189739713478,0.8316093387127443,0.8326408228945072,0.0010314841817629095,0.7353571428571428,0.7233333333333334,-0.012023809523809437,0.7130158730158731,0.7133333333333334,0.0003174603174602719,0.7512814645308924,0.7209199321907673,-0.030361532340125064,0.746031746031746,0.717948717948718,-0.028083028083028094,9.6,9.6,0.0,28,28,0
ADC_Post1_Pre,ADC,Post1,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_Linear,LogisticRegression,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7727777777777777,0.7697619047619048,-0.0030158730158729163,0.0958924609735017,0.11620749723536,0.020315036261858307,0.7174603174603174,0.7498412698412698,0.0323809523809524,0.817906758612604,0.8237562820420763,0.005849523429472314,0.7807110505365062,0.8166272127600451,0.03591616222353888,0.7244444444444446,0.6850396825396826,-0.03940476190476194,0.690952380952381,0.6733333333333333,-0.017619047619047645,0.7449273049999003,0.689925863610074,-0.05500144138982632,0.7384615384615385,0.6942148760330579,-0.04424666242848063,8.8,8.8,0.0,33,33,0
ADC_Post1_T2,ADC,Post1,T2,corr_mrmr_auto_k,corr_mrmr,KNN,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7320833333333333,0.7224999999999999,-0.009583333333333388,0.0622533429624668,0.0842737563633532,0.022020413400886403,0.7323809523809524,0.7079365079365079,-0.02444444444444449,0.7645749969558018,0.7568002075463391,-0.007774789409462635,0.7435797857950085,0.7338422648349625,-0.009737520960045987,0.6836111111111111,0.6967063492063492,0.01309523809523816,0.6926984126984127,0.6753968253968254,-0.017301587301587262,0.7540350877192983,0.6981070653484446,-0.0559280223708537,0.7591240875912408,0.6890756302521008,-0.07004845733914,11.6,11.6,0.0,39,39,0
ADC_Post1_T2,ADC,Post1,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,LogisticRegression,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7602579365079365,0.753968253968254,-0.0062896825396825395,0.1377159313680973,0.1581455504184609,0.020429619050363612,0.7174603174603175,0.7653968253968254,0.047936507936507944,0.811952314629105,0.8279338086574111,0.015981494028306065,0.7999321180156695,0.8359820539337195,0.03604993591804995,0.652063492063492,0.7080952380952382,0.05603174603174621,0.6312698412698412,0.6953968253968255,0.06412698412698425,0.6712833403155983,0.6894811156271257,0.01819777531152733,0.6771653543307087,0.7008547008547008,0.023689346523992127,5.6,5.6,0.0,19,19,0
ADC_Post1_T2,ADC,Post1,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,GradientBoosting,SVM_RBF,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote,0.7560912698412698,0.7481746031746032,-0.007916666666666683,0.1077224476344824,0.0983780020762619,-0.00934444555822049,0.7179365079365079,0.7298412698412697,0.011904761904761862,0.8262035352300785,0.8172677876914202,-0.008935747538658334,0.8035949590134506,0.7961348556736856,-0.00746010333976499,0.6609126984126984,0.7273412698412699,0.0664285714285715,0.6253968253968254,0.7012698412698413,0.07587301587301587,0.6653374890216995,0.7228597285067873,0.05752223948508772,0.6612903225806451,0.7166666666666667,0.055376344086021545,5.6,5.6,0.0,22,22,0
ADC_Post2_Pre,ADC,Post2,Pre,corr_mrmr_auto_k,corr_mrmr,ExtraTrees,ExtraTrees,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote,0.7091610914338187,0.6584897160256011,-0.050671375408217534,0.1257999333807151,0.0989926676014999,-0.026807265779215203,0.5925000000000001,0.56625,-0.026250000000000107,0.7867957078435247,0.7598029933643975,-0.02699271447912721,0.7253284682772752,0.6797348124872228,-0.04559365579005237,0.6141799574694311,0.5931842864737601,-0.020995670995671012,0.5856250000000001,0.5678125,-0.01781250000000001,0.5860076277650649,0.5688547008547008,-0.017152926910364075,0.5862068965517241,0.5689655172413793,-0.01724137931034475,11.2,11.2,0.0,43,43,0
