fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015873015873015872,0.9918105006217957
0.02,0.015873015873015872,0.9805012941360474
0.02,0.06349206349206349,0.9706525206565857
0.04,0.06349206349206349,0.9631280899047852
0.04,0.07936507936507936,0.9582106471061707
0.06,0.07936507936507936,0.9556673169136047
0.06,0.15873015873015872,0.9352903366088867
0.08,0.15873015873015872,0.9315797090530396
0.08,0.2698412698412698,0.9037177562713623
0.1,0.2698412698412698,0.9034870266914368
0.1,0.3333333333333333,0.8516250252723694
0.12,0.3333333333333333,0.8407137989997864
0.12,0.38095238095238093,0.7995345592498779
0.2,0.38095238095238093,0.7415671944618225
0.2,0.42857142857142855,0.7234863638877869
0.22,0.42857142857142855,0.7165672183036804
0.22,0.4444444444444444,0.7083811163902283
0.26,0.4444444444444444,0.6989964246749878
0.26,0.47619047619047616,0.6589969396591187
0.28,0.47619047619047616,0.6472985148429871
0.28,0.49206349206349204,0.6449756026268005
0.3,0.49206349206349204,0.6328840255737305
0.3,0.5079365079365079,0.6165555715560913
0.34,0.5079365079365079,0.6078217625617981
0.34,0.5714285714285714,0.5722351670265198
0.38,0.5714285714285714,0.5702641606330872
0.38,0.6190476190476191,0.5214564204216003
0.46,0.6190476190476191,0.47988179326057434
0.46,0.6349206349206349,0.45818597078323364
0.5,0.6349206349206349,0.4499337375164032
0.5,0.6666666666666666,0.4415878653526306
0.52,0.6666666666666666,0.4408761262893677
0.52,0.7301587301587301,0.4143371880054474
0.54,0.7301587301587301,0.3941323757171631
0.54,0.7619047619047619,0.34764522314071655
0.58,0.7619047619047619,0.33655601739883423
0.58,0.7777777777777778,0.3335542678833008
0.6,0.7777777777777778,0.328643798828125
0.6,0.7936507936507936,0.3248819410800934
0.62,0.7936507936507936,0.31864026188850403
0.62,0.8253968253968254,0.29801052808761597
0.66,0.8253968253968254,0.2741987705230713
0.66,0.8412698412698413,0.2668376564979553
0.72,0.8412698412698413,0.24323447048664093
0.72,0.8571428571428571,0.22256214916706085
0.74,0.8571428571428571,0.2198849618434906
0.74,0.873015873015873,0.218601793050766
0.76,0.873015873015873,0.21260273456573486
0.76,0.9206349206349206,0.18897777795791626
0.8,0.9206349206349206,0.15269190073013306
0.8,0.9365079365079365,0.12602300941944122
0.82,0.9365079365079365,0.10703027993440628
0.82,0.9523809523809523,0.08994464576244354
0.86,0.9523809523809523,0.08234754204750061
0.86,0.9682539682539683,0.0796547681093216
0.9,0.9682539682539683,0.06094031035900116
0.9,0.9841269841269841,0.05966297909617424
0.92,0.9841269841269841,0.05591791495680809
0.92,1.0,0.046465881168842316
1.0,1.0,0.02279098890721798
