Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LogisticRegression,0.7355371900826446,0.6363636363636364,0.6363636363636364,0.7992994305160082,0.6153846153846154,0.7272727272727273,0.6666666666666666,0.5454545454545454,0.6756666666666666
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_RBF,0.6942148760330579,0.6363636363636364,0.6363636363636364,0.7786976911976913,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6506666666666666
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_Linear,0.7272727272727273,0.6818181818181818,0.6818181818181819,0.8029843893480257,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.6363636363636364,0.6320769230769231
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",RandomForest,0.6198347107438016,0.6363636363636364,0.6363636363636364,0.7382395382395384,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7506666666666667
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",GradientBoosting,0.7190082644628099,0.6363636363636364,0.6363636363636364,0.8010618122847226,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7301538461538462
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",ExtraTrees,0.71900826446281,0.6818181818181818,0.6818181818181819,0.7889002810055441,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.6363636363636364,0.7256666666666667
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",KNN,0.5247933884297521,0.5454545454545454,0.5454545454545454,0.5452380952380952,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7173333333333334
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",NaiveBayes,0.7272727272727273,0.45454545454545453,0.45454545454545453,0.7871241058406835,0.47619047619047616,0.9090909090909091,0.625,0.0,0.5951111111111111
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",XGBoost,0.6033057851239669,0.5909090909090909,0.5909090909090909,0.706265664160401,0.5714285714285714,0.7272727272727273,0.64,0.45454545454545453,0.7423333333333333
1,92,22,16,16,auto,auto,corr_mrmr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LightGBM,0.6198347107438016,0.6818181818181818,0.6818181818181819,0.7455988455988456,0.7,0.6363636363636364,0.6666666666666666,0.7272727272727273,0.734
2,91,23,12,12,auto,auto,corr_mrmr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LogisticRegression,0.5583333333333333,0.6086956521739131,0.6125,0.7293430007048933,0.75,0.6,0.6666666666666666,0.625,0.5157777777777777
