Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
XGBoost,0.6766945025557466,0.07157999839625856,0.5846875,0.7389574436668807,0.08451468929681329,0.6594849846354881,0.5828779915736437,0.08691521890523571,0.5789473684210527,0.6149700007594744,0.0579195180424887,0.568125,0.6476190476190476,0.13586040588273435,0.6176470588235294,0.716087187666135,0.21763863270020867,0.65625,0.6351618037135279,0.10149248742316859,0.6363636363636364,0.5138528138528138,0.19194436142173835,0.48,15.6,15.6,2.33238075793812,12,16.0,18
LightGBM,0.6714634151954726,0.09844216612661792,0.61375,0.7142345448644075,0.14583352156955537,0.6770551067576134,0.5730414513023209,0.1065583387008102,0.5701754385964912,0.5879963165489481,0.12475468154511403,0.5734375,0.5984737484737485,0.20564172741466605,0.6363636363636364,0.5704731525784157,0.30367792534923516,0.546875,0.5501194457716196,0.2172373301603738,0.5882352941176471,0.6055194805194806,0.17439629139700044,0.6,15.6,15.6,2.33238075793812,12,16.0,18
RandomForest,0.6617771471838457,0.06553927160287977,0.6153124999999999,0.7059463019248887,0.12345911568694021,0.7044596546718249,0.6153411805585718,0.05937760908710764,0.6140350877192983,0.626174147489937,0.08280317848054002,0.6190625000000001,0.6664335664335664,0.13598836654469076,0.6851851851851852,0.5884954811270601,0.2299664020413817,0.578125,0.5978354978354978,0.15854088150769532,0.6271186440677966,0.6638528138528139,0.15062135879666855,0.66,15.6,15.6,2.33238075793812,12,16.0,18
SVM_Linear,0.6470269337254984,0.09306412299419263,0.5637499999999999,0.7189326031292459,0.10750497023856245,0.6257265889739825,0.5461190982930113,0.0650684103598607,0.543859649122807,0.5566619199513936,0.029723736438008037,0.519375,0.603641456582633,0.1435639132235134,0.575,0.7653801169590644,0.2394739055615226,0.71875,0.625620896816549,0.10514857886585892,0.6388888888888888,0.3479437229437229,0.2790592337810586,0.32,15.6,15.6,2.33238075793812,12,16.0,18
SVM_RBF,0.6348448370697175,0.06022390293416559,0.564375,0.7067744732569778,0.08707409467042079,0.661459448083099,0.5389972346494085,0.10278211644717568,0.5350877192982456,0.5438480671375409,0.06259025296393499,0.5159374999999999,0.5734188034188035,0.10516586081220035,0.5733333333333334,0.712046783625731,0.2369469409159178,0.671875,0.6062400199146343,0.12878135159516468,0.6187050359712231,0.3756493506493507,0.12599485107764966,0.36,15.6,15.6,2.33238075793812,12,16.0,18
LogisticRegression,0.6327539003615559,0.12526031454179914,0.6034375,0.7228651858188359,0.06775713766925966,0.668449956869047,0.6107660455486543,0.14690575603291414,0.6052631578947368,0.6229277739804056,0.13499292200426372,0.615625,0.6962337662337662,0.1035956695159231,0.6938775510204082,0.5575438596491227,0.2519738025437555,0.53125,0.5880591133004927,0.15735653153567553,0.6017699115044248,0.6883116883116883,0.14200025048603648,0.7,15.6,15.6,2.33238075793812,12,16.0,18
ExtraTrees,0.6248860097903159,0.08407878000786032,0.5628125,0.6916964676582329,0.10658397793959082,0.6662879508407064,0.5845343062734367,0.09769178173160062,0.5789473684210527,0.6024700007594744,0.09473273436163131,0.5856250000000001,0.6527472527472528,0.12114855087976943,0.6538461538461539,0.5645720361509836,0.2703923135241986,0.53125,0.5627189152676408,0.1691597538710408,0.5862068965517241,0.6403679653679654,0.18674385898008897,0.64,15.6,15.6,2.33238075793812,12,16.0,18
GradientBoosting,0.6203265970251617,0.07742555325516669,0.54015625,0.6779103822514795,0.09567314127363288,0.6480708205084867,0.5028160245551551,0.04238657502184752,0.5,0.5170405179615706,0.03958327755860692,0.478125,0.5626890756302521,0.09123991906127818,0.5454545454545454,0.7114619883040936,0.2213444035001623,0.65625,0.5937665782493369,0.061543860348359854,0.5957446808510638,0.32261904761904764,0.19123361311385742,0.3,15.6,15.6,2.33238075793812,12,16.0,18
KNN,0.5916952390158132,0.07828737155597652,0.5565625000000001,0.6595660421169176,0.10384408644762955,0.6165581789882602,0.5677887330061242,0.09321250145588357,0.5614035087719298,0.5826539834434572,0.08896824295730181,0.5459375,0.6144185123442089,0.08220165338572602,0.5972222222222222,0.733056884635832,0.2322446406410297,0.671875,0.632851391903116,0.10092650251827266,0.6323529411764706,0.4322510822510822,0.18628380167526598,0.42,15.6,15.6,2.33238075793812,12,16.0,18
NaiveBayes,0.5756042769918368,0.13719369988528873,0.5671875000000001,0.6783172466409306,0.0820232753111385,0.6324172348604438,0.5320491103099798,0.09104097967161054,0.5350877192982456,0.5101524644945697,0.09045474997259455,0.5028125,0.5632478632478632,0.12182713736843875,0.5632183908045977,0.7762573099415204,0.11784901183276551,0.765625,0.6406611156611157,0.07659900713888154,0.6490066225165563,0.24404761904761907,0.1893568300069865,0.24,15.6,15.6,2.33238075793812,12,16.0,18
