Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LogisticRegression,0.7851239669421488,0.6363636363636364,0.6363636363636364,0.8118667881825776,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.36363636363636365,0.7390864197530864
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_RBF,0.7851239669421487,0.6818181818181818,0.6818181818181818,0.8020202020202021,0.625,0.9090909090909091,0.7407407407407407,0.45454545454545453,0.7884691358024691
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",SVM_Linear,0.7768595041322315,0.6363636363636364,0.6363636363636364,0.7899594026388286,0.5789473684210527,1.0,0.7333333333333333,0.2727272727272727,0.8131604938271605
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",RandomForest,0.7107438016528925,0.6818181818181818,0.6818181818181818,0.7081166605230776,0.625,0.9090909090909091,0.7407407407407407,0.45454545454545453,0.677358024691358
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",GradientBoosting,0.7024793388429752,0.5909090909090909,0.5909090909090909,0.714617572751544,0.5625,0.8181818181818182,0.6666666666666666,0.36363636363636365,0.6859999999999999
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",ExtraTrees,0.7024793388429752,0.6363636363636364,0.6363636363636364,0.718939393939394,0.5882352941176471,0.9090909090909091,0.7142857142857143,0.36363636363636365,0.7082222222222222
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",KNN,0.7107438016528925,0.5,0.5,0.7073232323232322,0.5,0.9090909090909091,0.6451612903225806,0.09090909090909091,0.7761234567901235
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",NaiveBayes,0.6611570247933884,0.5,0.5,0.6839196157377976,0.5,1.0,0.6666666666666666,0.0,0.6711851851851852
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",XGBoost,0.7768595041322314,0.6818181818181818,0.6818181818181818,0.7877557083439437,0.625,0.9090909090909091,0.7407407407407407,0.45454545454545453,0.7143950617283952
1,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P13', 'P21', 'P26', 'P3', 'P31', 'P37', 'P40', 'P49', 'P6', 'P9']",LightGBM,0.7190082644628099,0.6363636363636364,0.6363636363636364,0.7531476099657918,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5292098765432098
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LogisticRegression,0.8916666666666666,0.7391304347826086,0.7708333333333333,0.926259056847292,0.9090909090909091,0.6666666666666666,0.7692307692307693,0.875,0.5256825396825398
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",SVM_RBF,0.8416666666666667,0.8260869565217391,0.75,0.8948090311248206,0.7894736842105263,1.0,0.8823529411764706,0.5,0.5541818181818181
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",SVM_Linear,0.7666666666666666,0.782608695652174,0.6875,0.8465253540176141,0.75,1.0,0.8571428571428571,0.375,0.5375873015873016
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",RandomForest,0.6333333333333333,0.5652173913043478,0.55,0.7424129768866611,0.6923076923076923,0.6,0.6428571428571429,0.5,0.7405454545454546
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",GradientBoosting,0.45000000000000007,0.4782608695652174,0.45416666666666666,0.6966095740008784,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.375,0.5375873015873016
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",ExtraTrees,0.6166666666666667,0.43478260869565216,0.42083333333333334,0.7811887530540781,0.5833333333333334,0.4666666666666667,0.5185185185185185,0.375,0.7132727272727273
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",KNN,0.7583333333333334,0.782608695652174,0.7166666666666667,0.8251322751322752,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.5,0.6769090909090909
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",NaiveBayes,0.5416666666666667,0.7391304347826086,0.625,0.7339832802216704,0.7142857142857143,1.0,0.8333333333333334,0.25,0.46615873015873016
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",XGBoost,0.575,0.6086956521739131,0.6125,0.7880871315310675,0.75,0.6,0.6666666666666666,0.625,0.6566349206349206
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LightGBM,0.4166666666666667,0.4782608695652174,0.45416666666666666,0.6981941882170715,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.375,0.676909090909091
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",LogisticRegression,0.7777777777777777,0.7142857142857143,0.7222222222222222,0.6285714285714287,0.6363636363636364,0.7777777777777778,0.7,0.6666666666666666,0.6193333333333333
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_RBF,0.8240740740740741,0.7619047619047619,0.7777777777777777,0.7198023653906007,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.6666666666666666,0.6438947368421054
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_Linear,0.7592592592592593,0.8095238095238095,0.8194444444444444,0.6134411340293693,0.7272727272727273,0.8888888888888888,0.8,0.75,0.6621904761904762
