Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LogisticRegression,0.8169934640522876,0.6923076923076923,0.7124183006535948,0.8820507493882106,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.7777777777777778,0.7662105263157895
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_RBF,0.8235294117647058,0.6538461538461539,0.6830065359477124,0.8923809420713447,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.7777777777777778,0.7609473684210526
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_Linear,0.8366013071895425,0.6538461538461539,0.6830065359477124,0.896790972337321,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.7777777777777778,0.7767368421052632
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",RandomForest,0.8366013071895425,0.8076923076923077,0.8006535947712419,0.9214543981168022,0.875,0.8235294117647058,0.8484848484848485,0.7777777777777778,0.6903333333333334
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",GradientBoosting,0.8039215686274509,0.7692307692307693,0.7712418300653594,0.8944473826826768,0.8666666666666667,0.7647058823529411,0.8125,0.7777777777777778,0.687128205128205
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",ExtraTrees,0.7712418300653595,0.7307692307692307,0.7679738562091503,0.8888789618483663,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.8888888888888888,0.7287948717948718
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",KNN,0.7091503267973857,0.6538461538461539,0.6830065359477124,0.8344175317185697,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.7777777777777778,0.7477894736842106
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",NaiveBayes,0.7254901960784315,0.7307692307692307,0.7156862745098038,0.8502498088224733,0.8125,0.7647058823529411,0.7878787878787878,0.6666666666666666,0.7303974358974359
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",XGBoost,0.7973856209150326,0.6923076923076923,0.6862745098039216,0.8925291379048713,0.8,0.7058823529411765,0.75,0.6666666666666666,0.7191794871794872
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LightGBM,0.7777777777777778,0.8076923076923077,0.8006535947712419,0.842089772972126,0.875,0.8235294117647058,0.8484848484848485,0.7777777777777778,0.6925263157894738
