Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LogisticRegression,0.6013071895424836,0.6153846153846154,0.6013071895424837,0.7520308795395301,0.7333333333333333,0.6470588235294118,0.6875,0.5555555555555556,0.5714125874125874
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_RBF,0.5359477124183007,0.6538461538461539,0.630718954248366,0.6453953625531228,0.75,0.7058823529411765,0.7272727272727273,0.5555555555555556,0.6261052631578947
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_Linear,0.5947712418300654,0.6923076923076923,0.6339869281045751,0.7417728369285462,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.4444444444444444,0.5749090909090909
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",RandomForest,0.5947712418300654,0.5769230769230769,0.5718954248366013,0.7996129698512254,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.5555555555555556,0.6763076923076923
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",GradientBoosting,0.5751633986928104,0.46153846153846156,0.43137254901960786,0.7926541283800198,0.6,0.5294117647058824,0.5625,0.3333333333333333,0.6787368421052632
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",ExtraTrees,0.5882352941176471,0.5,0.4607843137254902,0.7944493710175499,0.625,0.5882352941176471,0.6060606060606061,0.3333333333333333,0.7211794871794871
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",KNN,0.5718954248366013,0.5384615384615384,0.5686274509803921,0.742586824939766,0.7272727272727273,0.47058823529411764,0.5714285714285714,0.6666666666666666,0.6634871794871795
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",NaiveBayes,0.5882352941176472,0.6153846153846154,0.5490196078431372,0.7601329830249882,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.3333333333333333,0.6682105263157896
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",XGBoost,0.6143790849673203,0.5,0.4869281045751634,0.820775867271655,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.4444444444444444,0.6413426573426574
1,90,26,16,16,auto,auto,corr_mrmr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LightGBM,0.607843137254902,0.5384615384615384,0.5163398692810457,0.8190755174484677,0.6666666666666666,0.5882352941176471,0.625,0.4444444444444444,0.6458589743589744
2,98,18,12,12,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",LogisticRegression,0.48749999999999993,0.5555555555555556,0.575,0.6578984414278531,0.6666666666666666,0.4,0.5,0.75,0.7173233082706767
2,98,18,12,12,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",SVM_RBF,0.46249999999999997,0.5555555555555556,0.5625,0.5969828782328782,0.625,0.5,0.5555555555555556,0.625,0.7060451127819548
2,98,18,12,12,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",SVM_Linear,0.4375,0.4444444444444444,0.45,0.6278984414278531,0.5,0.4,0.4444444444444444,0.5,0.7135639097744361
2,98,18,12,12,auto,auto,corr_mrmr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",RandomForest,0.6375,0.6111111111111112,0.6375,0.7689484126984126,0.8,0.4,0.5333333333333333,0.875,0.7358991596638655
