Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
ExtraTrees,0.6407080610021787,0.06563283069923855,0.6141826923076923,0.745645475929464,0.05232734795723968,0.6974960595467149,0.5868543395795898,0.07168221552890965,0.5948275862068966,0.6053104575163399,0.06377072301156635,0.5985576923076923,0.6571428571428571,0.2001133465661971,0.6545454545454545,0.5745098039215686,0.1759906327240539,0.5625,0.564324942791762,0.12720770387693656,0.6050420168067226,0.6361111111111111,0.21343747458109497,0.6346153846153846,13.6,13.6,5.276362383309167,4,16.0,18
RandomForest,0.6391760037348273,0.07151873912543841,0.6231971153846154,0.7375622399501343,0.08936446445818853,0.7097188465882269,0.6273760968977876,0.11668488046717397,0.6120689655172413,0.6269467787114846,0.12476561521652865,0.6141826923076923,0.665,0.19467922333931786,0.6666666666666666,0.6062745098039215,0.1519140978251575,0.59375,0.6114523614523615,0.12700485005285328,0.628099173553719,0.6476190476190475,0.21423279769908557,0.6346153846153846,13.6,13.6,5.276362383309167,4,16.0,18
GradientBoosting,0.6368448490507314,0.09236941261481892,0.6225961538461539,0.6694576754012518,0.17915913129040487,0.7034234254724678,0.5965655096355875,0.118940853022363,0.5862068965517241,0.6028804855275444,0.13003403463385632,0.5889423076923077,0.6445098039215688,0.21572869458074712,0.6428571428571429,0.5827450980392157,0.10448165754228608,0.5625,0.5891170836150552,0.1203895387531168,0.6,0.6230158730158731,0.2156628295146513,0.6153846153846154,13.6,13.6,5.276362383309167,4,16.0,18
XGBoost,0.6100575785869904,0.12813654840112332,0.5919471153846154,0.6795633503935681,0.18832188484099363,0.660003768829854,0.5824867136324311,0.1237502252285443,0.5862068965517241,0.5938118580765639,0.11998807606526077,0.5853365384615384,0.6122035858877963,0.19416632064100137,0.6333333333333333,0.6062745098039215,0.13757050549839317,0.59375,0.5861943917351887,0.1414322625127754,0.6129032258064516,0.5813492063492063,0.16377883618053354,0.5769230769230769,13.6,13.6,5.276362383309167,4,16.0,18
KNN,0.5997194989106754,0.0596990985318827,0.5838341346153846,0.6565639497487885,0.0877417226058056,0.6218819146172255,0.5079209568086097,0.06383647051457464,0.5172413793103449,0.5333473389355742,0.04741376083040144,0.5174278846153846,0.5564801864801865,0.16580705832768788,0.5689655172413793,0.5309803921568628,0.12962786472865298,0.515625,0.5100760500760501,0.0963296216842418,0.5409836065573771,0.5357142857142857,0.1528267289131544,0.5192307692307693,13.6,13.6,5.276362383309167,4,16.0,18
LightGBM,0.5984796140678494,0.11014414537724893,0.5993088942307692,0.6602819873819046,0.18439333059203036,0.6694185338242875,0.5771693144329406,0.06148768559304388,0.5603448275862069,0.5797852474323062,0.060298080258219505,0.5618990384615384,0.5981704260651629,0.11560856659422201,0.6140350877192983,0.5627450980392157,0.095173812545189,0.546875,0.5654532632481988,0.06337122873958345,0.5785123966942148,0.5968253968253968,0.10819879429980479,0.5769230769230769,13.6,13.6,5.276362383309167,4,16.0,18
LogisticRegression,0.5961041083099905,0.07416616837505477,0.5952524038461539,0.6328221251706678,0.13861114730328575,0.6450626148734812,0.5929199585484346,0.08299108450660946,0.6120689655172413,0.6042156862745097,0.060064826073147025,0.6087740384615384,0.609606625258799,0.16378649455967023,0.6507936507936508,0.6250980392156863,0.187967129244127,0.640625,0.5878448275862069,0.14088865658842561,0.6456692913385826,0.5833333333333334,0.1111111111111111,0.5769230769230769,13.6,13.6,5.276362383309167,4,16.0,18
NaiveBayes,0.568714596949891,0.10854574931092524,0.5784254807692307,0.6211880069605307,0.1606208933993807,0.6468427513557096,0.5222179439643287,0.07829333131536943,0.5431034482758621,0.4973085901027077,0.06585452757096288,0.5282451923076923,0.5106983144134847,0.1839484040654572,0.5733333333333334,0.5854901960784314,0.23200180301305243,0.671875,0.5296642899584076,0.19618996314816153,0.6187050359712231,0.4091269841269841,0.16294213259297943,0.38461538461538464,13.6,13.6,5.276362383309167,4,16.0,18
SVM_Linear,0.5304699657640835,0.13877456824358445,0.5673076923076923,0.5886702282590601,0.14266098402845429,0.601082068590816,0.5451479801869124,0.13297186225058924,0.5603448275862069,0.5557843137254903,0.11039850301203771,0.5582932692307692,0.5373567608861726,0.16978451079047419,0.6065573770491803,0.5615686274509804,0.2673854212098825,0.578125,0.5153587588881706,0.2086631182035584,0.592,0.55,0.10599324460188285,0.5384615384615384,13.6,13.6,5.276362383309167,4,16.0,18
SVM_RBF,0.4540005446623094,0.10160879112997291,0.4732572115384615,0.5323368737035842,0.08669023839843638,0.5367610030890829,0.4773547056083207,0.056942906271608154,0.47413793103448276,0.5179901960784313,0.0401083185656536,0.5018028846153846,0.3,0.2799416848895061,0.5555555555555556,0.3109803921568627,0.2817520839887217,0.234375,0.2840322580645161,0.25039427805944675,0.32967032967032966,0.725,0.23180717827805628,0.7692307692307693,13.6,13.6,5.276362383309167,4,16.0,18
