,NaiveBayes,LogisticRegression,SVM_Linear,ExtraTrees,GradientBoosting,RandomForest,XGBoost,SVM_RBF,KNN,LightGBM
NaiveBayes,1.0,0.559090328913416,0.11180991125780947,0.08826091761102738,0.12353597684608482,0.18631215380993638,0.2120035239630712,0.034734674587114635,0.1077471324126569,0.03536265918224533
LogisticRegression,0.559090328913416,1.0,0.09784000760374229,0.11479379227262596,0.2169243883980302,0.32427507902433605,0.3716942036926877,0.06410677959704258,0.17455800869134397,0.06944559330195157
SVM_Linear,0.11180991125780947,0.09784000760374229,1.0,0.6118396140506194,0.7006553187872429,0.905015784095965,0.9882693605055056,0.2974222484081588,0.5709745448674022,0.29260579191345437
ExtraTrees,0.08826091761102738,0.11479379227262596,0.6118396140506194,1.0,0.985808275975262,0.7920158290431343,0.7163445973048006,0.5888421018450283,0.8485089454107726,0.398821213159001
GradientBoosting,0.12353597684608482,0.2169243883980302,0.7006553187872429,0.985808275975262,1.0,0.7775602011155252,0.6879370478822582,0.5661828147139732,0.8515149905603867,0.3724025369036089
RandomForest,0.18631215380993638,0.32427507902433605,0.905015784095965,0.7920158290431343,0.7775602011155252,1.0,0.8792155622078164,0.42112659208316183,0.6681307086674468,0.19694278829344647
XGBoost,0.2120035239630712,0.3716942036926877,0.9882693605055056,0.7163445973048006,0.6879370478822582,0.8792155622078164,1.0,0.391993551008858,0.6076537849996226,0.07697259105686431
SVM_RBF,0.034734674587114635,0.06410677959704258,0.2974222484081588,0.5888421018450283,0.5661828147139732,0.42112659208316183,0.391993551008858,1.0,0.6726452731945818,0.8534848438524221
KNN,0.1077471324126569,0.17455800869134397,0.5709745448674022,0.8485089454107726,0.8515149905603867,0.6681307086674468,0.6076537849996226,0.6726452731945818,1.0,0.5225904125297545
LightGBM,0.03536265918224533,0.06944559330195157,0.29260579191345437,0.398821213159001,0.3724025369036089,0.19694278829344647,0.07697259105686431,0.8534848438524221,0.5225904125297545,1.0
