Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LogisticRegression,0.7254901960784313,0.6923076923076923,0.7124183006535948,0.8465972963565862,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.7777777777777778,0.7896923076923077
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_RBF,0.7189542483660131,0.6923076923076923,0.7124183006535948,0.7987112947252267,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.7777777777777778,0.732
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_Linear,0.7712418300653595,0.6538461538461539,0.6830065359477124,0.8574863861628568,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.7777777777777778,0.7872631578947369
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",RandomForest,0.7254901960784313,0.6923076923076923,0.6601307189542484,0.8430543555475262,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.5555555555555556,0.6767368421052631
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",GradientBoosting,0.5392156862745098,0.6153846153846154,0.522875816993464,0.6890908274731805,0.6666666666666666,0.8235294117647058,0.7368421052631579,0.2222222222222222,0.6568251748251748
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",ExtraTrees,0.7058823529411764,0.6153846153846154,0.6274509803921569,0.8403103658504789,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.7287948717948719
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",KNN,0.6862745098039216,0.6538461538461539,0.6045751633986928,0.834907769127718,0.7222222222222222,0.7647058823529411,0.7428571428571429,0.4444444444444444,0.7057762237762237
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",NaiveBayes,0.6732026143790849,0.6153846153846154,0.5490196078431372,0.8212436568830431,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.3333333333333333,0.7609473684210526
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",XGBoost,0.7058823529411764,0.6538461538461539,0.630718954248366,0.8391487679328257,0.75,0.7058823529411765,0.7272727272727273,0.5555555555555556,0.6925263157894737
1,90,26,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LightGBM,0.7254901960784315,0.7692307692307693,0.7189542483660131,0.7995010134647723,0.7894736842105263,0.8823529411764706,0.8333333333333334,0.5555555555555556,0.6999487179487179
2,98,18,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",LogisticRegression,0.5750000000000001,0.5,0.525,0.725376984126984,0.6,0.3,0.4,0.75,0.6523296703296703
2,98,18,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",SVM_RBF,0.6,0.5555555555555556,0.5625,0.6898717948717948,0.625,0.5,0.5555555555555556,0.625,0.6710756302521008
2,98,18,18,18,auto,auto,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",SVM_Linear,0.5,0.4444444444444444,0.4625,0.6275951744334097,0.5,0.3,0.375,0.625,0.6706446886446885
