Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
SVM_Linear,0.7284033613445379,0.08218019149184677,0.6538461538461537,0.7272538036601564,0.13090644688058434,0.6769970741876469,0.6256015705960088,0.0857138251986239,0.6120689655172413,0.6465569561157796,0.11862836961793723,0.6051682692307692,0.6471364842054498,0.13818819447381095,0.6417910447761194,0.711764705882353,0.238507469796627,0.671875,0.6417943409247756,0.08312504464573349,0.6564885496183206,0.5813492063492063,0.2433287256627919,0.5384615384615384,14.0,14.0,0.0,14,14.0,14
SVM_RBF,0.7146732026143792,0.11486425578684209,0.6589543269230769,0.7635965924846768,0.06445807150487702,0.6894744705811977,0.6216465588545679,0.0714050026722603,0.6379310344827587,0.6518230625583566,0.07538996046022205,0.6304086538461539,0.6382885632885633,0.16384135028731844,0.6617647058823529,0.7270588235294118,0.23733234840328005,0.703125,0.6377540106951871,0.11371254794790524,0.6818181818181818,0.5765873015873015,0.18706266709585012,0.5576923076923077,14.0,14.0,0.0,14,14.0,14
XGBoost,0.6970860566448801,0.08277431864469827,0.6532451923076923,0.7441892558774412,0.07093263133792026,0.6924476201529615,0.6265389844366485,0.08059424110477693,0.6120689655172413,0.6110410830999066,0.07419979549343726,0.6069711538461539,0.6314632034632035,0.07138391572755372,0.6461538461538462,0.6450980392156863,0.18293182415200943,0.65625,0.6214565826330531,0.09188351413242,0.6511627906976745,0.5769841269841269,0.19286857370265442,0.5576923076923077,14.0,14.0,0.0,14,14.0,14
LogisticRegression,0.6859041394335512,0.08107724222470095,0.6490384615384615,0.7210808351959829,0.12583629066452687,0.6832429982946281,0.6185196276964909,0.06843772147533911,0.6293103448275862,0.631923436041083,0.06771883787446369,0.6262019230769231,0.6411588411588411,0.1829528013387102,0.6666666666666666,0.6368627450980392,0.20138085402046807,0.65625,0.6060145988878173,0.12947439219029264,0.6614173228346457,0.6269841269841271,0.1808583715698375,0.5961538461538461,14.0,14.0,0.0,14,14.0,14
LightGBM,0.6831901649548708,0.06355182037466989,0.6415264423076923,0.7515473985772247,0.07060381038249045,0.6829233118321592,0.6167275130011505,0.04877088716264397,0.6206896551724138,0.6298319327731092,0.04402743235155768,0.6201923076923077,0.6437545787545788,0.17077279394990597,0.6666666666666666,0.6215686274509803,0.16092772179359366,0.625,0.6032477814974229,0.11493217627647039,0.6451612903225806,0.6380952380952382,0.16143333170237834,0.6153846153846154,14.0,14.0,0.0,14,14.0,14
NaiveBayes,0.6750233426704014,0.09309417507934045,0.6395733173076923,0.6998442285404536,0.17001142347384188,0.6695356651390689,0.603281899166215,0.09235288580373861,0.6206896551724138,0.5961157796451915,0.0746069470222249,0.6039663461538461,0.596031746031746,0.16885188758059935,0.6282051282051282,0.7192156862745097,0.1788613651063865,0.765625,0.627097227097227,0.15353975219092753,0.6901408450704225,0.47301587301587295,0.19976365475896918,0.4423076923076923,14.0,14.0,0.0,14,14.0,14
GradientBoosting,0.6651758481170246,0.08545123402668216,0.6589543269230769,0.711159860401943,0.07930389225841666,0.7040197107893447,0.5778448038181074,0.12291793101679281,0.603448275862069,0.6038865546218488,0.07234185429068841,0.5901442307692308,0.5850350877192982,0.1515973591806833,0.6216216216216216,0.7470588235294117,0.2478977353612409,0.71875,0.617430845017052,0.1475658771780493,0.6666666666666666,0.46071428571428574,0.14156381042224317,0.46153846153846156,14.0,14.0,0.0,14,14.0,14
KNN,0.6612301587301588,0.1922812736682205,0.621394230769231,0.7476454756148749,0.1525223674041863,0.6744261748871406,0.619149957692783,0.0876196477770846,0.603448275862069,0.6149766573295985,0.12005047889599955,0.5883413461538461,0.6116541353383459,0.08195756972149092,0.618421052631579,0.7505882352941177,0.19887573279167473,0.734375,0.6517900442162315,0.09001380810280533,0.6714285714285714,0.4793650793650793,0.199826707489142,0.4423076923076923,14.0,14.0,0.0,14,14.0,14
ExtraTrees,0.6543884220354809,0.10150316447672743,0.639423076923077,0.732910690733622,0.06784731466532705,0.7092951427296985,0.5726690624910871,0.04307346175417955,0.5775862068965517,0.583265639589169,0.04032022939395485,0.5775240384615384,0.591941391941392,0.14494760523222008,0.6271186440677966,0.5780392156862745,0.13118453036583572,0.578125,0.5635268021304105,0.09814263185756286,0.6016260162601627,0.5884920634920634,0.08968253968253967,0.5769230769230769,14.0,14.0,0.0,14,14.0,14
RandomForest,0.6237317149081856,0.13680993243676706,0.6081730769230769,0.6813229359126547,0.07687515985263417,0.6680137615546342,0.6465417415361798,0.1336175974244755,0.6293103448275862,0.6463375350140056,0.14269807476921414,0.6225961538461539,0.6359899749373434,0.07823429407919869,0.6567164179104478,0.7152941176470587,0.22152663145298482,0.6875,0.6601264189886481,0.12970241380107395,0.6717557251908397,0.5773809523809523,0.1191930328833505,0.5576923076923077,14.0,14.0,0.0,14,14.0,14
