Quad_Tag,Dataset_A,Dataset_B,Dataset_C,Dataset_D,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,corr_mrmr_auto_k,corr_mrmr,SVM_Linear,LogisticRegression,0.6797420634920636,0.6734126984126985,-0.006329365079365101,0.6406349206349207,0.7012698412698413,0.0606349206349206,0.7634868417233073,0.7546905290229474,-0.008796312700359854,0.5988492063492064,0.6058333333333333,0.0069841269841269815,10.4,10.4,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,SVM_RBF,0.7875,0.7904761904761906,0.0029761904761905766,0.7552380952380952,0.7650793650793651,0.009841269841269984,0.8169401633459957,0.8190883370104233,0.002148173664427544,0.7163888888888889,0.7217063492063491,0.005317460317460276,6.0,6.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_Linear,KNN,0.7397222222222222,0.7490079365079365,0.009285714285714342,0.6673015873015874,0.7295238095238094,0.06222222222222196,0.7891351190062306,0.8059908177000541,0.01685569869382353,0.6676190476190477,0.6845634920634921,0.01694444444444443,10.0,10.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,corr_mrmr_auto_k,corr_mrmr,KNN,SVM_RBF,0.7066071428571428,0.6980952380952381,-0.008511904761904665,0.6646031746031745,0.6615873015873016,-0.0030158730158729163,0.7486750193552927,0.7668252802066444,0.01815026085135174,0.6160317460317459,0.628095238095238,0.01206349206349211,12.0,12.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,LogisticRegression,0.7807936507936508,0.7879365079365079,0.0071428571428571175,0.7485714285714286,0.7704761904761904,0.02190476190476187,0.8282702323189939,0.8429068148626971,0.014636582543703258,0.7041269841269842,0.6972222222222222,-0.006904761904761969,8.0,8.0,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,RandomForest,SVM_RBF,0.7223809523809525,0.7379761904761905,0.015595238095237995,0.677142857142857,0.7087301587301587,0.03158730158730161,0.7712133731397348,0.7834802744147142,0.012266901274979425,0.6286507936507937,0.6737301587301587,0.04507936507936505,8.0,8.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,corr_mrmr_auto_k,corr_mrmr,SVM_RBF,GradientBoosting,0.7149603174603174,0.7143253968253968,-0.0006349206349206549,0.6666666666666665,0.6876190476190476,0.020952380952381056,0.783412728396771,0.745537315501513,-0.037875412895257976,0.6261904761904761,0.629047619047619,0.0028571428571428914,14.8,14.8,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_Linear,0.7671428571428571,0.7633333333333333,-0.003809523809523818,0.725079365079365,0.7336507936507937,0.008571428571428674,0.818654977046231,0.8158325429437625,-0.0028224341024685184,0.7020238095238096,0.6626190476190477,-0.03940476190476194,9.6,9.6,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,LogisticRegression,0.7830952380952381,0.7869047619047619,0.003809523809523818,0.7390476190476191,0.746984126984127,0.007936507936507908,0.8292115811162365,0.8335426836808415,0.004331102564605005,0.6626984126984127,0.6615079365079364,-0.0011904761904762973,11.6,11.6,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Post2_Pre_T2,ADC,Post2,Pre,T2,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,ExtraTrees,0.715084129055421,0.6851080985291511,-0.029976030526269848,0.6321875,0.6040625,-0.028125000000000067,0.8078322689893772,0.7962509123293213,-0.011581356660055886,0.643905407458039,0.6047387407913724,-0.03916666666666668,14.0,14.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
