fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015873015873015872,0.9885605359015722
0.0,0.15873015873015872,0.9050808793569048
0.02,0.15873015873015872,0.9041057912718894
0.02,0.2698412698412698,0.8575844638774799
0.04,0.2698412698412698,0.8093205462195054
0.04,0.30158730158730157,0.8023402621488593
0.06,0.30158730158730157,0.800448962216861
0.06,0.3492063492063492,0.7627012633526102
0.1,0.3492063492063492,0.7525551540321387
0.1,0.36507936507936506,0.7500836090462643
0.12,0.36507936507936506,0.7296533669442371
0.12,0.3968253968253968,0.7209936563180019
0.16,0.3968253968253968,0.698449961209971
0.16,0.47619047619047616,0.6899088374858904
0.18,0.47619047619047616,0.6876793313308207
0.18,0.5396825396825397,0.6677096178323788
0.2,0.5396825396825397,0.6655411317760405
0.2,0.6349206349206349,0.646462136464316
0.22,0.6349206349206349,0.6421210857595953
0.22,0.6666666666666666,0.62587215950889
0.26,0.6666666666666666,0.6151261324369951
0.26,0.6825396825396826,0.6116812825179162
0.28,0.6825396825396826,0.5920163261602652
0.28,0.7142857142857143,0.5831504350095078
0.3,0.7142857142857143,0.5745835688261055
0.3,0.7301587301587301,0.5661290802397222
0.34,0.7301587301587301,0.547394326026449
0.34,0.7777777777777778,0.5256881443744932
0.38,0.7777777777777778,0.48906103181282246
0.38,0.7936507936507936,0.48456207403513335
0.48,0.7936507936507936,0.4554088588857685
0.48,0.8095238095238095,0.4417465816883684
0.5,0.8095238095238095,0.4407375934768314
0.5,0.8412698412698413,0.42224500936068915
0.54,0.8412698412698413,0.41798073195834284
0.54,0.873015873015873,0.40028865280099013
0.6,0.873015873015873,0.3784114639350396
0.6,0.9047619047619048,0.37520407487768215
0.68,0.9047619047619048,0.32182337397024174
0.68,0.9365079365079365,0.31274335003617276
0.76,0.9365079365079365,0.2808565257285878
0.76,0.9523809523809523,0.2754271128330886
0.84,0.9523809523809523,0.22627920457827932
0.84,0.9682539682539683,0.20951800184549801
0.92,0.9682539682539683,0.1815481745403631
0.92,1.0,0.16554861972829574
1.0,1.0,0.043423476885062304
