Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
ExtraTrees,0.7451984126984127,0.0599020259130757,0.7203174603174602,0.7984424634760969,0.1250576352812932,0.7831694580285102,0.6529831932773109,0.0512643613371813,0.6548672566371682,0.6729761904761905,0.0465529469609422,0.6533333333333333,0.7174999999999999,0.1245101513041317,0.7,0.690952380952381,0.1511137788213234,0.6666666666666666,0.6803809523809523,0.0538700881246524,0.6829268292682927,0.655,0.1343296111973992,0.64,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
SVM_Linear,0.7301984126984128,0.117187343684283,0.7015873015873015,0.7961708464789697,0.1235155874793759,0.7660039111480954,0.6190336134453782,0.0994734073399562,0.6194690265486725,0.6253571428571428,0.1158589086867999,0.6092063492063492,0.6830367018602314,0.1895263694168848,0.6470588235294118,0.7185714285714286,0.1227997076689424,0.6984126984126984,0.673929267613478,0.0816342541583641,0.6717557251908397,0.5321428571428573,0.2611894994989769,0.52,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
LogisticRegression,0.7292857142857143,0.1176650939150039,0.7155555555555556,0.7993546297691603,0.1173479084386719,0.7732960746643647,0.6403221288515406,0.0994064764539271,0.6371681415929203,0.6487301587301587,0.1152531255229408,0.6395238095238096,0.7104218657159833,0.1944494155866877,0.6964285714285714,0.6331746031746033,0.1882531652329027,0.6190476190476191,0.6486130268199234,0.1349027605497818,0.6554621848739496,0.6642857142857143,0.1911298308608521,0.66,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
SVM_RBF,0.7252777777777777,0.0901445117896531,0.6933333333333334,0.7854273607137753,0.1181570282773823,0.7604883959434092,0.656890756302521,0.0410462507690361,0.6548672566371682,0.6707539682539683,0.0511094473750708,0.6450793650793651,0.716068376068376,0.1681684693566612,0.6764705882352942,0.7617460317460318,0.1510860990370967,0.7301587301587301,0.7040879977722083,0.0410392943215868,0.7022900763358778,0.5797619047619047,0.2285466256384087,0.56,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
SVM_RBF,0.7231746031746031,0.0809066942352958,0.6869841269841269,0.7718159501811295,0.1192601029846953,0.739482529306529,0.6764145658263306,0.0576708865613875,0.672566371681416,0.6831746031746031,0.0435493771359499,0.6588888888888889,0.7038095238095237,0.1337883392822078,0.6805555555555556,0.8149206349206348,0.1714597267397682,0.7777777777777778,0.7266666666666667,0.0695042372972149,0.725925925925926,0.5514285714285714,0.1828571428571428,0.54,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
SVM_Linear,0.7170634920634921,0.0684493328053797,0.6914285714285714,0.7808271137947367,0.1095869526612814,0.7632281989724612,0.6785574229691876,0.0829161272088101,0.672566371681416,0.685873015873016,0.0624384806829285,0.6568253968253968,0.7006977336389102,0.1625738727784431,0.6756756756756757,0.8203174603174602,0.1475504192751382,0.7936507936507936,0.7302590768108009,0.0872827417924815,0.7299270072992701,0.5514285714285714,0.2110636060645905,0.52,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
LogisticRegression,0.7133333333333335,0.0529345445960369,0.706031746031746,0.7648074951858324,0.1116340354406136,0.7488397301040461,0.6746498599439776,0.0470092985029209,0.672566371681416,0.6846825396825397,0.0341081527962979,0.665079365079365,0.7125819278760456,0.1379851839299417,0.696969696969697,0.756031746031746,0.1375812364526308,0.7301587301587301,0.711258529465426,0.067602308615073,0.7131782945736435,0.6133333333333333,0.1571976816340212,0.6,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
RandomForest,0.7115079365079364,0.1066579267016488,0.6580952380952381,0.7708227713128445,0.1250202145947413,0.6777300069708202,0.6476050420168068,0.0610105703972172,0.6460176991150443,0.6366269841269842,0.1254118686978217,0.6392063492063491,0.6981699346405228,0.102046553501575,0.676923076923077,0.7349206349206348,0.1809523809523809,0.6984126984126984,0.6893039049235993,0.0551112169151982,0.6875,0.5383333333333333,0.2986822912579704,0.58,14.0,14.0,3.3466401061363023,10,12.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,46,4,1.5217391304347827
KNN,0.6935714285714286,0.091483669465023,0.6438095238095238,0.7209375854004529,0.1539556687644889,0.6990083670533258,0.5931232492997198,0.1071796535192492,0.584070796460177,0.5872619047619048,0.0434994490311266,0.5650793650793651,0.6236601307189542,0.1327940844727169,0.6052631578947368,0.7633333333333333,0.2075013014982238,0.7301587301587301,0.6561749680715198,0.1194643067286907,0.6618705035971223,0.4111904761904762,0.2016817051794278,0.4,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
RandomForest,0.6912301587301586,0.1639559607555374,0.6750793650793652,0.7747754552741732,0.1657276137239461,0.7288932494100868,0.6113165266106443,0.1091073414618043,0.6106194690265486,0.612063492063492,0.1217382708976884,0.6115873015873016,0.6601298701298701,0.1994018716713599,0.6666666666666666,0.6107936507936508,0.1935477217239462,0.6031746031746031,0.6208791208791208,0.1654187471625041,0.6333333333333333,0.6133333333333333,0.1571976816340212,0.62,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
