model,mean_auc,std_auc,pooled_auc,mean_pr_auc,std_pr_auc,pooled_pr_auc,mean_accuracy,std_accuracy,pooled_accuracy,mean_bal_accuracy,std_bal_accuracy,pooled_bal_accuracy,mean_f1,std_f1,pooled_f1,mean_precision,std_precision,pooled_precision,mean_recall,std_recall,pooled_recall,n_samples,n_folds
SVM_RBF,0.7523062558356676,0.18496478354031565,0.658653846153846,0.8346301804775091,0.1332763417469493,0.7080020743693619,0.5680746888755788,0.14387888882003677,0.603448275862069,0.5977941176470589,0.08194065670026544,0.5865384615384616,0.6319887955182073,0.13674657803562917,0.676056338028169,0.5874065394828619,0.16950518642796522,0.6153846153846154,0.7705882352941177,0.18452220166303673,0.75,116,5
SVM_Linear,0.7306178026766261,0.15059001853286721,0.6914062499999999,0.7542981872270803,0.13494653912999943,0.7260480698154287,0.6014080222089121,0.09744821901767411,0.6206896551724138,0.619967320261438,0.08077624914798401,0.6057692307692308,0.6505882352941177,0.11355226834836381,0.6857142857142857,0.5963853367433931,0.14660256240548325,0.631578947368421,0.7788235294117647,0.16957508467508,0.75,116,5
KNN,0.7272047152194212,0.17714822175713862,0.6721754807692307,0.8073881619894057,0.13070511868866713,0.7332849005797802,0.5954013481265983,0.0757820507350217,0.6120689655172413,0.5987044817927171,0.05814459126924994,0.5889423076923077,0.654720133667502,0.1127490282700664,0.697986577181208,0.5807056277056277,0.13009121124644588,0.611764705882353,0.8176470588235294,0.17686231033379893,0.8125,116,5
LogisticRegression,0.7167841581076876,0.1562032096770755,0.689002403846154,0.7376520984374524,0.15460875093824622,0.7246742300563318,0.627951284903454,0.14824386145148027,0.6379310344827587,0.6483426704014938,0.1593794732706207,0.6340144230769231,0.6449764195434824,0.14198654707113886,0.671875,0.6290559732664995,0.15791834259721932,0.671875,0.7117647058823529,0.22041169406111993,0.671875,116,5
RandomForest,0.6911647992530345,0.0838487143912856,0.6829927884615385,0.7574166741262035,0.04918257305666729,0.739382576729133,0.6225839726952074,0.06844724758586734,0.6379310344827587,0.6271615312791783,0.059295680817868054,0.6358173076923077,0.6146531730971958,0.12488355098625346,0.6666666666666666,0.6314020344980098,0.15074692410095375,0.6774193548387096,0.6368627450980392,0.14068760674370923,0.65625,116,5
ExtraTrees,0.6883730158730159,0.10193968939957188,0.6703725961538461,0.760002681164568,0.09444069056669781,0.752630597672765,0.5974791553768195,0.05993908110373716,0.603448275862069,0.6208333333333333,0.0696672703454962,0.5973557692307692,0.6196916533758638,0.09206547943165815,0.6461538461538462,0.6064102564102564,0.12508051318950592,0.6363636363636364,0.7,0.1989592297092678,0.65625,116,5
GradientBoosting,0.68109477124183,0.10746809911660855,0.6574519230769231,0.7044209262588417,0.15721629020755004,0.7092058032851047,0.5965479212420257,0.122966766245933,0.6120689655172413,0.6243347338935574,0.10878071107122822,0.6051682692307692,0.6243884220354808,0.13369734042549478,0.6564885496183206,0.607483660130719,0.1678119180747355,0.6417910447761194,0.7117647058823529,0.20069084834390563,0.671875,116,5
XGBoost,0.680083255524432,0.058693962499046355,0.6736778846153847,0.6961549766286517,0.14814933649634418,0.7001994507019278,0.5911867887396253,0.08284485838233835,0.6120689655172413,0.6197712418300653,0.06328741666358276,0.6051682692307692,0.619858469703671,0.10966100927052846,0.6564885496183206,0.6095068330362449,0.15518075886831756,0.6417910447761194,0.7117647058823529,0.20069084834390563,0.671875,116,5
NaiveBayes,0.673897447868036,0.1317907495607501,0.6448317307692307,0.7109530928843674,0.10200889645778469,0.6902902773884221,0.5884986166966145,0.061158708671300216,0.5948275862068966,0.5854808590102707,0.07644037075024306,0.5715144230769231,0.6486257928118393,0.09911025442405666,0.6845637583892618,0.5681623931623931,0.11089519670041849,0.6,0.8058823529411765,0.17008037993883482,0.796875,116,5
LightGBM,0.6503824307500778,0.0862367003751264,0.6524939903846154,0.6668193233347268,0.17328740635859002,0.6855486513907527,0.571042373767624,0.09232271964601559,0.5948275862068966,0.583482726423903,0.059492750359620136,0.5895432692307692,0.5929710902124696,0.1334825219284631,0.6356589147286822,0.5901754385964912,0.17666536001886174,0.6307692307692307,0.6415686274509803,0.10088725954645002,0.640625,116,5
