,SVM_RBF,SVM_Linear,LogisticRegression,KNN,ExtraTrees,RandomForest,GradientBoosting,NaiveBayes,XGBoost,LightGBM
SVM_RBF,0.0,0.17662740546644373,0.35898154451654635,1.661710050999903,2.014880133379184,1.861281187293132,1.862257662142005,3.2536829932554547,3.0716544825278107,2.4877695295105657
SVM_Linear,-0.17662740546644373,0.0,0.15285864661782328,1.2176152406290877,1.6110451364237848,1.5258899276327433,1.5847610261843101,3.263570822609942,2.79622374372231,2.303349159873744
LogisticRegression,-0.35898154451654635,-0.15285864661782328,0.0,1.2168611380712497,1.504908914565944,1.5823941238563908,1.650755813991278,3.1722747057121268,2.863898765602192,2.28263107369873
KNN,-1.661710050999903,-1.2176152406290877,-1.2168611380712497,0.0,0.3706160940366613,0.49231778783747426,0.5843510578178088,2.0043503939992235,1.9591647913021688,1.5525450536247851
ExtraTrees,-2.014880133379184,-1.6110451364237848,-1.504908914565944,-0.3706160940366613,0.0,0.24325483617309693,0.3722342959423202,1.6931386153620382,2.033578586005532,1.4968675925499406
RandomForest,-1.861281187293132,-1.5258899276327433,-1.5823941238563908,-0.49231778783747426,-0.24325483617309693,0.0,0.2565175065900845,1.4169080283854012,2.391603442182001,1.419798486374102
GradientBoosting,-1.862257662142005,-1.5847610261843101,-1.650755813991278,-0.5843510578178088,-0.3722342959423202,-0.2565175065900845,0.0,1.2686668211484304,1.8641910749456239,1.214133311679096
NaiveBayes,-3.2536829932554547,-3.263570822609942,-3.1722747057121268,-2.0043503939992235,-1.6931386153620382,-1.4169080283854012,-1.2686668211484304,0.0,0.011611381248504594,-0.2943600684388282
XGBoost,-3.0716544825278107,-2.79622374372231,-2.863898765602192,-1.9591647913021688,-2.033578586005532,-2.391603442182001,-1.8641910749456239,-0.011611381248504594,0.0,-0.5112878470067802
LightGBM,-2.4877695295105657,-2.303349159873744,-2.28263107369873,-1.5525450536247851,-1.4968675925499406,-1.419798486374102,-1.214133311679096,0.2943600684388282,0.5112878470067802,0.0
