Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
SVM_RBF,0.806031746031746,0.05696920262625235,0.7780952380952381,0.8443411704912884,0.08118452025264541,0.8311314816169346,0.7278011204481794,0.07083346314292374,0.7168141592920354,0.7198412698412697,0.058590030168729094,0.715079365079365,0.7569696969696971,0.06140084917291611,0.7540983606557377,0.7558730158730158,0.1432073309301907,0.7301587301587301,0.7462243731935201,0.08214453283637316,0.7419354838709677,0.6838095238095239,0.12012276411259395,0.7,7.6,7.6,5.276362383309167,4,6.0,18
SVM_Linear,0.7880952380952381,0.07906092512475593,0.7603174603174604,0.8408748171994708,0.07342377516537908,0.8199615040782928,0.7178011204481793,0.0705223504272477,0.7079646017699115,0.7098412698412698,0.0639277708757379,0.7092063492063492,0.7641125541125542,0.05361509873385624,0.7586206896551724,0.7215873015873016,0.14729132421827257,0.6984126984126984,0.7311833222904003,0.07967420725835409,0.7272727272727273,0.6980952380952381,0.1347492842820045,0.72,7.6,7.6,5.276362383309167,4,6.0,18
LogisticRegression,0.7831746031746032,0.07886892532684937,0.7669841269841269,0.8392106470288875,0.05670919614776331,0.8207676945761426,0.7078011204481793,0.07569296082692964,0.6991150442477876,0.7055555555555555,0.07367670247629364,0.6992063492063492,0.7508158508158509,0.05824036263187491,0.7457627118644068,0.7273015873015873,0.13411486749065435,0.6984126984126984,0.7288552799623579,0.07161077658777809,0.7213114754098361,0.6838095238095239,0.12012276411259395,0.7,7.6,7.6,5.276362383309167,4,6.0,18
GradientBoosting,0.7619047619047619,0.030448689642285483,0.7561904761904761,0.773116689022151,0.08081944119075667,0.770972963245401,0.7211344537815126,0.08102986415250515,0.7079646017699115,0.7098412698412699,0.06065143546392548,0.7092063492063492,0.7515909090909091,0.08253348932102735,0.7586206896551724,0.7168253968253968,0.16590331613582257,0.6984126984126984,0.7250227517820037,0.11058935522878002,0.7272727272727273,0.7028571428571428,0.10503643682658172,0.72,7.6,7.6,5.276362383309167,4,6.0,18
ExtraTrees,0.7397619047619047,0.05921528508250525,0.7133333333333334,0.7898500726154275,0.11067603255289889,0.776870751527952,0.6661344537815126,0.0798718829715984,0.6548672566371682,0.6646031746031745,0.0786425043282857,0.6553968253968254,0.7096503496503497,0.10893874990052436,0.7068965517241379,0.673968253968254,0.12931043738394557,0.6507936507936508,0.6829928460999242,0.09677627849420849,0.6776859504132231,0.6552380952380952,0.10895712610379456,0.66,7.6,7.6,5.276362383309167,4,6.0,18
KNN,0.737281746031746,0.09648282163289171,0.7253968253968254,0.7644380655075591,0.0989604887713249,0.7385829422125374,0.7094677871148459,0.07354574181742542,0.6991150442477876,0.7059523809523809,0.06333114528583006,0.7074603174603175,0.7849206349206349,0.0623993268306164,0.7843137254901961,0.6604761904761904,0.15756588882828482,0.6349206349206349,0.7046884888990151,0.09394464753870248,0.7017543859649122,0.7514285714285714,0.13890240297064846,0.78,7.6,7.6,5.276362383309167,4,6.0,18
RandomForest,0.7266269841269841,0.0952210963665493,0.7209523809523809,0.7564980864917838,0.12506667466848334,0.7447194262640898,0.6334173669467786,0.08911212762849383,0.6194690265486725,0.6133333333333333,0.08185714439612052,0.6174603174603175,0.6695415695415695,0.12276946677455626,0.6666666666666666,0.6523809523809524,0.19227982045051356,0.6349206349206349,0.6449973544973545,0.1343170940149913,0.6504065040650406,0.5742857142857143,0.2227400995048661,0.6,7.6,7.6,5.276362383309167,4,6.0,18
NaiveBayes,0.7136904761904762,0.14861818386543355,0.6079365079365079,0.7888651703119123,0.06543718785941004,0.6728257010342462,0.5534173669467787,0.11229413263471867,0.5398230088495575,0.5476587301587301,0.12495970627966288,0.5171428571428571,0.6121152295603769,0.13604145645668914,0.569620253164557,0.7626984126984127,0.20623317861269408,0.7142857142857143,0.6429803410448572,0.09984303709963203,0.6338028169014085,0.33261904761904765,0.31947696768283407,0.32,7.6,7.6,5.276362383309167,4,6.0,18
XGBoost,0.6921825396825396,0.062173004505910866,0.6853968253968256,0.7582451251905771,0.11584530291317055,0.756498931056321,0.620406162464986,0.08966379116466996,0.6283185840707964,0.5920238095238095,0.10609914928244267,0.6212698412698413,0.6401574895692543,0.15541320308916468,0.6615384615384615,0.6680952380952381,0.15121278425599133,0.6825396825396826,0.6488387096774193,0.13807048524931861,0.671875,0.5159523809523809,0.2228647739841207,0.56,7.6,7.6,5.276362383309167,4,6.0,18
LightGBM,0.6778174603174604,0.07548912479094722,0.6673015873015873,0.7270038803809852,0.11781466662642612,0.7147439046582542,0.5924089635854342,0.028032435931267165,0.5929203539823009,0.5835714285714285,0.04897127669402835,0.5936507936507937,0.6446753246753247,0.1209664796079201,0.6491228070175439,0.5928571428571429,0.08663526380314406,0.5873015873015873,0.6102880890381878,0.07663120110011216,0.6166666666666667,0.5742857142857143,0.15688579262456384,0.6,7.6,7.6,5.276362383309167,4,6.0,18
