Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",LogisticRegression,0.8125,0.7083333333333334,0.7083333333333333,0.7852347883597883,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.5,0.8015238095238095
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",SVM_RBF,0.7986111111111112,0.625,0.625,0.7417811355311356,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.4166666666666667,0.8303458646616542
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",SVM_Linear,0.8055555555555556,0.7083333333333334,0.7083333333333333,0.7952829363046081,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.5,0.8344908424908425
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",RandomForest,0.7916666666666667,0.7083333333333334,0.7083333333333333,0.7769924519924519,0.6923076923076923,0.75,0.72,0.6666666666666666,0.7465787545787546
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",GradientBoosting,0.7847222222222222,0.8333333333333334,0.8333333333333333,0.7048012173012173,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.75,0.7100451127819548
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",ExtraTrees,0.7916666666666666,0.7083333333333334,0.7083333333333333,0.8126030219780219,0.6923076923076923,0.75,0.72,0.6666666666666666,0.7758827838827839
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",KNN,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6111607142857142,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7871127819548871
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",NaiveBayes,0.7847222222222222,0.5833333333333334,0.5833333333333334,0.8012310606060606,0.5454545454545454,1.0,0.7058823529411765,0.16666666666666666,0.7502417582417582
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",XGBoost,0.8125,0.75,0.75,0.7686901061901061,0.6875,0.9166666666666666,0.7857142857142857,0.5833333333333334,0.7250827067669172
1,89,24,8,8,auto,auto,elasticnet_then_mrmr,"['P1', 'P13', 'P21', 'P25', 'P3', 'P31', 'P34', 'P35', 'P42', 'P9']",LightGBM,0.7361111111111112,0.6666666666666666,0.6666666666666667,0.781031931031931,0.625,0.8333333333333334,0.7142857142857143,0.5,0.6944793388429752
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",LogisticRegression,0.6071428571428572,0.5,0.4857142857142857,0.5826919404125286,0.4,0.4,0.4,0.5714285714285714,0.8413749999999999
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",SVM_RBF,0.6928571428571428,0.625,0.6357142857142857,0.6771645021645021,0.5384615384615384,0.7,0.6086956521739131,0.5714285714285714,0.8153333333333334
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",SVM_Linear,0.6,0.5833333333333334,0.6,0.576812865497076,0.5,0.7,0.5833333333333334,0.5,0.8205416666666666
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",RandomForest,0.5214285714285715,0.5,0.4857142857142857,0.47116726110147156,0.4,0.4,0.4,0.5714285714285714,0.8355353535353535
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",GradientBoosting,0.41428571428571426,0.4166666666666667,0.3857142857142857,0.4309962406015037,0.25,0.2,0.2222222222222222,0.5714285714285714,0.8049166666666665
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",ExtraTrees,0.6428571428571429,0.625,0.65,0.542744156428367,0.5333333333333333,0.8,0.64,0.5,0.8101250000000001
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",KNN,0.5750000000000001,0.625,0.6357142857142857,0.4706602221308103,0.5384615384615384,0.7,0.6086956521739131,0.5714285714285714,0.8517916666666667
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",NaiveBayes,0.7428571428571429,0.5833333333333334,0.6428571428571428,0.6038095238095238,0.5,1.0,0.6666666666666666,0.2857142857142857,0.7471821862348177
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",XGBoost,0.3857142857142857,0.375,0.35,0.4406663505576549,0.2222222222222222,0.2,0.21052631578947367,0.5,0.7147935222672064
2,89,24,18,18,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",LightGBM,0.4642857142857143,0.5,0.4857142857142857,0.47657329598506065,0.4,0.4,0.4,0.5714285714285714,0.7496767676767677
