Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_PR_AUC,Std_PR_AUC,Min_PR_AUC,Max_PR_AUC,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Min_Balanced_Accuracy,Max_Balanced_Accuracy,Mean_Precision,Std_Precision,Min_Precision,Max_Precision,Mean_Recall,Std_Recall,Min_Recall,Max_Recall,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Specificity,Std_Specificity,Min_Specificity,Max_Specificity,Mean_n_feats,Std_n_feats,Min_n_feats,Max_n_feats
LightGBM,0.731111111111111,0.11027198731634848,0.5694444444444443,0.880952380952381,0.7824336762152567,0.13103518599851144,0.618452380952381,0.9395992895992895,0.7086414565826331,0.15413460838112977,0.47058823529411764,0.9,0.7138095238095238,0.14011769339385952,0.4722222222222222,0.8333333333333333,0.745,0.2018662923818635,0.5,1.0,0.7299999999999999,0.23139405756532128,0.4444444444444444,1.0,0.7176414565826331,0.16478939507048082,0.47058823529411764,0.9333333333333333,0.6976190476190476,0.19372233911245706,0.5,1.0,9.2,5.585696017507576,4.0,16.0
SVM_RBF,0.7183333333333334,0.09022888087980686,0.6388888888888888,0.8472222222222222,0.7584668538089591,0.1508235050332181,0.5246464646464646,0.9033579359237254,0.6896498599439775,0.1115443391702977,0.5833333333333334,0.875,0.7037301587301588,0.10213672111908341,0.6142857142857143,0.875,0.733939393939394,0.16284037602033044,0.5,0.9,0.7584126984126984,0.179717311123218,0.5,1.0,0.7232722832722833,0.10975994869087549,0.6153846153846154,0.8888888888888888,0.6490476190476191,0.18993673609605083,0.42857142857142855,0.9,9.2,5.585696017507576,4.0,16.0
RandomForest,0.7120238095238095,0.06770055263742274,0.5972222222222222,0.7708333333333334,0.7716020231563501,0.09088486389619528,0.6469337525219878,0.875208558688951,0.6343557422969188,0.15565881400150286,0.47058823529411764,0.85,0.6423015873015874,0.15993678283119725,0.4722222222222222,0.8452380952380952,0.677948717948718,0.23368949993530552,0.4,0.9230769230769231,0.6069841269841271,0.22052241050490864,0.4,0.8571428571428571,0.628615001556178,0.19859178872474625,0.4,0.8888888888888888,0.6776190476190476,0.17706987743994926,0.5,0.9,9.2,5.585696017507576,4.0,16.0
LogisticRegression,0.707936507936508,0.0647834931337858,0.6357142857142857,0.8055555555555556,0.77168916593478,0.11377417288769022,0.606031746031746,0.8881271506271505,0.6628851540616247,0.08288577647790701,0.5833333333333334,0.75,0.6747619047619048,0.07238643462947564,0.5833333333333333,0.75,0.7067307692307693,0.1668012893185877,0.5,0.9,0.7338095238095238,0.15786630010069597,0.5,0.9166666666666666,0.6980699612278559,0.09436268476923526,0.6153846153846154,0.8148148148148148,0.6157142857142857,0.18226031071431326,0.42857142857142855,0.9,9.2,5.585696017507576,4.0,16.0
SVM_Linear,0.7051587301587302,0.05346550374496577,0.6527777777777778,0.7777777777777778,0.7790563675027488,0.10982838196428461,0.6245100069013113,0.8916985791985791,0.6746498599439776,0.07325646284688861,0.5833333333333334,0.75,0.6903174603174603,0.059775657685220654,0.6142857142857143,0.75,0.7298368298368298,0.19498106482423688,0.5,1.0,0.7615873015873016,0.19983742447477276,0.4444444444444444,1.0,0.7091168091168092,0.0962891313776086,0.6153846153846154,0.8148148148148148,0.6190476190476191,0.23022713816444898,0.42857142857142855,1.0,9.2,5.585696017507576,4.0,16.0
KNN,0.6880753968253968,0.13599823516224815,0.4821428571428572,0.8630952380952381,0.7275500047481472,0.1815879110396212,0.440400857312622,0.9331932773109244,0.609313725490196,0.10006485786002353,0.5,0.75,0.603531746031746,0.07046087215549549,0.5071428571428571,0.6785714285714286,0.6623809523809523,0.16514955772642434,0.42857142857142855,0.8333333333333334,0.5758730158730159,0.27068821334431503,0.2777777777777778,0.8571428571428571,0.5861054766734279,0.19644862875630728,0.35294117647058826,0.8275862068965517,0.6311904761904762,0.2020312104040469,0.375,0.9,9.2,5.585696017507576,4.0,16.0
NaiveBayes,0.6762301587301588,0.10819519217355925,0.5555555555555556,0.798611111111111,0.7335229949597855,0.11935827551026786,0.5863895363895364,0.8369368264079308,0.5490196078431373,0.12768643409442262,0.4117647058823529,0.75,0.5516269841269842,0.15199736255519022,0.40476190476190477,0.7714285714285715,0.6226984126984128,0.1433870243443072,0.4444444444444444,0.8333333333333334,0.6363492063492063,0.27997003402980203,0.2777777777777778,0.9166666666666666,0.5882936507936508,0.14926187859805432,0.4166666666666667,0.75,0.4669047619047618,0.30173158620432616,0.16666666666666666,0.9,9.2,5.585696017507576,4.0,16.0
GradientBoosting,0.6715079365079365,0.0735006712278865,0.5625,0.7291666666666667,0.7201323628231147,0.15197931360041275,0.5345754245754245,0.8716844331892982,0.624453781512605,0.08510050733305449,0.5294117647058824,0.7083333333333334,0.6156349206349205,0.08629816564563791,0.5214285714285715,0.7083333333333333,0.6622710622710622,0.1614306073412998,0.4444444444444444,0.8333333333333334,0.6093650793650793,0.15851016500901982,0.4,0.7857142857142857,0.629797827903091,0.14395499030156603,0.42105263157894735,0.7857142857142857,0.621904761904762,0.1263745288495673,0.5,0.8,9.2,5.585696017507576,4.0,16.0
ExtraTrees,0.6603571428571429,0.06633907133802396,0.5972222222222222,0.7569444444444444,0.7364185509764226,0.13074730999543857,0.527165684556989,0.8449261789736137,0.6019327731092438,0.037610766403629876,0.5714285714285714,0.6666666666666666,0.6174999999999999,0.042067329115197824,0.5714285714285714,0.6666666666666666,0.675,0.1455354099714415,0.5,0.875,0.6752380952380952,0.18983556290195694,0.3888888888888889,0.9,0.6413919413919414,0.06013911337367968,0.5384615384615384,0.6923076923076923,0.5597619047619047,0.22691050809693072,0.35714285714285715,0.9,9.2,5.585696017507576,4.0,16.0
XGBoost,0.6229761904761905,0.13468528142114894,0.4444444444444444,0.7380952380952381,0.7013946683494022,0.1782614343593139,0.4409957433870477,0.8652626445462703,0.603641456582633,0.13503404454832402,0.4583333333333333,0.75,0.5978571428571428,0.14291378947452996,0.4357142857142857,0.7777777777777778,0.6599999999999999,0.2586288632169443,0.3333333333333333,1.0,0.5314285714285714,0.20541730964315785,0.3,0.8571428571428571,0.5799356403178331,0.20073811798938443,0.3157894736842105,0.8275862068965517,0.6642857142857143,0.2136896471664513,0.5,1.0,9.2,5.585696017507576,4.0,16.0
