,SVM_RBF,SVM_Linear,LogisticRegression,NaiveBayes,ExtraTrees,GradientBoosting,RandomForest,LightGBM,KNN,XGBoost
SVM_RBF,1.0,0.6006591258901862,0.3908946123071,0.06072031930982219,0.7119691282089191,0.11170444763305296,0.9480656773766567,0.12199403264440717,0.12873296284741922,0.19100461677631497
SVM_Linear,0.6006591258901862,1.0,0.25495900774386115,0.036729470848883575,0.936275340212753,0.2889702636177388,0.6356471623057682,0.1570358239920056,0.22801283841248965,0.28314232672543094
LogisticRegression,0.3908946123071,0.25495900774386115,1.0,0.058436612375857795,0.7179811680059625,0.41942120791735094,0.47952494304782967,0.2498936226925763,0.3679153471225727,0.42880580237228594
NaiveBayes,0.06072031930982219,0.036729470848883575,0.058436612375857795,1.0,0.1298243485331259,0.6779258297801765,0.0911366503054425,0.852753040376332,0.5240535575938183,0.5392614509749896
ExtraTrees,0.7119691282089191,0.936275340212753,0.7179811680059625,0.1298243485331259,1.0,0.20538849672633208,0.5412374768260626,0.07396063847045091,0.24746732163316965,0.20476475618071766
GradientBoosting,0.11170444763305296,0.2889702636177388,0.41942120791735094,0.6779258297801765,0.20538849672633208,1.0,0.06384199113043149,0.7555085543205683,0.9114172361262278,0.8687965573647103
RandomForest,0.9480656773766567,0.6356471623057682,0.47952494304782967,0.0911366503054425,0.5412374768260626,0.06384199113043149,1.0,0.019002884753584578,0.13376643643365135,0.039943916708304425
LightGBM,0.12199403264440717,0.1570358239920056,0.2498936226925763,0.852753040376332,0.07396063847045091,0.7555085543205683,0.019002884753584578,1.0,0.6933050705723531,0.5048788571956748
KNN,0.12873296284741922,0.22801283841248965,0.3679153471225727,0.5240535575938183,0.24746732163316965,0.9114172361262278,0.13376643643365135,0.6933050705723531,1.0,0.9731358945877844
XGBoost,0.19100461677631497,0.28314232672543094,0.42880580237228594,0.5392614509749896,0.20476475618071766,0.8687965573647103,0.039943916708304425,0.5048788571956748,0.9731358945877844,1.0
