Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
SVM_Linear,0.7475,0.7472290995722556,0.6568788101402816,0.8321558647430516,0.7681469750331955,0.7782147199867082,0.6532440918423994,0.8863999368695844,0.7017543859649122,0.7059375,0.671875,0.74,0.7678571428571429,0.6379310344827587,0.7166666666666667,0.4047911547911548,0.20880822187754353,37,13,21,43,13.2,6.572670690061994
LogisticRegression,0.7371875,0.7372154644727997,0.6413527077497666,0.8201809279008698,0.7639959551015607,0.7737513230423738,0.6474543598106635,0.8805659534584636,0.7017543859649122,0.7059375,0.671875,0.74,0.7678571428571429,0.6379310344827587,0.7166666666666667,0.4047911547911548,0.2141053612735159,37,13,21,43,13.2,6.572670690061994
SVM_RBF,0.7234375000000001,0.7233847471100824,0.6243156749088952,0.811006963612999,0.7968824456939129,0.79816946051332,0.696196850209155,0.8813479828107458,0.6929824561403509,0.7003125,0.640625,0.76,0.7735849056603774,0.6229508196721312,0.7008547008547008,0.3912114739090632,0.2172100836458411,38,12,23,41,13.2,6.572670690061994
RandomForest,0.7209375,0.7219151923401455,0.6276837102282192,0.813571274125984,0.7761388466631465,0.7797432576391131,0.6646631845382618,0.8720474019113801,0.6842105263157895,0.6859375,0.671875,0.7,0.7413793103448276,0.625,0.7049180327868853,0.36705737199259714,0.2125072771743926,35,15,21,43,13.2,6.572670690061994
ExtraTrees,0.7128125,0.7129583186000373,0.6175515163684981,0.8050041627762217,0.7966091910146027,0.7978968584317068,0.6953547693632954,0.8784090299495138,0.6754385964912281,0.678125,0.65625,0.7,0.7368421052631579,0.6140350877192983,0.6942148760330579,0.3508771929824561,0.219169562738136,35,15,22,42,13.2,6.572670690061994
KNN,0.690625,0.6915435877078768,0.596339823209867,0.7837157076883918,0.757432501457045,0.7603508433225342,0.6462232512850934,0.8528476986653066,0.6403508771929824,0.6490625,0.578125,0.72,0.7254901960784313,0.5714285714285714,0.6434782608695652,0.2898814949863264,0.2331939183015763,36,14,27,37,13.2,6.572670690061994
NaiveBayes,0.6868749999999999,0.6872507606026576,0.5869091748934107,0.7771626011515717,0.7267042745644972,0.735253221962296,0.6076667273276586,0.844227717880842,0.6140350877192983,0.5840625,0.828125,0.34,0.6162790697674418,0.6071428571428571,0.7066666666666667,0.17662508207485228,0.34616363867637495,17,33,11,53,13.2,6.572670690061994
GradientBoosting,0.67328125,0.6738587424448299,0.5732213058563475,0.7701814846308893,0.7756739592613922,0.7780700976005428,0.6730970851902923,0.8643905883737705,0.6666666666666666,0.6681250000000001,0.65625,0.68,0.7241379310344828,0.6071428571428571,0.6885245901639344,0.3318938926588525,0.2293816284865284,34,16,22,42,13.2,6.572670690061994
LightGBM,0.6626562499999998,0.6634156529734171,0.5665259560110533,0.7645277756943071,0.7387484981643722,0.7419570477150763,0.6232121171805907,0.8389532973714781,0.6403508771929824,0.6359375,0.671875,0.6,0.6825396825396826,0.5882352941176471,0.6771653543307087,0.27128157156220767,0.25200518994832305,30,20,21,43,13.2,6.572670690061994
XGBoost,0.66125,0.6621064812505972,0.5629728477610647,0.7547298576986077,0.7637329730388517,0.7657880253337933,0.6613972237678971,0.8529920724129504,0.6228070175438597,0.6203125,0.640625,0.6,0.6721311475409836,0.5660377358490566,0.656,0.23905619372865572,0.265372316425085,30,20,23,41,13.2,6.572670690061994
