Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
ExtraTrees,0.7180535590583437,0.10841324909032694,0.61375,0.8120023129646459,0.11051606995484564,0.692549639233973,0.6050268572007702,0.10041652995242298,0.6052631578947368,0.6365098351940458,0.11628021754484265,0.606875,0.6816017316017317,0.21554181675480766,0.6666666666666666,0.6139287612971824,0.16382543805570587,0.59375,0.6205567765567765,0.12253231679512001,0.628099173553719,0.6590909090909091,0.2009504505167922,0.62,11.2,11.2,5.1536394906900505,4,14.0,16
KNN,0.6973361894175291,0.11292500701592756,0.63234375,0.7782267805397881,0.11019307799988018,0.7364512523939478,0.6240368327324849,0.09781620572158513,0.6228070175438597,0.6465781878939774,0.10289738640086768,0.6246875000000001,0.6824242424242424,0.17165964574158038,0.6842105263157895,0.6293035619351408,0.18586147635760739,0.609375,0.6351794871794871,0.12529606227477685,0.6446280991735537,0.6638528138528138,0.13088635593597678,0.64,11.2,11.2,5.1536394906900505,4,14.0,16
NaiveBayes,0.6925599121771371,0.11689243392087721,0.60125,0.7495464152770079,0.14946724469535158,0.6492702781210439,0.5730877817834339,0.09542349811238983,0.5789473684210527,0.5962238930659983,0.10561454541282161,0.5659375,0.6583333333333333,0.23333333333333334,0.6142857142857143,0.6829239766081872,0.2125788185882508,0.671875,0.6202672689629212,0.11352497450261585,0.6417910447761194,0.5095238095238095,0.3344708482055196,0.46,11.2,11.2,5.1536394906900505,4,14.0,16
GradientBoosting,0.6604255070642631,0.16418527961632784,0.56140625,0.7390044901290905,0.17116824297675295,0.6519111026735377,0.5821700039091343,0.12167830927457263,0.5789473684210527,0.6141074276600593,0.12562007963261154,0.58125,0.655959595959596,0.17312742355047622,0.6428571428571429,0.6029984051036682,0.23063101846204784,0.5625,0.5979307359307359,0.13347293641749206,0.6,0.6252164502164501,0.1570844106781748,0.6,11.2,11.2,5.1536394906900505,4,14.0,16
LogisticRegression,0.6555764411027569,0.14552182190136778,0.6057812499999999,0.7349199371469528,0.17583337839704657,0.7130422185264074,0.5609332696289219,0.05165253803517986,0.5614035087719298,0.590860484544695,0.07143180140923373,0.5503125,0.64,0.17604464199836178,0.6029411764705882,0.6769590643274854,0.19099297027670908,0.640625,0.6170918177274999,0.04991779815684618,0.6212121212121212,0.5047619047619047,0.2989588888686203,0.46,11.2,11.2,5.1536394906900505,4,14.0,16
XGBoost,0.6532867810020919,0.17539052159802987,0.55078125,0.7204614366729511,0.1857856894411181,0.6193358421811924,0.5542066629023151,0.12039344499357947,0.5526315789473685,0.5967557150451888,0.11866105302687822,0.5446875,0.6508403361344538,0.21944039091169418,0.6,0.6609356725146199,0.251263460323267,0.609375,0.5978095238095238,0.13305740155603343,0.6046511627906976,0.5325757575757576,0.2655797407830968,0.48,11.2,11.2,5.1536394906900505,4,14.0,16
RandomForest,0.6418571624193634,0.15611244439638222,0.5389062499999999,0.7450093430223326,0.1682695083287421,0.5964655791196452,0.5526705178879092,0.10093248488862681,0.5526315789473685,0.581398192450824,0.1184759658500195,0.546875,0.6390567765567765,0.210502812664655,0.6031746031746031,0.6234024455077087,0.153942867611879,0.59375,0.5970899470899471,0.09417989417989417,0.5984251968503937,0.5393939393939394,0.257013646899106,0.5,11.2,11.2,5.1536394906900505,4,14.0,16
LightGBM,0.5955049181723823,0.17340151097805911,0.54609375,0.6984453042441555,0.1835176768003463,0.6261957905262161,0.5631223848615152,0.10594280848898663,0.5614035087719298,0.5899407609933925,0.11714087942599467,0.5634375,0.6392156862745099,0.19386110113307986,0.625,0.5781499202551834,0.23891495944564747,0.546875,0.5744236660026134,0.13920975916885414,0.5833333333333334,0.6017316017316017,0.20239657786288903,0.58,11.2,11.2,5.1536394906900505,4,14.0,16
SVM_Linear,0.5922743958150657,0.23741082956671183,0.6228125000000001,0.7196097983693217,0.20908617646695976,0.7367278587256438,0.5886388973345495,0.053832842297424695,0.5877192982456141,0.6282163742690059,0.0728422963448725,0.6021875,0.5833333333333333,0.33565855667130945,0.6888888888888889,0.5064327485380117,0.2913065020386996,0.484375,0.5078518518518519,0.2550462342765635,0.5688073394495413,0.75,0.22973414586817034,0.72,11.2,11.2,5.1536394906900505,4,14.0,16
SVM_RBF,0.5720669327128658,0.2165383714558304,0.5737500000000001,0.7085030774627625,0.2046086044836424,0.7163737217149845,0.47012407881973095,0.1294436094396204,0.47368421052631576,0.5060518721045036,0.15091521601161198,0.4765625,0.5175854700854702,0.3146661291119297,0.5370370370370371,0.46643274853801164,0.2603345885837375,0.453125,0.4586335403726708,0.232473099819265,0.4915254237288136,0.5456709956709956,0.22411264191347463,0.5,11.2,11.2,5.1536394906900505,4,14.0,16
