fpr,tpr,threshold
0.0,0.0,inf
0.02,0.046875,1.0
0.02,0.0625,0.9999962926089957
0.04,0.0625,0.9999934318494647
0.04,0.09375,0.9999875061375534
0.06,0.09375,0.9999692503580552
0.06,0.15625,0.9993154371864985
0.08,0.15625,0.9989406501299337
0.08,0.1875,0.9984087841199165
0.1,0.1875,0.9977678323468271
0.1,0.234375,0.9959613252693088
0.12,0.234375,0.9955746770195666
0.12,0.296875,0.9921207431091452
0.14,0.296875,0.9913384352805323
0.14,0.4375,0.9676612730072885
0.16,0.4375,0.9651685642431874
0.16,0.453125,0.9626310833017852
0.18,0.453125,0.9545244656402442
0.18,0.484375,0.9319897994721309
0.2,0.484375,0.9196714411153415
0.2,0.515625,0.9076296184134656
0.22,0.515625,0.905170667787192
0.22,0.5625,0.8979063643343894
0.24,0.5625,0.8968423245450858
0.24,0.59375,0.8818927379843703
0.3,0.59375,0.820096365264323
0.3,0.609375,0.809020060809877
0.4,0.609375,0.7415716711955131
0.4,0.65625,0.7210410082002932
0.42,0.65625,0.7078814840106642
0.42,0.6875,0.6811607735356164
0.44,0.6875,0.6772534874580545
0.44,0.703125,0.6411656241414809
0.5,0.703125,0.5575088891499795
0.5,0.734375,0.5329836721610419
0.52,0.734375,0.5324991042429071
0.52,0.75,0.501069142977646
0.54,0.75,0.49104960945512566
0.54,0.765625,0.4766748753879268
0.56,0.765625,0.47362121961234926
0.56,0.78125,0.4517743228244026
0.62,0.78125,0.416851847227564
0.62,0.8125,0.3991915250152812
0.64,0.8125,0.3968195520634115
0.64,0.859375,0.3309875969197139
0.66,0.859375,0.2977777307838033
0.66,0.875,0.2731785912692014
0.74,0.875,0.19294600500266143
0.74,0.890625,0.18785212817267471
0.78,0.890625,0.1853284142245716
0.78,0.90625,0.17999602010866436
0.86,0.90625,0.06673951698206233
0.86,0.9375,0.0055465776999938515
0.9,0.9375,0.0026026491118615823
0.9,0.953125,0.00011492998844880108
0.92,0.953125,2.941476907993829e-05
0.92,0.96875,4.89748329910057e-07
0.96,0.96875,6.327204374022956e-11
0.96,0.984375,2.657121924939336e-12
0.98,0.984375,6.062294857565316e-33
0.98,1.0,5.0415640552833154e-98
1.0,1.0,1.9304940119483946e-275
