Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
SVM_RBF,0.6718139730639731,0.1418585312063056,0.6142011834319527,0.7266762591994688,0.0871786431694808,0.6282235825744386,0.58343258891646,0.0999089592221874,0.5982905982905983,0.5826641414141414,0.0958635351193296,0.5807692307692308,0.5957189542483661,0.1488272896152512,0.6153846153846154,0.7342171717171717,0.1124460668371653,0.7384615384615385,0.6418595130359837,0.1076118204374747,0.6713286713286714,0.4311111111111111,0.1642641654451229,0.4230769230769231,8.0,8.0,0.0,8,8.0,8,legacy_elasticnet_then_mrmr_k8_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k8_no_smote,legacy_elasticnet_then_mrmr_k8,elasticnet_then_mrmr,8,False,25,4,1.6
SVM_RBF,0.6710479797979798,0.1382978908981435,0.6084319526627219,0.7294291104255205,0.0877518805599047,0.6278328675155334,0.5647844867199706,0.1123360333417779,0.5897435897435898,0.5698232323232324,0.0931802013902603,0.573076923076923,0.5895575896262394,0.1546380000330072,0.6103896103896104,0.7174242424242424,0.128483374419789,0.7230769230769231,0.6264511958629606,0.1153740687837152,0.6619718309859155,0.4222222222222222,0.1837873166945363,0.4230769230769231,10.0,10.0,0.0,10,10.0,10,legacy_elasticnet_then_mrmr_k10_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k10_no_smote,legacy_elasticnet_then_mrmr_k10,elasticnet_then_mrmr,10,False,31,5,1.6129032258064515
NaiveBayes,0.6604854096520765,0.0793669285272128,0.6355029585798817,0.6973523340123146,0.0778344073495039,0.6557069154216687,0.6820806911129492,0.08937136387505,0.6666666666666666,0.6500757575757575,0.1007318642671059,0.6423076923076924,0.6759383046147752,0.0898206117767547,0.6511627906976745,0.8512626262626263,0.1028940473551525,0.8615384615384616,0.7420039496826882,0.0166073557530754,0.7417218543046358,0.4488888888888889,0.278408173570948,0.4230769230769231,6.0,6.0,0.0,6,6.0,6,legacy_elasticnet_then_mrmr_k6_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k6_no_smote,legacy_elasticnet_then_mrmr_k6,elasticnet_then_mrmr,6,False,20,4,1.5
SVM_RBF,0.657425645342312,0.1561362402283333,0.628698224852071,0.7322322144895754,0.1089511620677227,0.6318949841559003,0.5824767944122783,0.1131806099920633,0.6068376068376068,0.5740530303030303,0.0897547539154524,0.5846153846153846,0.5904347826086955,0.1498430180445881,0.6144578313253012,0.7703282828282829,0.0967211276454469,0.7846153846153846,0.6535955272797377,0.1193977020685533,0.6891891891891891,0.3777777777777777,0.1727054153575595,0.3846153846153846,6.0,6.0,0.0,6,6.0,6,legacy_elasticnet_then_mrmr_k6_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k6_no_smote,legacy_elasticnet_then_mrmr_k6,elasticnet_then_mrmr,6,False,20,4,1.5
SVM_Linear,0.6513103254769922,0.1235849310753584,0.6088757396449704,0.6869938972600118,0.1225094144929473,0.6279895220103943,0.5737174892013602,0.0807334097129113,0.5897435897435898,0.5861363636363637,0.0754226244292002,0.5692307692307692,0.5907894736842105,0.1267549817292856,0.6049382716049383,0.7856060606060605,0.151711047604008,0.7538461538461538,0.6508301502419149,0.0739941035771433,0.6712328767123288,0.3866666666666666,0.154344492037203,0.3846153846153846,8.0,8.0,0.0,8,8.0,8,legacy_elasticnet_then_mrmr_k8_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k8_no_smote,legacy_elasticnet_then_mrmr_k8,elasticnet_then_mrmr,8,False,25,4,1.6
SVM_Linear,0.6506383277216612,0.1249576127210438,0.6139053254437871,0.6924480876636195,0.1268668655424168,0.6282547363721128,0.5747844867199705,0.1171481739190399,0.5982905982905983,0.5809343434343435,0.0999082181983291,0.5826923076923076,0.6062242562929062,0.166115395834744,0.618421052631579,0.7174242424242424,0.128483374419789,0.7230769230769231,0.6327669853366447,0.1146150608149634,0.6666666666666666,0.4444444444444445,0.2159103609153977,0.4423076923076923,6.0,6.0,0.0,6,6.0,6,legacy_elasticnet_then_mrmr_k6_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k6_no_smote,legacy_elasticnet_then_mrmr_k6,elasticnet_then_mrmr,6,False,20,4,1.5
LogisticRegression,0.6458557800224467,0.1209056428824151,0.6390532544378698,0.6859764385465069,0.1218706726307362,0.6546051250139531,0.605727414759673,0.078033003772443,0.5982905982905983,0.6043434343434344,0.1006700272792698,0.5980769230769231,0.6444444444444445,0.104013682066069,0.65,0.6131313131313132,0.0939875786056316,0.6,0.6152904279991567,0.046131384432048,0.624,0.5955555555555556,0.202405289541968,0.5961538461538461,8.0,8.0,0.0,8,8.0,8,legacy_elasticnet_then_mrmr_k8_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k8_no_smote,legacy_elasticnet_then_mrmr_k8,elasticnet_then_mrmr,8,False,25,4,1.6
LogisticRegression,0.638094837261504,0.1203537152398508,0.6452662721893491,0.6864449301801187,0.1217709809057436,0.6603619060228774,0.6124639279477989,0.0689820103329459,0.6068376068376068,0.6057323232323231,0.0921593097363721,0.6038461538461538,0.6428132832080201,0.0891892139989157,0.6507936507936508,0.6381313131313131,0.1018066759873051,0.6307692307692307,0.6276587301587302,0.0470474289352027,0.640625,0.5733333333333334,0.1994560504205944,0.5769230769230769,6.0,6.0,0.0,6,6.0,6,legacy_elasticnet_then_mrmr_k6_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k6_no_smote,legacy_elasticnet_then_mrmr_k6,elasticnet_then_mrmr,6,False,20,4,1.5
NaiveBayes,0.627020202020202,0.1136335297065259,0.631508875739645,0.6820153961378013,0.0738550732966252,0.6486849833228077,0.6095735686058267,0.1389227501561919,0.6068376068376068,0.576780303030303,0.1208998529208452,0.5903846153846154,0.6194294916034047,0.1263516533566107,0.6233766233766234,0.682449494949495,0.2473490971473438,0.7384615384615385,0.6306595536246699,0.1422554491482236,0.676056338028169,0.471111111111111,0.2634622281827365,0.4423076923076923,8.0,8.0,0.0,8,8.0,8,legacy_elasticnet_then_mrmr_k8_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k8_no_smote,legacy_elasticnet_then_mrmr_k8,elasticnet_then_mrmr,8,False,25,4,1.6
LogisticRegression,0.6268532547699215,0.1164593739785659,0.6230769230769231,0.6845861066649946,0.1103955118127713,0.6451860487637997,0.593246025181509,0.0831712142664164,0.5982905982905983,0.5910858585858586,0.1002617353223043,0.5942307692307692,0.6213352007469655,0.1159677773334074,0.640625,0.6310606060606061,0.1422064743921492,0.6307692307692307,0.6074866310160428,0.0969434797315479,0.6356589147286822,0.5511111111111111,0.193932659815746,0.5576923076923077,10.0,10.0,0.0,10,10.0,10,legacy_elasticnet_then_mrmr_k10_no_smote,nested_cv_outputs_single_batch/Pre_M1/fs_method_comparison/legacy_elasticnet_then_mrmr_k10_no_smote,legacy_elasticnet_then_mrmr_k10,elasticnet_then_mrmr,10,False,31,5,1.6129032258064515
