Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
LogisticRegression,KNN,0.6452662721893492,0.5418639053254439,0.10340236686390525,2.6991517921318415,0.006951646100233871,✓,✓,0.3128240745105242,✗
LogisticRegression,GradientBoosting,0.6452662721893492,0.5411242603550297,0.10414201183431948,2.6703377157070474,0.007577499085900094,✓,✓,0.34098745886550424,✗
LogisticRegression,RandomForest,0.6452662721893492,0.5473372781065089,0.09792899408284028,2.4666292828387237,0.01363914825689327,✓,✗,0.6137616715601972,✗
SVM_RBF,KNN,0.6286982248520709,0.5418639053254439,0.08683431952662701,2.430167270078297,0.015091855968879091,✓,✗,0.6791335185995591,✗
SVM_Linear,LogisticRegression,0.613905325443787,0.6452662721893492,-0.031360946745562224,-2.395064197067198,0.016617455495240744,✓,✗,0.7477854972858334,✗
LogisticRegression,ExtraTrees,0.6452662721893492,0.553698224852071,0.09156804733727819,2.115079268717669,0.034423191822298534,✓,✗,1.0,✗
SVM_RBF,GradientBoosting,0.6286982248520709,0.5411242603550297,0.08757396449704125,2.110662114057697,0.034801364613247995,✓,✗,1.0,✗
SVM_Linear,KNN,0.613905325443787,0.5418639053254439,0.07204142011834302,2.0058105835703595,0.04487646104985004,✓,✗,1.0,✗
SVM_RBF,RandomForest,0.6286982248520709,0.5473372781065089,0.08136094674556205,1.972302275716188,0.04857511000811478,✓,✗,1.0,✗
NaiveBayes,KNN,0.6355029585798817,0.5418639053254439,0.09363905325443778,1.950487786715427,0.05111800767540774,✗,✗,1.0,✗
SVM_Linear,GradientBoosting,0.613905325443787,0.5411242603550297,0.07278106508875726,1.85667065771503,0.06335802453821734,✗,✗,1.0,✗
NaiveBayes,GradientBoosting,0.6355029585798817,0.5411242603550297,0.09437869822485201,1.8199290049161385,0.06876981718649293,✗,✗,1.0,✗
SVM_RBF,ExtraTrees,0.6286982248520709,0.553698224852071,0.07499999999999996,1.7427448665625889,0.08137819071079941,✗,✗,1.0,✗
LogisticRegression,LightGBM,0.6452662721893492,0.5492603550295858,0.09600591715976337,1.7208631019658462,0.08527566853796989,✗,✗,1.0,✗
NaiveBayes,RandomForest,0.6355029585798817,0.5473372781065089,0.08816568047337281,1.6172095643032283,0.1058330525035401,✗,✗,1.0,✗
SVM_Linear,RandomForest,0.613905325443787,0.5473372781065089,0.06656804733727806,1.6099376229259001,0.10741147448987826,✗,✗,1.0,✗
NaiveBayes,ExtraTrees,0.6355029585798817,0.553698224852071,0.08180473372781072,1.500935515663802,0.1333722410432262,✗,✗,1.0,✗
LogisticRegression,XGBoost,0.6452662721893492,0.5662721893491125,0.07899408284023668,1.4609561850603259,0.14402746603493685,✗,✗,1.0,✗
SVM_RBF,LightGBM,0.6286982248520709,0.5492603550295858,0.07943786982248513,1.4016689143162944,0.16101413746783289,✗,✗,1.0,✗
NaiveBayes,LightGBM,0.6355029585798817,0.5492603550295858,0.0862426035502959,1.3672710053335237,0.17154037635750163,✗,✗,1.0,✗
SVM_Linear,ExtraTrees,0.613905325443787,0.553698224852071,0.06020710059171597,1.3360439291466069,0.18153491527497911,✗,✗,1.0,✗
SVM_Linear,LightGBM,0.613905325443787,0.5492603550295858,0.06464497041420114,1.1631951638578815,0.24475032824856147,✗,✗,1.0,✗
SVM_RBF,XGBoost,0.6286982248520709,0.5662721893491125,0.062426035502958444,1.1389921369622644,0.25470643381102887,✗,✗,1.0,✗
NaiveBayes,XGBoost,0.6355029585798817,0.5662721893491125,0.0692307692307692,1.091465731364273,0.27506800287292876,✗,✗,1.0,✗
SVM_Linear,XGBoost,0.613905325443787,0.5662721893491125,0.047633136094674455,0.8674020301602358,0.3857217698942196,✗,✗,1.0,✗
SVM_RBF,SVM_Linear,0.6286982248520709,0.613905325443787,0.014792899408283988,0.8104147898335252,0.41770182039967796,✗,✗,1.0,✗
SVM_RBF,LogisticRegression,0.6286982248520709,0.6452662721893492,-0.016568047337278236,-0.7632355394850392,0.44532293725159444,✗,✗,1.0,✗
XGBoost,GradientBoosting,0.5662721893491125,0.5411242603550297,0.025147928994082802,0.6721251633786519,0.5015040182410037,✗,✗,1.0,✗
RandomForest,XGBoost,0.5473372781065089,0.5662721893491125,-0.018934911242603603,-0.5398317149976138,0.5893130931006013,✗,✗,1.0,✗
NaiveBayes,SVM_Linear,0.6355029585798817,0.613905325443787,0.02159763313609475,0.5297818894108998,0.5962631633313664,✗,✗,1.0,✗
XGBoost,KNN,0.5662721893491125,0.5418639053254439,0.02440828402366857,0.4768613875732363,0.6334608289422161,✗,✗,1.0,✗
LightGBM,XGBoost,0.5492603550295858,0.5662721893491125,-0.017011834319526686,-0.46673612807864584,0.6406886783238168,✗,✗,1.0,✗
ExtraTrees,KNN,0.553698224852071,0.5418639053254439,0.011834319526627057,0.2917648003176866,0.7704664600635328,✗,✗,1.0,✗
GradientBoosting,ExtraTrees,0.5411242603550297,0.553698224852071,-0.01257396449704129,-0.28928748946278404,0.7723613852000482,✗,✗,1.0,✗
