Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",LogisticRegression,0.793388429752066,0.7272727272727273,0.7272727272727273,0.80882942814761,0.6666666666666666,0.9090909090909091,0.7692307692307693,0.5454545454545454,0.6963333333333332
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",SVM_RBF,0.8512396694214877,0.6818181818181818,0.6818181818181819,0.8266889675980587,0.6111111111111112,1.0,0.7586206896551724,0.36363636363636365,0.6226153846153846
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",SVM_Linear,0.8264462809917356,0.5,0.5,0.8394423758060121,0.5,1.0,0.6666666666666666,0.0,0.7410864197530864
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",RandomForest,0.6776859504132231,0.6363636363636364,0.6363636363636364,0.6334903658433069,0.6,0.8181818181818182,0.6923076923076923,0.45454545454545453,0.5713333333333334
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",GradientBoosting,0.5909090909090908,0.5,0.5,0.5721657083886185,0.5,1.0,0.6666666666666666,0.0,0.663
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",ExtraTrees,0.8181818181818181,0.7727272727272727,0.7727272727272727,0.8085137085137085,0.7142857142857143,0.9090909090909091,0.8,0.6363636363636364,0.663
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",KNN,0.8099173553719008,0.6818181818181818,0.6818181818181818,0.7766299357208449,0.625,0.9090909090909091,0.7407407407407407,0.45454545454545453,0.6713333333333333
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",NaiveBayes,0.6942148760330579,0.5,0.5,0.6922158946223118,0.5,1.0,0.6666666666666666,0.0,0.7149230769230769
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",XGBoost,0.5950413223140496,0.5909090909090909,0.5909090909090908,0.5850337793519611,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.2727272727272727,0.7213333333333334
1,92,22,12,12,auto,auto,corr_mrmr,"['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",LightGBM,0.7107438016528925,0.6363636363636364,0.6363636363636364,0.6707420030949443,0.6,0.8181818181818182,0.6923076923076923,0.45454545454545453,0.5995384615384616
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",LogisticRegression,0.7416666666666666,0.7391304347826086,0.6541666666666667,0.8527520318232392,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.375,0.5058095238095239
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",SVM_RBF,0.3083333333333333,0.391304347826087,0.3875,0.5709105453606733,0.5454545454545454,0.4,0.46153846153846156,0.375,0.5274545454545454
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",SVM_Linear,0.3,0.5652173913043478,0.43333333333333335,0.5533540278041558,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.0,0.5388181818181819
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",RandomForest,0.725,0.782608695652174,0.6875,0.8433381124093198,0.75,1.0,0.8571428571428571,0.375,0.582
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",GradientBoosting,0.6666666666666667,0.6956521739130435,0.5916666666666667,0.8132131611078979,0.7,0.9333333333333333,0.8,0.25,0.5638181818181818
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",ExtraTrees,0.6833333333333333,0.782608695652174,0.6875,0.7937102548867253,0.75,1.0,0.8571428571428571,0.375,0.5216825396825397
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",KNN,0.7,0.7391304347826086,0.625,0.7706349206349207,0.7142857142857143,1.0,0.8333333333333334,0.25,0.6183636363636364
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",NaiveBayes,0.5916666666666666,0.6956521739130435,0.5625,0.7630954425691269,0.6818181818181818,1.0,0.8108108108108109,0.125,0.4774545454545454
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",XGBoost,0.6583333333333333,0.6521739130434783,0.5875,0.8207451226104476,0.7058823529411765,0.8,0.75,0.375,0.6288253968253968
2,91,23,18,18,auto,auto,corr_mrmr,"['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",LightGBM,0.6,0.7391304347826086,0.6541666666666667,0.700073571938897,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.375,0.632
3,93,21,8,8,auto,auto,corr_mrmr,"['ADC_P15', 'ADC_P18', 'ADC_P20', 'ADC_P24', 'ADC_P34', 'ADC_P42', 'ADC_P45', 'ADC_P47', 'ADC_P7']",LogisticRegression,0.7407407407407407,0.7142857142857143,0.7083333333333333,0.7089947089947091,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5205714285714287
3,93,21,8,8,auto,auto,corr_mrmr,"['ADC_P15', 'ADC_P18', 'ADC_P20', 'ADC_P24', 'ADC_P34', 'ADC_P42', 'ADC_P45', 'ADC_P47', 'ADC_P7']",SVM_RBF,0.21296296296296297,0.5238095238095238,0.4722222222222222,0.33419742165872196,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.8333333333333334,0.5361176470588236
3,93,21,8,8,auto,auto,corr_mrmr,"['ADC_P15', 'ADC_P18', 'ADC_P20', 'ADC_P24', 'ADC_P34', 'ADC_P42', 'ADC_P45', 'ADC_P47', 'ADC_P7']",SVM_Linear,0.6759259259259259,0.42857142857142855,0.4861111111111111,0.6848731515398183,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.08333333333333333,0.5205714285714286
3,93,21,8,8,auto,auto,corr_mrmr,"['ADC_P15', 'ADC_P18', 'ADC_P20', 'ADC_P24', 'ADC_P34', 'ADC_P42', 'ADC_P45', 'ADC_P47', 'ADC_P7']",RandomForest,0.7592592592592593,0.7142857142857143,0.7361111111111112,0.6707551707551708,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.5833333333333334,0.7158095238095238
