fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015625,0.9999985290267671
0.0,0.078125,0.9999902472002433
0.02,0.078125,0.9999898031312513
0.02,0.09375,0.999985603522995
0.04,0.09375,0.9999634964386004
0.04,0.109375,0.9999600341556454
0.06,0.109375,0.9999434068713527
0.06,0.125,0.9999316432051992
0.08,0.125,0.9999066079728811
0.08,0.140625,0.9998583718174793
0.1,0.140625,0.9998237187043286
0.1,0.15625,0.9997988239021579
0.12,0.15625,0.9997583017793705
0.12,0.328125,0.9976861120043481
0.14,0.328125,0.9973272534922701
0.14,0.359375,0.9964105611078287
0.16,0.359375,0.9959611751069617
0.16,0.4375,0.9929569445434502
0.18,0.4375,0.991958540984636
0.18,0.5,0.9904221042177151
0.2,0.5,0.990065820013999
0.2,0.515625,0.9894144636830261
0.22,0.515625,0.9893056691050618
0.22,0.53125,0.9880822652264922
0.24,0.53125,0.9869599352797576
0.24,0.546875,0.9857754984301655
0.26,0.546875,0.9831985637682027
0.26,0.5625,0.9825910504847296
0.28,0.5625,0.982370844868363
0.28,0.59375,0.9792318577444503
0.32,0.59375,0.9781619486215756
0.32,0.609375,0.9776633749627714
0.34,0.609375,0.9756452028613961
0.34,0.640625,0.9746834384613409
0.36,0.640625,0.9743916849297012
0.36,0.71875,0.9634455217372292
0.42,0.71875,0.9557388694456193
0.42,0.8125,0.9315378656845363
0.54,0.8125,0.9109067863048377
0.54,0.84375,0.9086604386009887
0.76,0.84375,0.7849060703204567
0.76,0.859375,0.7813867217478544
0.8,0.859375,0.7486578910389994
0.8,0.90625,0.5226500482437687
0.82,0.90625,0.4946164894248995
0.82,0.921875,0.455786922267617
0.84,0.921875,0.3762668345051903
0.84,0.953125,0.3376649258820448
0.94,0.953125,0.03226983489963448
0.94,0.96875,0.012011117219697401
0.98,0.96875,7.989431446266499e-05
0.98,1.0,4.159836239190176e-18
1.0,1.0,0.0
