fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015625,0.9661224246579916
0.02,0.015625,0.9521100480092518
0.02,0.0625,0.9226110398876719
0.04,0.0625,0.918317711062748
0.04,0.125,0.8758179816985432
0.08,0.125,0.8735403316924343
0.08,0.234375,0.8097567400327356
0.1,0.234375,0.8092444183855004
0.1,0.34375,0.7866944327761829
0.12,0.34375,0.7708993268920852
0.12,0.359375,0.7701844570978389
0.22,0.359375,0.7490222109954412
0.22,0.390625,0.7344882694111813
0.24,0.390625,0.7300116150043868
0.24,0.40625,0.7245546195738375
0.28,0.421875,0.715359571973947
0.28,0.484375,0.6744102425462322
0.3,0.484375,0.6708463340605532
0.3,0.5,0.660555328749477
0.34,0.5,0.6317486575399139
0.34,0.515625,0.6291831016957541
0.38,0.53125,0.627934156084963
0.38,0.546875,0.6250183783537385
0.4,0.59375,0.6136385911649647
0.4,0.625,0.5881814466855994
0.42,0.625,0.5770997031879145
0.42,0.671875,0.5403743520184208
0.44,0.671875,0.540123706671163
0.44,0.6875,0.5262566617724677
0.46,0.6875,0.5231617716693493
0.54,0.703125,0.49212124995223233
0.58,0.703125,0.47436697934962657
0.64,0.71875,0.4186067247229351
0.66,0.71875,0.3985407472350939
0.66,0.78125,0.3679059353038839
0.7,0.78125,0.3474583512818284
0.7,0.796875,0.3450622789739072
0.74,0.796875,0.3323262941112126
0.74,0.84375,0.31525976756823365
0.78,0.84375,0.29758100387461023
0.78,0.859375,0.29612141229340944
0.8,0.859375,0.2788073150331432
0.8,0.890625,0.2598296833729983
0.84,0.890625,0.2503594212987113
0.84,0.921875,0.23121816930536912
0.86,0.921875,0.1786808590723236
0.86,0.9375,0.17289336850355072
0.94,0.9375,0.13660955786896978
0.94,0.96875,0.10410768539468723
0.98,0.96875,0.08976867615222522
0.98,1.0,0.08122772139201641
1.0,1.0,0.04296520884376582
