Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
KNN,0.7672478991596638,0.0981678212557853,0.7647235576923077,0.798354315666422,0.0593865832746101,0.8150282786635179,0.6953162583307189,0.0717818685705607,0.6982758620689655,0.6785504201680672,0.0619946005006717,0.7049278846153846,0.7328937728937729,0.1191577737762933,0.7735849056603774,0.5701960784313725,0.2113518124354783,0.640625,0.6263520871143375,0.1497128817448793,0.7008547008547008,0.7869047619047619,0.0898404285114007,0.7692307692307693,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,5,2.1176470588235294
KNN,0.743167211328976,0.1003434110195496,0.7433894230769231,0.7650054883197297,0.0869151581647344,0.7959809455319256,0.6704648089520169,0.0612553418993951,0.6810344827586207,0.6684290382819794,0.0586526620751722,0.6748798076923077,0.6597619047619048,0.1522067456587791,0.7014925373134329,0.703921568627451,0.1409038762605622,0.734375,0.6675019272186857,0.1168848534820607,0.7175572519083969,0.6329365079365079,0.1140898895496672,0.6153846153846154,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,5,2.1176470588235294
SVM_RBF,0.7115149393090568,0.0998157554415249,0.7510516826923077,0.786478322777017,0.1124307688475073,0.8231903139340171,0.676306057062453,0.0278348406635297,0.6724137931034483,0.6546218487394958,0.0639896809340531,0.6742788461538461,0.7105169340463459,0.2218534629310352,0.7241379310344828,0.5901960784313725,0.180392156862745,0.65625,0.6251023486317604,0.1518430627079736,0.6885245901639344,0.719047619047619,0.203248994317576,0.6923076923076923,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,5,2.1176470588235294
SVM_Linear,0.7093930905695611,0.0915527286815818,0.744140625,0.7535593739446229,0.1691791545608705,0.8013510963219737,0.67467936833899,0.042087015178285,0.6810344827586207,0.6658496732026143,0.0243019509053309,0.6748798076923077,0.6614430014430014,0.1343591777911641,0.7014925373134329,0.7039215686274509,0.1359037133424584,0.734375,0.6689932126696833,0.1119226470259843,0.7175572519083969,0.6277777777777778,0.0888888888888888,0.6153846153846154,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,5,2.1176470588235294
SVM_Linear,0.7064612511671335,0.0685291037406294,0.7193509615384616,0.7742573438100031,0.1085830900280154,0.7815473193909858,0.6486875255507069,0.0857620606212445,0.6724137931034483,0.6643090569561158,0.0250553312963342,0.6544471153846154,0.635936507936508,0.1574683049689393,0.6625,0.8294117647058823,0.1748949264390412,0.828125,0.687922748046587,0.1213258332919482,0.7361111111111112,0.4992063492063493,0.1508437677786251,0.4807692307692308,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,5,2.1176470588235294
NaiveBayes,0.7060076252723311,0.0390461400861133,0.7091346153846153,0.7525031189465812,0.1602013804955643,0.7508879040545242,0.604469828774612,0.0334674900280364,0.6120689655172413,0.5751517273576097,0.0324607592659438,0.5871394230769231,0.5726761619190405,0.1227680429290834,0.6091954022988506,0.7745098039215685,0.1742783219081488,0.828125,0.6451945080091533,0.1237280577644995,0.7019867549668874,0.3757936507936508,0.1865822209377625,0.3461538461538461,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,5,2.1176470588235294
NaiveBayes,0.7015468409586058,0.0382823078991677,0.7013221153846154,0.7483989018129524,0.1585504983389075,0.7404062067046328,0.5621621364669196,0.1200314933118302,0.5948275862068966,0.5452007469654528,0.0544739504555781,0.5643028846153846,0.5484842427271213,0.1667652631256051,0.5913978494623656,0.8062745098039216,0.149093892733546,0.859375,0.6383389074693423,0.16386462895856,0.7006369426751592,0.2841269841269841,0.1238095238095238,0.2692307692307692,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,5,2.1176470588235294
RandomForest,0.7009430438842202,0.0929904789475479,0.7175480769230769,0.7692098690968938,0.1069045428424303,0.7567304441543883,0.6550801935674015,0.080914433235034,0.6724137931034483,0.6374883286647993,0.1124096340623302,0.6724759615384616,0.6911111111111111,0.2675356212581332,0.7166666666666667,0.6019607843137255,0.177945902816289,0.671875,0.621187147738872,0.1885305610730794,0.6935483870967742,0.6730158730158731,0.2292208587062084,0.6730769230769231,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,5,2.1176470588235294
SVM_RBF,0.6986655773420478,0.1263287252372711,0.6406250000000001,0.7841293516827197,0.0134633936367049,0.7059368539662991,0.5791144956884667,0.0474785748300651,0.5862068965517241,0.6016339869281045,0.0552968795181622,0.5691105769230769,0.6033678955453149,0.1498089059809599,0.6025641025641025,0.7588235294117647,0.2041100185046761,0.734375,0.6301470588235294,0.0767215590059366,0.6619718309859155,0.4444444444444445,0.2587958821967137,0.4038461538461538,12.0,12.0,4.1952353926806065,4,14.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,29,5,2.0689655172413794
LogisticRegression,0.6936749144102086,0.0861126177234923,0.743389423076923,0.7395266672889487,0.1795009022523287,0.7730873698460934,0.6862354182710133,0.0238266666874369,0.6896551724137931,0.658578431372549,0.0529436979953052,0.6881009615384616,0.6793650793650794,0.1814390559261404,0.7258064516129032,0.6254901960784314,0.1897407122102422,0.703125,0.6409705715902659,0.163766950584137,0.7142857142857143,0.6916666666666667,0.141202944745987,0.6730769230769231,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/Post1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,17,5,2.1176470588235294
