Fold,Feature_Rank_in_Fold,Feature_Name
1,1,GLCM_Autocorrelation
1,2,GLCM_Correlation
1,3,Morph_Sphericity
1,4,GLCM_JointMaximum
2,1,IH_IntensityHistogramMode_Intensity
2,2,GLCM_NormalisedInverseDifferenceMoment
2,3,Morph_Volume_cm3
2,4,GLCM_AngularSecondMoment
2,5,Morph_Sphericity
2,6,IH_MinimumHistogramGradientGreyLevel_Intensity
2,7,GLCM_SumAverage
2,8,GLCM_Correlation
2,9,Morph_Compactness1
2,10,GLCM_Contrast
3,1,IH_IntensityHistogramMode_Intensity
3,2,GLCM_Correlation
3,3,IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
3,4,Morph_Volume_cm3
3,5,IH_AreaUnderCurveCIVH_Intensity
3,6,Morph_Sphericity
4,1,IH_IntensityHistogramMode_Intensity
4,2,Morph_Volume_cm3
4,3,IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
4,4,Morph_Sphericity
4,5,IH_AreaUnderCurveCIVH_Intensity
4,6,GLCM_InverseVariance
4,7,GLCM_AngularSecondMoment
4,8,Morph_Compactness1
4,9,IH_MinimumHistogramGradientGreyLevel_Intensity
4,10,GLSZM_LargeZoneEmphasis
4,11,Morph_Compactness2
4,12,GLCM_Contrast
5,1,IH_AreaUnderCurveCIVH_Intensity
5,2,Morph_Sphericity
5,3,Morph_Volume_cm3
5,4,GLCM_AngularSecondMoment
