Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
KNN,0.7672478991596638,0.09816782125578534,0.7647235576923077,0.798354315666422,0.05938658327461018,0.8150282786635179,0.6953162583307189,0.07178186857056075,0.6982758620689655,0.6785504201680672,0.06199460050067179,0.7049278846153846,0.7328937728937729,0.11915777377629337,0.7735849056603774,0.5701960784313725,0.21135181243547838,0.640625,0.6263520871143375,0.14971288174487932,0.7008547008547008,0.7869047619047619,0.08984042851140078,0.7692307692307693,7.2,7.2,3.249615361854384,4,6.0,12
SVM_RBF,0.7115149393090568,0.09981575544152498,0.7510516826923077,0.786478322777017,0.11243076884750731,0.8231903139340171,0.676306057062453,0.027834840663529765,0.6724137931034483,0.6546218487394958,0.06398968093405318,0.6742788461538461,0.7105169340463459,0.2218534629310352,0.7241379310344828,0.5901960784313725,0.18039215686274507,0.65625,0.6251023486317604,0.1518430627079736,0.6885245901639344,0.719047619047619,0.20324899431757606,0.6923076923076923,7.2,7.2,3.249615361854384,4,6.0,12
SVM_Linear,0.7093930905695611,0.09155272868158185,0.744140625,0.7535593739446229,0.1691791545608705,0.8013510963219737,0.67467936833899,0.04208701517828507,0.6810344827586207,0.6658496732026143,0.024301950905330987,0.6748798076923077,0.6614430014430014,0.13435917779116416,0.7014925373134329,0.7039215686274509,0.13590371334245846,0.734375,0.6689932126696833,0.11192264702598437,0.7175572519083969,0.6277777777777778,0.08888888888888888,0.6153846153846154,7.2,7.2,3.249615361854384,4,6.0,12
NaiveBayes,0.7060076252723311,0.039046140086113304,0.7091346153846153,0.7525031189465812,0.16020138049556437,0.7508879040545242,0.604469828774612,0.033467490028036444,0.6120689655172413,0.5751517273576097,0.0324607592659438,0.5871394230769231,0.5726761619190405,0.12276804292908343,0.6091954022988506,0.7745098039215685,0.17427832190814882,0.828125,0.6451945080091533,0.12372805776449951,0.7019867549668874,0.3757936507936508,0.18658222093776253,0.34615384615384615,7.2,7.2,3.249615361854384,4,6.0,12
RandomForest,0.7009430438842202,0.09299047894754794,0.7175480769230769,0.7692098690968938,0.10690454284243034,0.7567304441543883,0.6550801935674015,0.08091443323503407,0.6724137931034483,0.6374883286647993,0.11240963406233027,0.6724759615384616,0.6911111111111111,0.26753562125813324,0.7166666666666667,0.6019607843137255,0.17794590281628905,0.671875,0.621187147738872,0.18853056107307942,0.6935483870967742,0.6730158730158731,0.22922085870620848,0.6730769230769231,7.2,7.2,3.249615361854384,4,6.0,12
LogisticRegression,0.6936749144102086,0.08611261772349238,0.743389423076923,0.7395266672889487,0.17950090225232876,0.7730873698460934,0.6862354182710133,0.023826666687436954,0.6896551724137931,0.658578431372549,0.05294369799530521,0.6881009615384616,0.6793650793650794,0.18143905592614043,0.7258064516129032,0.6254901960784314,0.18974071221024227,0.703125,0.6409705715902659,0.16376695058413704,0.7142857142857143,0.6916666666666667,0.14120294474598705,0.6730769230769231,7.2,7.2,3.249615361854384,4,6.0,12
ExtraTrees,0.689360410830999,0.09406638389465594,0.6977163461538461,0.7693580360195732,0.11022017976365589,0.7615384948947135,0.6541427797267619,0.0877540731821907,0.6724137931034483,0.6465359477124183,0.10746429795179953,0.6742788461538461,0.7013725490196079,0.2740539632607622,0.7241379310344828,0.5819607843137256,0.19324382448516486,0.65625,0.6074631716619546,0.1957493932972439,0.6885245901639344,0.711111111111111,0.18392161508052052,0.6923076923076923,7.2,7.2,3.249615361854384,4,6.0,12
LightGBM,0.6673257080610022,0.04484475197506237,0.6197415865384616,0.7277429699020888,0.08838189851674554,0.6435222956856064,0.5766506945038647,0.11081909358640613,0.603448275862069,0.5848996265172736,0.07514134185244956,0.5973557692307692,0.597922077922078,0.1966713215061752,0.6363636363636364,0.6368627450980392,0.16344239938334876,0.65625,0.5873082402494167,0.15521236630850524,0.6461538461538462,0.532936507936508,0.1773574253777065,0.5384615384615384,7.2,7.2,3.249615361854384,4,6.0,12
XGBoost,0.6293713040771864,0.060151034116936127,0.6496394230769231,0.7218256625310884,0.10624369130820444,0.6930806815819858,0.6326987250791477,0.03474102427546357,0.6379310344827587,0.6347712418300653,0.05136548039646393,0.6376201923076923,0.6968421052631579,0.21714281085909112,0.6833333333333333,0.6250980392156862,0.16439934125896657,0.640625,0.6135059871901977,0.10753669327926317,0.6612903225806451,0.6444444444444445,0.23985592383247673,0.6346153846153846,7.2,7.2,3.249615361854384,4,6.0,12
GradientBoosting,0.613391690009337,0.03802435145382964,0.6068209134615384,0.6967334390648762,0.07893989643077165,0.6799471607401042,0.556353212971678,0.07636659133513518,0.5689655172413793,0.5420658263305322,0.0751221848255582,0.5715144230769231,0.5582539682539683,0.18993680242144795,0.625,0.4996078431372549,0.15710960966857326,0.546875,0.5182730578326993,0.16854921292946032,0.5833333333333334,0.5845238095238094,0.08824882935820724,0.5961538461538461,7.2,7.2,3.249615361854384,4,6.0,12
