Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.711 ± 0.051,0.744 ± 0.138,0.646 ± 0.048,0.646 ± 0.037,0.680 ± 0.162,0.613 ± 0.198,0.614 ± 0.125,0.678 ± 0.180,6.800 ± 1.789
KNN,0.654 ± 0.089,0.702 ± 0.106,0.612 ± 0.068,0.604 ± 0.056,0.621 ± 0.171,0.652 ± 0.206,0.604 ± 0.160,0.556 ± 0.202,6.800 ± 1.789
ExtraTrees,0.649 ± 0.072,0.688 ± 0.116,0.636 ± 0.105,0.629 ± 0.084,0.645 ± 0.118,0.602 ± 0.158,0.614 ± 0.119,0.656 ± 0.102,6.800 ± 1.789
SVM_Linear,0.646 ± 0.094,0.667 ± 0.141,0.571 ± 0.096,0.546 ± 0.064,0.550 ± 0.179,0.851 ± 0.147,0.656 ± 0.164,0.241 ± 0.224,6.800 ± 1.789
GradientBoosting,0.623 ± 0.068,0.700 ± 0.079,0.553 ± 0.082,0.550 ± 0.060,0.564 ± 0.177,0.602 ± 0.188,0.558 ± 0.146,0.498 ± 0.192,6.800 ± 1.789
RandomForest,0.623 ± 0.089,0.672 ± 0.132,0.579 ± 0.102,0.578 ± 0.085,0.584 ± 0.192,0.637 ± 0.173,0.589 ± 0.161,0.520 ± 0.155,6.800 ± 1.789
NaiveBayes,0.596 ± 0.063,0.662 ± 0.188,0.567 ± 0.044,0.472 ± 0.054,0.466 ± 0.265,0.733 ± 0.413,0.568 ± 0.319,0.211 ± 0.325,6.800 ± 1.789
SVM_RBF,0.588 ± 0.232,0.694 ± 0.150,0.581 ± 0.142,0.577 ± 0.108,0.570 ± 0.190,0.546 ± 0.324,0.519 ± 0.242,0.608 ± 0.203,6.800 ± 1.789
XGBoost,0.574 ± 0.121,0.634 ± 0.204,0.562 ± 0.108,0.569 ± 0.090,0.578 ± 0.193,0.598 ± 0.158,0.565 ± 0.150,0.539 ± 0.143,6.800 ± 1.789
LightGBM,0.551 ± 0.140,0.636 ± 0.210,0.535 ± 0.174,0.535 ± 0.152,0.566 ± 0.257,0.547 ± 0.196,0.540 ± 0.228,0.523 ± 0.201,6.800 ± 1.789
