fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.738562091503268,0.8630599337023486,0.6538461538461539,0.6568627450980392,0.7096774193548387,0.7857142857142857,0.6470588235294118,6
2,0.6,0.777340021090021,0.6666666666666666,0.7,0.5714285714285714,1.0,0.4,6
3,0.7478991596638656,0.8456060206087346,0.6451612903225806,0.6512605042016807,0.6451612903225806,0.7142857142857143,0.5882352941176471,6
4,0.7303921568627451,0.8084185863105914,0.6551724137931034,0.6936274509803921,0.6153846153846154,0.8888888888888888,0.47058823529411764,6
5,0.6296296296296297,0.5555555555555556,0.5,0.4444444444444444,0.25,0.2,0.3333333333333333,6
6,0.7051282051282052,0.8610085992438932,0.5789473684210527,0.6025641025641025,0.6363636363636364,0.7777777777777778,0.5384615384615384,6
7,0.7962962962962963,0.7588624338624339,0.6666666666666666,0.625,0.46153846153846156,0.75,0.3333333333333333,6
8,0.6196581196581197,0.753574405108607,0.5909090909090909,0.6025641025641025,0.6086956521739131,0.7,0.5384615384615384,6
9,0.48,0.5882051282051282,0.6666666666666666,0.6000000000000001,0.4444444444444444,0.5,0.4,6
10,0.5,0.748484625891043,0.47058823529411764,0.4015151515151515,0.6086956521739131,0.5833333333333334,0.6363636363636364,6
11,0.9084967320261437,0.8781144781144781,0.8076923076923077,0.826797385620915,0.7619047619047619,0.6666666666666666,0.8888888888888888,6
12,0.5454545454545454,0.6391613295280836,0.5,0.5034965034965035,0.5,0.5454545454545454,0.46153846153846156,6
13,0.9444444444444445,0.9735750360750361,0.6111111111111112,0.7083333333333334,0.5882352941176471,1.0,0.4166666666666667,6
14,0.5625,0.7278776922494954,0.4230769230769231,0.5125,0.21052631578947367,0.6666666666666666,0.125,6
15,0.6964285714285714,0.7980228921405392,0.7727272727272727,0.7410714285714286,0.8275862068965517,0.8,0.8571428571428571,6
