,LogisticRegression,ExtraTrees,KNN,NaiveBayes,LightGBM,GradientBoosting,XGBoost,RandomForest,SVM_RBF,SVM_Linear
LogisticRegression,0.0,0.898888895781414,0.8222955595700443,1.2660757886347334,1.544353715789861,1.6440384780639647,1.6749039254083704,1.279000688286022,2.7928660516803165,3.9602117313498884
ExtraTrees,-0.898888895781414,0.0,-0.038929926096056035,0.467059562305414,0.9563887251845596,0.744957060127597,1.1797553338460487,0.6052851379534668,1.6139259406585014,3.4344325554229376
KNN,-0.8222955595700443,0.038929926096056035,0.0,0.5020931449456437,0.7774832531848477,0.6176042015070977,0.9486921127636342,0.4212820101024634,1.9063467555536204,3.496419170734773
NaiveBayes,-1.2660757886347334,-0.467059562305414,-0.5020931449456437,0.0,0.033866293540522695,-0.04330945996066555,0.14580342292410636,-0.21930300396339206,1.087031586237567,2.680629244536203
LightGBM,-1.544353715789861,-0.9563887251845596,-0.7774832531848477,-0.033866293540522695,0.0,-0.11220426658644783,0.22959578782361628,-0.4496242753533107,1.2031641116738596,2.9352606276259423
GradientBoosting,-1.6440384780639647,-0.744957060127597,-0.6176042015070977,0.04330945996066555,0.11220426658644783,0.0,0.3260869596763771,-0.33021849205022824,1.2971006142608927,3.4039479920350204
XGBoost,-1.6749039254083704,-1.1797553338460487,-0.9486921127636342,-0.14580342292410636,-0.22959578782361628,-0.3260869596763771,0.0,-0.8127306823496954,1.118771457231682,3.098379311649023
RandomForest,-1.279000688286022,-0.6052851379534668,-0.4212820101024634,0.21930300396339206,0.4496242753533107,0.33021849205022824,0.8127306823496954,0.0,1.5837143856184106,3.258394063530318
SVM_RBF,-2.7928660516803165,-1.6139259406585014,-1.9063467555536204,-1.087031586237567,-1.2031641116738596,-1.2971006142608927,-1.118771457231682,-1.5837143856184106,0.0,2.3366451007825395
SVM_Linear,-3.9602117313498884,-3.4344325554229376,-3.496419170734773,-2.680629244536203,-2.9352606276259423,-3.4039479920350204,-3.098379311649023,-3.258394063530318,-2.3366451007825395,0.0
