,SVM_RBF,LogisticRegression,SVM_Linear,ExtraTrees,NaiveBayes,GradientBoosting,KNN,LightGBM,RandomForest,XGBoost
SVM_RBF,1.0,0.7431019738488619,0.8279356310810544,0.015599323075987189,0.30244961119665115,0.5989149659323928,0.03766716739868,0.0013066090146107018,0.0025977611856967645,0.0006081360247660109
LogisticRegression,0.7431019738488619,1.0,0.2555008220871813,0.02901692068461785,0.25760027110256245,0.4674851096059428,0.04113933640295409,0.0008404668658227898,0.004123876862052813,0.000716709517059084
SVM_Linear,0.8279356310810544,0.2555008220871813,1.0,0.056416581959746574,0.4248738672107074,0.6744022695395604,0.08767406113275926,0.002645841359704367,0.008264998756895604,0.002114643621926061
ExtraTrees,0.015599323075987189,0.02901692068461785,0.056416581959746574,1.0,0.2663131555902808,0.14610601913326646,0.6943700558517534,0.2291923002969095,0.4450496799273511,0.23530942512120157
NaiveBayes,0.30244961119665115,0.25760027110256245,0.4248738672107074,0.2663131555902808,1.0,0.7236213534410052,0.4771806202435537,0.04950258621539622,0.1412555219049157,0.060413860989487526
GradientBoosting,0.5989149659323928,0.4674851096059428,0.6744022695395604,0.14610601913326646,0.7236213534410052,1.0,0.2550812807595977,0.010751644762166435,0.030146066082362147,0.005311320991957003
KNN,0.03766716739868,0.04113933640295409,0.08767406113275926,0.6943700558517534,0.4771806202435537,0.2550812807595977,1.0,0.16987780242289408,0.3196877676711686,0.10187617986947627
LightGBM,0.0013066090146107018,0.0008404668658227898,0.002645841359704367,0.2291923002969095,0.04950258621539622,0.010751644762166435,0.16987780242289408,1.0,0.5203381182600464,0.9722093175637745
RandomForest,0.0025977611856967645,0.004123876862052813,0.008264998756895604,0.4450496799273511,0.1412555219049157,0.030146066082362147,0.3196877676711686,0.5203381182600464,1.0,0.3961260201195559
XGBoost,0.0006081360247660109,0.000716709517059084,0.002114643621926061,0.23530942512120157,0.060413860989487526,0.005311320991957003,0.10187617986947627,0.9722093175637745,0.3961260201195559,1.0
