Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
LogisticRegression,0.7571005917159764,0.7586084744067542,0.6653802641783845,0.8418639190569015,0.7815824462937373,0.7902825388501713,0.6794581064629476,0.8899517748219665,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7377049180327869,0.6428571428571429,0.7142857142857143,0.38167938931297707,0.2030269057184848,36,16,20,45,10.8,4.381780460041329
SVM_RBF,0.7510355029585799,0.7517843527935515,0.6623612253759312,0.8389025610244097,0.8213934890154204,0.8223047020908326,0.7341470367757617,0.8961716578676097,0.6837606837606838,0.6846153846153846,0.676923076923077,0.6923076923076923,0.7333333333333333,0.631578947368421,0.704,0.36571428571428577,0.20541315000064397,36,16,21,44,10.8,4.381780460041329
SVM_Linear,0.7468934911242604,0.7481120002344656,0.6539589689804219,0.8327163848631239,0.7700266832013848,0.7792568066658393,0.6635454081290387,0.8798719631741408,0.6837606837606838,0.6865384615384615,0.6615384615384615,0.7115384615384616,0.7413793103448276,0.6271186440677966,0.6991869918699187,0.36812144212523723,0.2095340161038719,37,15,22,43,10.8,4.381780460041329
GradientBoosting,0.7316568047337277,0.7339876779425913,0.6415053204252715,0.8219365250616504,0.7279226076168472,0.7367062302551064,0.6158875616585562,0.8501386886498561,0.6581196581196581,0.6673076923076924,0.5846153846153846,0.75,0.7450980392156863,0.5909090909090909,0.6551724137931034,0.3258426966292134,0.21162363177304896,39,13,27,38,10.8,4.381780460041329
NaiveBayes,0.7168639053254439,0.7185111991207512,0.6200949065012185,0.8070747800586509,0.7441839336669234,0.754129718573326,0.6366750528857067,0.8611637486228548,0.6923076923076923,0.6730769230769231,0.8461538461538461,0.5,0.6790123456790124,0.7222222222222222,0.7534246575342466,0.3571428571428571,0.27702371612761156,26,26,10,55,10.8,4.381780460041329
KNN,0.6856508875739646,0.6869759766361497,0.5920025949056004,0.780118277702427,0.7792982890593297,0.7806347890505921,0.6831583271037797,0.8605249823907544,0.6410256410256411,0.6403846153846153,0.6461538461538462,0.6346153846153846,0.6885245901639344,0.5892857142857143,0.6666666666666666,0.27862595419847325,0.22129718055313297,33,19,23,42,10.8,4.381780460041329
ExtraTrees,0.672189349112426,0.6728515568874992,0.5753619336775894,0.7692383608946882,0.7504040864761328,0.7528760515888764,0.6491952838268914,0.8443661796498176,0.6239316239316239,0.6288461538461538,0.5846153846153846,0.6730769230769231,0.6909090909090909,0.5645161290322581,0.6333333333333333,0.2528301886792452,0.23025162226427262,35,17,27,38,10.8,4.381780460041329
RandomForest,0.6511834319526627,0.6524797048486569,0.5522326490213937,0.7507405295487732,0.7230593101853575,0.7302719226201299,0.605199052581893,0.835405642970494,0.6153846153846154,0.6192307692307693,0.5846153846153846,0.6538461538461539,0.6785714285714286,0.5573770491803278,0.628099173553719,0.2344045368620037,0.2399447139631398,34,18,27,38,10.8,4.381780460041329
XGBoost,0.6282544378698225,0.6297909806284733,0.5285492020123168,0.732109608010835,0.6903309283690056,0.6983219662101184,0.5784736598932131,0.8085594731854923,0.6068376068376068,0.6076923076923078,0.6,0.6153846153846154,0.6610169491525424,0.5517241379310345,0.6290322580645161,0.21292775665399233,0.29445956341906787,32,20,26,39,10.8,4.381780460041329
LightGBM,0.6269230769230769,0.6280638699690101,0.5277550340015897,0.7320788070358447,0.6766267709016529,0.6822871728121194,0.5629164083674294,0.7913438050871594,0.5897435897435898,0.5942307692307692,0.5538461538461539,0.6346153846153846,0.6545454545454545,0.532258064516129,0.6,0.18490566037735845,0.2521458519634096,33,19,29,36,10.8,4.381780460041329
