Feature_Name,Selection_Count,Selection_Frequency
IH_IntensityHistogramMode_Intensity,5,1.0
Morph_Sphericity,4,0.8
Morph_Compactness2,4,0.8
Morph_Compactness1,3,0.6
IH_IntensityHistogram25thPercentile,2,0.4
GLCM_Correlation,2,0.4
IB_MedianIntensity,2,0.4
GLCM_InverseVariance,2,0.4
GLSZM_ZonePercentage,1,0.2
Morph_SphericalDisproportion,1,0.2
GLCM_NormalisedInverseDifference,1,0.2
Morph_Compacity,1,0.2
IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2
GLRLM_LongRunHighGreyLevelEmphasis,1,0.2
GLRLM_RunPercentage,1,0.2
GLSZM_SmallZoneEmphasis,1,0.2
IH_AreaUnderCurveCIVH_Intensity,1,0.2
IB_MinimumIntensity,1,0.2
GLCM_InverseDifferenceMoment,1,0.2
IB_MeanIntensity,1,0.2
IB_MaximumIntensity,1,0.2
IB_IntensitySkewness,1,0.2
IB_AreaUnderCurveCIVH,1,0.2
IH_IntensityHistogram10thPercentile,1,0.2
