model,mean_auc,std_auc,pooled_auc,mean_pr_auc,std_pr_auc,pooled_pr_auc,mean_accuracy,std_accuracy,pooled_accuracy,mean_bal_accuracy,std_bal_accuracy,pooled_bal_accuracy,mean_f1,std_f1,pooled_f1,mean_precision,std_precision,pooled_precision,mean_recall,std_recall,pooled_recall,n_samples,n_folds
NaiveBayes,0.6604854096520765,0.07936692852721289,0.6355029585798817,0.6973523340123146,0.0778344073495039,0.6557069154216687,0.6820806911129492,0.08937136387505007,0.6666666666666666,0.6500757575757575,0.10073186426710597,0.6423076923076924,0.7420039496826882,0.01660735575307545,0.7417218543046358,0.6759383046147752,0.0898206117767547,0.6511627906976745,0.8512626262626263,0.10289404735515255,0.8615384615384616,117,5
SVM_RBF,0.657425645342312,0.1561362402283333,0.628698224852071,0.7322322144895754,0.10895116206772272,0.6318949841559003,0.5824767944122783,0.11318060999206338,0.6068376068376068,0.5740530303030303,0.08975475391545247,0.5846153846153846,0.6535955272797377,0.11939770206855337,0.6891891891891891,0.5904347826086955,0.14984301804458816,0.6144578313253012,0.7703282828282829,0.09672112764544692,0.7846153846153846,117,5
SVM_Linear,0.6506383277216612,0.12495761272104389,0.6139053254437871,0.6924480876636195,0.12686686554241683,0.6282547363721128,0.5747844867199705,0.11714817391903998,0.5982905982905983,0.5809343434343435,0.09990821819832915,0.5826923076923076,0.6327669853366447,0.11461506081496346,0.6666666666666666,0.6062242562929062,0.166115395834744,0.618421052631579,0.7174242424242424,0.128483374419789,0.7230769230769231,117,5
LogisticRegression,0.638094837261504,0.12035371523985086,0.6452662721893491,0.6864449301801187,0.12177098090574366,0.6603619060228774,0.6124639279477989,0.06898201033294597,0.6068376068376068,0.6057323232323231,0.09215930973637215,0.6038461538461538,0.6276587301587302,0.0470474289352027,0.640625,0.6428132832080201,0.08918921399891572,0.6507936507936508,0.6381313131313131,0.1018066759873051,0.6307692307692307,117,5
LightGBM,0.5895735129068462,0.1734625357402971,0.5492603550295858,0.6729804780884383,0.11929240104260853,0.628339107186511,0.5355279845602426,0.09234709625637699,0.5384615384615384,0.5635227272727273,0.11653541361870619,0.5423076923076923,0.5405481874447392,0.10821064060129407,0.55,0.5773504273504274,0.12873018826210178,0.6,0.5670454545454545,0.23794271482268603,0.5076923076923077,117,5
RandomForest,0.5676599326599326,0.1514693570899482,0.547337278106509,0.6561283143835714,0.10915468239867666,0.6113286700820255,0.5434068559875012,0.06602454175693176,0.5470085470085471,0.5533712121212122,0.08825097878554362,0.5480769230769231,0.5576720393358763,0.049602735603495374,0.5691056910569106,0.5930618401206635,0.13347322304362316,0.603448275862069,0.564520202020202,0.10074175213080955,0.5384615384615384,117,5
XGBoost,0.5607603815937148,0.12169592364181768,0.5662721893491124,0.681475448465799,0.12351718002272485,0.642614410046104,0.5156033452807647,0.07859568687154929,0.5213675213675214,0.5461616161616162,0.1092813016019126,0.523076923076923,0.5267857142857142,0.1104323086083982,0.5409836065573771,0.5615476190476191,0.1537031550227437,0.5789473684210527,0.5656565656565656,0.24124588669902555,0.5076923076923077,117,5
GradientBoosting,0.5573232323232323,0.09236692349683283,0.5411242603550295,0.6260225496604469,0.11273551429444499,0.6143115092387894,0.5364966455289035,0.10995124796243881,0.5555555555555556,0.5573989898989898,0.09774526757304011,0.5538461538461539,0.5665834613415258,0.09220614929387176,0.5873015873015873,0.5999999999999999,0.17113731872216073,0.6065573770491803,0.5881313131313132,0.10363508377337974,0.5692307692307692,117,5
ExtraTrees,0.5417382154882155,0.14064569677745528,0.553698224852071,0.6114834441366608,0.14129717080706644,0.6318887108687863,0.5485065710872162,0.06441292100794459,0.5555555555555556,0.5636616161616163,0.0881714041544091,0.5596153846153846,0.540266106442577,0.09816668384121699,0.5666666666666667,0.6061111111111112,0.1491995101438356,0.6181818181818182,0.5406565656565656,0.15786040077241456,0.5230769230769231,117,5
KNN,0.5355204826038159,0.1619186203022446,0.5418639053254437,0.5770876171574868,0.16062079546254845,0.5695761106105792,0.5256290782097234,0.1361534856560621,0.5555555555555556,0.518510101010101,0.09999501313960879,0.5192307692307693,0.6360008107834194,0.1420751503094615,0.6790123456790124,0.5314793901750424,0.1402406077946625,0.5670103092783505,0.8436868686868687,0.2016543404267755,0.8461538461538461,117,5
