Model,Mean_AUC,Std_AUC,Min_AUC,Max_AUC,Mean_PR_AUC,Std_PR_AUC,Min_PR_AUC,Max_PR_AUC,Mean_Accuracy,Std_Accuracy,Min_Accuracy,Max_Accuracy,Mean_Balanced_Accuracy,Std_Balanced_Accuracy,Min_Balanced_Accuracy,Max_Balanced_Accuracy,Mean_Precision,Std_Precision,Min_Precision,Max_Precision,Mean_Recall,Std_Recall,Min_Recall,Max_Recall,Mean_F1,Std_F1,Min_F1,Max_F1,Mean_Specificity,Std_Specificity,Min_Specificity,Max_Specificity,Mean_n_feats,Std_n_feats,Min_n_feats,Max_n_feats
LightGBM,0.6660942760942762,0.12935920361101955,0.4545454545454546,0.7592592592592593,0.6978819470695731,0.14297565689272,0.5330971195205645,0.8574646293417325,0.6809410899733479,0.10181968577360614,0.6,0.8518518518518519,0.6918308080808081,0.07995056275089805,0.595959595959596,0.8055555555555556,0.6696202627781576,0.15753727003676832,0.4444444444444444,0.85,0.8036616161616162,0.16025781562097166,0.6363636363636364,1.0,0.7131065425802269,0.11134189824065202,0.6153846153846154,0.8947368421052632,0.5800000000000001,0.10375660026603334,0.4444444444444444,0.7,7.2,3.6331804249169903,4.0,12.0
NaiveBayes,0.6546380471380472,0.0777774042727196,0.5916666666666667,0.7777777777777779,0.7045978809104441,0.09564067654761015,0.5595238095238095,0.813849016107059,0.5881830714088778,0.053496596947520667,0.5161290322580645,0.6538461538461539,0.5410227272727273,0.0725949766926474,0.4444444444444444,0.6363636363636364,0.5765177319174514,0.3674440761362638,0.0,1.0,0.5531565656565657,0.42779009454201544,0.0,1.0,0.500730652326397,0.30656022489111895,0.0,0.7692307692307693,0.5288888888888889,0.4301593158784743,0.0,1.0,7.2,3.6331804249169903,4.0,12.0
SVM_Linear,0.6315390011223345,0.15712224939980354,0.38749999999999996,0.8055555555555556,0.7450239873025999,0.08382815610750484,0.6192096470948772,0.8409090909090909,0.634290046870692,0.10087131312164306,0.5384615384615384,0.7777777777777778,0.6021843434343435,0.09265521537440809,0.475,0.7083333333333333,0.6122222222222222,0.08927001625668686,0.5,0.75,0.7465909090909091,0.1644589488832049,0.5454545454545454,1.0,0.6684593837535013,0.11198695985144316,0.5714285714285714,0.8571428571428571,0.45777777777777773,0.1876429496229738,0.2,0.6666666666666666,7.2,3.6331804249169903,4.0,12.0
ExtraTrees,0.6222867564534231,0.17071946904104107,0.4242424242424242,0.7746913580246914,0.6742364512854819,0.10682428503299901,0.5791666666666666,0.8439009263915601,0.6118086572925282,0.1833242064204845,0.38461538461538464,0.7777777777777778,0.5993434343434343,0.18805160673396273,0.35,0.7638888888888888,0.6466666666666667,0.16090024514862894,0.5,0.8333333333333334,0.6075757575757577,0.17162059078356512,0.45454545454545453,0.8333333333333334,0.6183150183150183,0.14385511286183505,0.47619047619047616,0.8333333333333334,0.5911111111111111,0.2697049141946449,0.2,0.8666666666666667,7.2,3.6331804249169903,4.0,12.0
GradientBoosting,0.6080569584736251,0.0866856748532763,0.4898989898989899,0.6944444444444444,0.6591462820019764,0.09414775930467535,0.581189935795199,0.7703951640226151,0.5783200073522654,0.058668496787296034,0.5,0.6451612903225806,0.5805176767676767,0.08036761962383629,0.49375,0.6527777777777778,0.6163281163281162,0.13783212792332558,0.42857142857142855,0.7692307692307693,0.6077020202020202,0.10584205175352555,0.5,0.75,0.5951443594707351,0.05035243712687936,0.5454545454545454,0.6470588235294118,0.5533333333333333,0.19347376764159038,0.3,0.8,7.2,3.6331804249169903,4.0,12.0
KNN,0.5883045735129068,0.15199324522035026,0.415625,0.7160493827160493,0.611103949998933,0.1571738739485126,0.40873015873015867,0.7965106951871657,0.631137763073247,0.07280972428426917,0.55,0.7096774193548387,0.6074621212121212,0.0828861538331052,0.50625,0.7166666666666667,0.6527561327561326,0.1699188456347657,0.42857142857142855,0.8888888888888888,0.6993686868686868,0.16934990927440094,0.5,0.8888888888888888,0.6519171639171639,0.10303205658751785,0.5454545454545454,0.8,0.5155555555555555,0.27862094255391073,0.2,0.9333333333333333,7.2,3.6331804249169903,4.0,12.0
RandomForest,0.5707140852974185,0.12123741960680207,0.4141414141414141,0.6790123456790124,0.6264195926031813,0.0902862763672679,0.4965277777777778,0.7222862957189583,0.5488925650215972,0.12971144044404015,0.38461538461538464,0.7407407407407407,0.5495454545454546,0.13786865874659565,0.35,0.7222222222222222,0.5718737145207733,0.16571575909647476,0.375,0.8235294117647058,0.6146464646464647,0.13784733425965706,0.5,0.7777777777777778,0.579435736677116,0.1256894196422351,0.5,0.8,0.4844444444444444,0.19398358082484615,0.2,0.6666666666666666,7.2,3.6331804249169903,4.0,12.0
LogisticRegression,0.5661840628507295,0.2285383295711188,0.2708333333333333,0.8333333333333334,0.6758783861996143,0.18618957948873452,0.4044983981345053,0.85,0.5663367337560887,0.14971804323820714,0.3870967741935484,0.7407407407407407,0.5541287878787878,0.16081929494932234,0.3770833333333333,0.7222222222222222,0.5838169934640522,0.14682579649293417,0.44,0.8235294117647058,0.6771464646464647,0.09434446174250785,0.5454545454545454,0.7777777777777778,0.6192498462799755,0.10383083326980894,0.5365853658536586,0.8,0.4311111111111111,0.27959406200091735,0.06666666666666667,0.6666666666666666,7.2,3.6331804249169903,4.0,12.0
XGBoost,0.5612612233445567,0.14878537607216283,0.36363636363636365,0.7222222222222223,0.6452348780061924,0.09179086552686169,0.5425937280813442,0.7578683063009688,0.589265692491499,0.12934753933944354,0.5,0.8148148148148148,0.6012121212121211,0.11851534490945564,0.4949494949494949,0.7777777777777777,0.5980348375394815,0.16260434900148746,0.4,0.8421052631578947,0.6868686868686869,0.27341070431841963,0.3125,1.0,0.6096829296829297,0.1716978294783362,0.4,0.8648648648648649,0.5155555555555555,0.17455410565915983,0.3333333333333333,0.7333333333333333,7.2,3.6331804249169903,4.0,12.0
SVM_RBF,0.5280864197530863,0.17504368650663452,0.2932098765432099,0.7638888888888888,0.6147560152817,0.060853771710589234,0.5481952474919227,0.6752601519460073,0.5204494072236008,0.22229048193572049,0.2222222222222222,0.8461538461538461,0.5112500000000001,0.18877294235517994,0.3055555555555556,0.8194444444444444,0.5157894736842106,0.19999134330295867,0.2,0.75,0.5736111111111111,0.36528041824140706,0.05555555555555555,1.0,0.5207553596473653,0.2722812256711383,0.08695652173913043,0.75,0.4488888888888889,0.3504494468747451,0.0,0.8888888888888888,7.2,3.6331804249169903,4.0,12.0
