Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
LightGBM,0.626662457912458,0.1339835177552683,0.57603550295858,0.7159790341846037,0.09059366788920173,0.6672904424577952,0.5600578990901571,0.10251399026576426,0.5641025641025641,0.5643560606060606,0.09951074388812722,0.5615384615384615,0.5726635593508658,0.11624421707104551,0.6129032258064516,0.586489898989899,0.196234219989762,0.5846153846153846,0.5619451542372434,0.14019490399339044,0.5984251968503937,0.5422222222222223,0.08502722875426216,0.5384615384615384,14.4,14.4,4.8,6,18.0,18
GradientBoosting,0.6230941358024692,0.07100361971566457,0.6196745562130178,0.6702019829819866,0.1657733214040176,0.6399496409052247,0.6106901939160003,0.05674195872871062,0.5982905982905983,0.5986363636363636,0.06968885593600467,0.5807692307692308,0.6207210031347963,0.09851345440444144,0.6153846153846154,0.7328282828282828,0.12847022123872928,0.7384615384615385,0.6565459102301208,0.045479787031158306,0.6713286713286714,0.4644444444444444,0.2366849236567884,0.4230769230769231,14.4,14.4,4.8,6,18.0,18
ExtraTrees,0.6174494949494951,0.1065947468552603,0.6301775147928994,0.6965322860883537,0.12987115494159854,0.7159003643012722,0.5776518702325154,0.1328172480447844,0.5811965811965812,0.587739898989899,0.11198747882568519,0.5788461538461538,0.5940058479532164,0.16319719076554687,0.6290322580645161,0.6132575757575758,0.20454685745871307,0.6,0.5818897163417287,0.16395917105954522,0.6141732283464567,0.5622222222222222,0.11409331247105278,0.5576923076923077,14.4,14.4,4.8,6,18.0,18
XGBoost,0.6108473625140292,0.09432800064847585,0.5816568047337278,0.6651466377593532,0.1540846693874366,0.620312191596879,0.5794623655913979,0.07505819338629444,0.5811965811965812,0.5798863636363636,0.0613831390216184,0.5673076923076923,0.5910350877192982,0.12714298351826384,0.6081081081081081,0.6953282828282829,0.14968038935428135,0.6923076923076923,0.6212700505383433,0.10356824706087832,0.6474820143884892,0.4644444444444444,0.128120313825774,0.4423076923076923,14.4,14.4,4.8,6,18.0,18
NaiveBayes,0.6052693602693603,0.06937370338340192,0.6276627218934911,0.648515413774256,0.15176680655271854,0.6593738740158958,0.5680847348589284,0.11548349574169411,0.5811965811965812,0.5405681818181818,0.09164612146976528,0.551923076923077,0.5593795093795093,0.1718831579204909,0.5888888888888889,0.7678030303030303,0.13567587503692016,0.8153846153846154,0.6408805704099823,0.16006582874375855,0.6838709677419355,0.31333333333333335,0.15593604260310073,0.28846153846153844,14.4,14.4,4.8,6,18.0,18
LogisticRegression,0.5685956790123458,0.09820212138914543,0.565680473372781,0.6371576617872406,0.10807818782952305,0.6215362200072111,0.554251447477254,0.08372884201186886,0.5470085470085471,0.5579545454545454,0.08175190606643588,0.5326923076923077,0.5759721777273958,0.11336987907678256,0.581081081081081,0.6603535353535352,0.22405693484022066,0.6615384615384615,0.5879845972119209,0.10846686924915808,0.6187050359712231,0.45555555555555555,0.23412563895228308,0.40384615384615385,14.4,14.4,4.8,6,18.0,18
SVM_Linear,0.5574074074074075,0.1002059778519052,0.5242603550295858,0.6271684749389964,0.1130325346160294,0.5902948024791899,0.5362742395000459,0.09227425646603342,0.5384615384615384,0.5430934343434344,0.09444855970616124,0.5211538461538462,0.5595292252550317,0.14169577416294038,0.5714285714285714,0.6728535353535353,0.20902792078130739,0.676923076923077,0.5856631133744767,0.11522389651118019,0.6197183098591549,0.4133333333333333,0.22644869693967995,0.36538461538461536,14.4,14.4,4.8,6,18.0,18
KNN,0.5538608305274972,0.12339043543815022,0.5403846153846155,0.6160855908928294,0.15802940354593845,0.6022934848567247,0.5080976013234079,0.10522166765213145,0.5128205128205128,0.5005176767676767,0.09396912544058156,0.49423076923076925,0.5272049689440994,0.12773354637810783,0.5512820512820513,0.6632575757575758,0.14752511420255707,0.6615384615384615,0.5738390641616449,0.11615543162340707,0.6013986013986014,0.33777777777777773,0.11958776930732187,0.3269230769230769,14.4,14.4,4.8,6,18.0,18
RandomForest,0.5526557239057239,0.11335085282543106,0.5523668639053254,0.6036138286724935,0.13543543911952693,0.5891779373648381,0.5494623655913978,0.09866712796341613,0.5470085470085471,0.5433712121212121,0.09980065070240988,0.5403846153846154,0.5618408767015578,0.10290446090120585,0.5909090909090909,0.6089646464646464,0.14275250515056673,0.6,0.5749877149877151,0.10220990570036548,0.5954198473282443,0.47777777777777775,0.09787873575797887,0.4807692307692308,14.4,14.4,4.8,6,18.0,18
SVM_RBF,0.5120131874298541,0.14860948857512693,0.5035502958579882,0.6189616397968724,0.06408012409157184,0.5930727062393668,0.5211745244003307,0.0900988573176624,0.5213675213675214,0.4979545454545454,0.06650262953237973,0.49423076923076925,0.5226702508960573,0.09399961897156278,0.5517241379310345,0.7159090909090909,0.26347957720344434,0.7384615384615385,0.5818844984802432,0.13731991308465616,0.631578947368421,0.27999999999999997,0.2341678199523465,0.25,14.4,14.4,4.8,6,18.0,18
