Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
KNN,0.6701529180695848,0.09820209673732966,0.628698224852071,0.7071623910211274,0.08593649989341107,0.7189497882550799,0.5240777502067824,0.09866674105340954,0.5470085470085471,0.5576010101010102,0.06566726797000641,0.5288461538461539,0.5799526707234619,0.16190134069590903,0.5769230769230769,0.7285353535353536,0.2473587648231681,0.6923076923076923,0.5951414768806074,0.10840717665196103,0.6293706293706294,0.38666666666666666,0.26165664052506715,0.36538461538461536,12.4,12.4,3.4409301068170506,8,12.0,18
SVM_RBF,0.6657168911335578,0.05007316776620918,0.6177514792899409,0.7028365735161467,0.10519108719916997,0.6625312839282229,0.5866207150078118,0.0992977017179148,0.6068376068376068,0.5950252525252525,0.0755147349452924,0.5961538461538461,0.602020202020202,0.138107074120223,0.6338028169014085,0.6967171717171717,0.16266654796219204,0.6923076923076923,0.625623304570673,0.12222023026879064,0.6617647058823529,0.49333333333333335,0.09469900334516675,0.5,12.4,12.4,3.4409301068170506,8,12.0,18
LogisticRegression,0.6526459034792368,0.09106872821964708,0.6464497041420119,0.6964242707078316,0.1165934913197816,0.7017740822442968,0.6246236559139785,0.11789289261324838,0.6410256410256411,0.6358585858585858,0.10206366585902547,0.6384615384615384,0.6434967320261438,0.14825527813099607,0.6825396825396826,0.6717171717171717,0.16690944973785848,0.6615384615384615,0.6389183365653954,0.13886426369781038,0.671875,0.6,0.0983819716496829,0.6153846153846154,12.4,12.4,3.4409301068170506,8,12.0,18
ExtraTrees,0.6516877104377105,0.06211323949916488,0.6011834319526628,0.6948918174960964,0.10983669072010288,0.6568130970538579,0.5923655913978495,0.07956273687622706,0.5982905982905983,0.6006565656565657,0.06112693884688263,0.5980769230769231,0.6257017543859649,0.1363761748434933,0.65,0.6146464646464647,0.14646334029372302,0.6,0.599007091197244,0.10656089446234775,0.624,0.5866666666666667,0.12927146286443544,0.5961538461538461,12.4,12.4,3.4409301068170506,8,12.0,18
SVM_Linear,0.6409553872053873,0.08939912330331354,0.6127218934911244,0.6913419551167534,0.1137755534482479,0.6781924639898229,0.5776877125264221,0.12586142313769064,0.5982905982905983,0.5947474747474748,0.10251364721349923,0.5923076923076923,0.5979076479076479,0.1482889534699583,0.6363636363636364,0.6606060606060605,0.20320619359808095,0.6461538461538462,0.6029190523308171,0.15238344921233668,0.6412213740458015,0.528888888888889,0.09977753031397177,0.5384615384615384,12.4,12.4,3.4409301068170506,8,12.0,18
GradientBoosting,0.6333249158249158,0.124987350849073,0.6036982248520709,0.6834557707716178,0.17588315946443453,0.651423212016867,0.5229124161382226,0.13789387541746506,0.5470085470085471,0.5292550505050505,0.07692964953417686,0.5192307692307693,0.5517106549364614,0.16176171705370024,0.5681818181818182,0.7607323232323232,0.18941329867387593,0.7692307692307693,0.6119764805722252,0.14330725726414575,0.6535947712418301,0.2977777777777778,0.21800441721654615,0.2692307692307692,12.4,12.4,3.4409301068170506,8,12.0,18
NaiveBayes,0.6296941638608305,0.03296759747340001,0.5769230769230769,0.6804178136904626,0.11246504907762532,0.6414647558874584,0.5565591397849462,0.09866150305788499,0.5726495726495726,0.5432828282828284,0.04825515087279861,0.5442307692307693,0.5656377696377697,0.1486158324859169,0.5842696629213483,0.7843434343434343,0.11285195034949067,0.8,0.6407530454042082,0.11743579064576574,0.6753246753246753,0.3022222222222222,0.18991876105974664,0.28846153846153844,12.4,12.4,3.4409301068170506,8,12.0,18
RandomForest,0.6169318181818182,0.12465018647342001,0.6050295857988166,0.6757588015306221,0.16737768626001676,0.6322017001710327,0.5871804062126642,0.09642029683126693,0.5982905982905983,0.5887121212121211,0.06427626403704037,0.5903846153846154,0.5936967418546366,0.124608768975622,0.6323529411764706,0.6618686868686868,0.18050945939797663,0.6615384615384615,0.6078388278388278,0.13088432361466673,0.6466165413533834,0.5155555555555555,0.061903947898596094,0.5192307692307693,12.4,12.4,3.4409301068170506,8,12.0,18
XGBoost,0.6085297418630752,0.10537730082818511,0.6272189349112426,0.6665845382119355,0.161103894632131,0.6538916409609816,0.591995221027479,0.12714019368963209,0.6068376068376068,0.592449494949495,0.11502732177229337,0.5961538461538461,0.5961661506707946,0.15238321530900492,0.6338028169014085,0.6982323232323232,0.1469487601804089,0.6923076923076923,0.6293832293832293,0.1345493639003342,0.6617647058823529,0.4866666666666667,0.15305933651308948,0.5,12.4,12.4,3.4409301068170506,8,12.0,18
LightGBM,0.5864534231200897,0.12123784598629365,0.6059171597633137,0.6471957022319377,0.15885657859952204,0.6471600726877695,0.5546732837055417,0.08412256316944867,0.5726495726495726,0.5730808080808081,0.06062986958681061,0.5692307692307692,0.5995690583925878,0.15316719612875074,0.6190476190476191,0.6217171717171717,0.1591947913202938,0.6,0.5778356426182514,0.11759462217240127,0.609375,0.5244444444444445,0.17643940658914853,0.5384615384615384,12.4,12.4,3.4409301068170506,8,12.0,18
