Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
GLCM_ClusterShade,GLCM_ClusterShade,0.039590764331977,4
GLCM_JointMaximum,GLCM_JointMaximum,0.01349947316106476,4
GLSZM_SmallZoneLowGreyLevelEmphasis,GLSZM_SmallZoneLowGreyLevelEmphasis,0.010950910326372855,3
GLSZM_ZoneSizeVariance,GLSZM_ZoneSizeVariance,0.0063019969112327835,2
Morph_Compacity,Morph_Compacity,0.005385886787073013,3
Morph_SphericalDisproportion,Morph_SphericalDisproportion,0.0052602209343114974,2
GLSZM_NormalisedZoneSizeNonUniformity,GLSZM_NormalisedZoneSizeNonUniformity,0.005150496049922035,2
IH_MaximumHistogramGradientGreyLevel_Intensity,IH_MaximumHistogramGradientGreyLevel_Intensity,0.004716301955055586,2
GLSZM_LargeZoneHighGreyLevelEmphasis,GLSZM_LargeZoneHighGreyLevelEmphasis,0.004165279601201728,2
GLSZM_GreyLevelNonUniformity,GLSZM_GreyLevelNonUniformity,0.003033655869541604,2
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.0007217198145823778,2
