Feature_Name,Selection_Count,Selection_Frequency
GLCM_JointMaximum,4,0.8
GLCM_ClusterShade,4,0.8
GLSZM_SmallZoneLowGreyLevelEmphasis,3,0.6
Morph_Compacity,3,0.6
Morph_SphericalDisproportion,2,0.4
GLSZM_GreyLevelNonUniformity,2,0.4
Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,2,0.4
GLSZM_LargeZoneHighGreyLevelEmphasis,2,0.4
GLSZM_NormalisedZoneSizeNonUniformity,2,0.4
GLSZM_ZoneSizeVariance,2,0.4
IH_MaximumHistogramGradientGreyLevel_Intensity,2,0.4
IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2
Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,1,0.2
Morph_Compactness1,1,0.2
Morph_Asphericity,1,0.2
GLCM_ClusterProminence,1,0.2
IB_IntensityBasedEnergy,1,0.2
GLSZM_NormalisedGreyLevelNonUniformity,1,0.2
GLSZM_LowGrayLevelZoneEmphasis,1,0.2
GLSZM_LargeZoneLowGreyLevelEmphasis,1,0.2
GLSZM_LargeZoneEmphasis,1,0.2
GLRLM_GreyLevelNonUniformity,1,0.2
GLCM_Contrast,1,0.2
Morph_Sphericity,1,0.2
