Feature_Name,Selection_Count,Selection_Frequency
Morph_Asphericity,4,0.8
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,3,0.6
Morph_Compacity,3,0.6
GLSZM_SmallZoneLowGreyLevelEmphasis,3,0.6
GLCM_ClusterShade,2,0.4
GLSZM_SmallZoneHighGreyLevelEmphasis,2,0.4
Morph_SphericalDisproportion,2,0.4
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,2,0.4
Morph_Compactness1,2,0.4
Morph_Sphericity,2,0.4
GLSZM_NormalisedZoneSizeNonUniformity,2,0.4
GLSZM_ZonePercentage,1,0.2
GLCM_JointMaximum,1,0.2
GLCM_JointVariance,1,0.2
GLRLM_LongRunHighGreyLevelEmphasis,1,0.2
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,1,0.2
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1,0.2
Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,1,0.2
GLSZM_GreyLevelNonUniformity,1,0.2
GLSZM_LargeZoneHighGreyLevelEmphasis,1,0.2
GLSZM_NormalisedGreyLevelNonUniformity,1,0.2
IH_MinimumHistogramGradient_Intensity,1,0.2
IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2
IH_IntensityHistogramMinimumGreyLevel_Intensity,1,0.2
GLCM_Correlation,1,0.2
IB_IntensityKurtosis,1,0.2
IB_50thIntensityPercentile,1,0.2
GLSZM_ZoneSizeVariance,1,0.2
IB_MinimumIntensity,1,0.2
