model,mean_auc,std_auc,pooled_auc,mean_pr_auc,std_pr_auc,pooled_pr_auc,mean_accuracy,std_accuracy,pooled_accuracy,mean_bal_accuracy,std_bal_accuracy,pooled_bal_accuracy,mean_f1,std_f1,pooled_f1,mean_precision,std_precision,pooled_precision,mean_recall,std_recall,pooled_recall,n_samples,n_folds
ExtraTrees,0.6540249719416386,0.11337509353781468,0.6869822485207101,0.6970541448691198,0.15984353067668441,0.7059954111749167,0.6661749839169194,0.14133618596237615,0.6752136752136753,0.6536363636363636,0.1505820256007912,0.6711538461538462,0.6852023779744638,0.1297948867416858,0.7076923076923077,0.6974508824508824,0.19107635773506718,0.7076923076923077,0.705050505050505,0.1300777160901994,0.7076923076923077,117,5
LogisticRegression,0.6206172839506172,0.16642811574585234,0.6088757396449705,0.6905446882257043,0.1195345560512404,0.6343640101456779,0.616012315044573,0.112475125307806,0.5982905982905983,0.5814646464646465,0.12993758950201956,0.5884615384615385,0.649567269866247,0.08532743477195462,0.6518518518518519,0.6275559947299078,0.06355036510733415,0.6285714285714286,0.6984848484848485,0.16969696969696968,0.676923076923077,117,5
NaiveBayes,0.6179040404040403,0.09671705303682357,0.5997041420118344,0.6610831822894947,0.13152410185793836,0.675026123503528,0.6003427993750574,0.07046297405332871,0.5982905982905983,0.5739141414141414,0.06765742977149944,0.5884615384615385,0.5930846930846931,0.16001077923975415,0.6518518518518519,0.6058416945373467,0.10700358883687916,0.6285714285714286,0.6411616161616162,0.2528311278830388,0.676923076923077,117,5
GradientBoosting,0.6095258136924804,0.17843889676023353,0.647189349112426,0.6407401120479681,0.18834598769568964,0.6398633277544661,0.6446493888429373,0.1516147956412991,0.6752136752136753,0.6566287878787878,0.12473785132389754,0.6692307692307693,0.6622671254250202,0.16451144210002105,0.7121212121212122,0.6618341307814992,0.1741932280667021,0.7014925373134329,0.7132575757575758,0.201091774433267,0.7230769230769231,117,5
XGBoost,0.6055555555555556,0.16139821162593276,0.6618343195266273,0.6696683397551897,0.1974928589630081,0.7027160874303278,0.6226762246117085,0.10312237249661807,0.6324786324786325,0.6058585858585859,0.10222173719541977,0.6211538461538462,0.6563402457757297,0.11087334810797286,0.6861313868613139,0.6313888888888889,0.14712155887707198,0.6527777777777778,0.7161616161616162,0.12966046738450043,0.7230769230769231,117,5
KNN,0.594739758698092,0.13998056191183195,0.6181952662721893,0.6214161346897453,0.1744862154306446,0.655110619833994,0.5815209999080967,0.11930691416435314,0.6068376068376068,0.5686363636363636,0.10752286394669201,0.5884615384615385,0.6477420236387237,0.11757982255908443,0.6805555555555556,0.5971014492753624,0.15345477354309553,0.620253164556962,0.7439393939393939,0.07414379657912192,0.7538461538461538,117,5
RandomForest,0.5851248597081931,0.16708538407699683,0.6168639053254438,0.6238761818295361,0.1634849696391684,0.6262960467178219,0.6232974910394266,0.15416352538992706,0.6581196581196581,0.6093434343434343,0.1304724998594318,0.6442307692307693,0.6608899639260171,0.16489569493700823,0.7142857142857143,0.6233333333333334,0.18116222864167839,0.6666666666666666,0.740909090909091,0.17730914544335055,0.7692307692307693,117,5
SVM_Linear,0.5735157126823793,0.15426797640665918,0.5343195266272189,0.643267210805724,0.1004165630677042,0.5751198030747522,0.5996976380847349,0.16589513534562858,0.5897435897435898,0.5637121212121212,0.15216706030180702,0.5846153846153845,0.6029411764705882,0.14845674116352167,0.6307692307692307,0.6174747474747474,0.10785287018897169,0.6307692307692307,0.6007575757575758,0.19760024364907672,0.6307692307692307,117,5
LightGBM,0.5536468855218855,0.16010625541289442,0.6096153846153846,0.5902495969220377,0.14295118107627688,0.6266847468472475,0.6148230861134086,0.13520766965080755,0.6410256410256411,0.6034469696969698,0.12279666897367163,0.625,0.6461459077558149,0.16782748999077846,0.704225352112676,0.5950577200577201,0.14355335256960025,0.6493506493506493,0.7380050505050505,0.21645038179406864,0.7692307692307693,117,5
SVM_RBF,0.5510297418630753,0.13998479527188767,0.5630177514792899,0.6406789473888238,0.06361837903947305,0.5833775700826762,0.5288870508225347,0.1743206230701102,0.5128205128205128,0.5617676767676768,0.14847512938026103,0.5288461538461539,0.46068965517241384,0.24725460456139803,0.4672897196261682,0.47948717948717945,0.2644384222431536,0.5952380952380952,0.4590909090909091,0.2597877391669738,0.38461538461538464,117,5
