Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K
LogisticRegression,0.7773015873015873,0.07369696144672601,0.7565079365079365,0.8283830077799191,0.08712502741835973,0.80910013080489,0.6828011204481792,0.07365484299563488,0.672566371681416,0.6887698412698413,0.073027474923664,0.6774603174603174,0.7566239316239316,0.11814210579926772,0.7407407407407407,0.6606349206349206,0.11395189341825543,0.6349206349206349,0.6919786096256685,0.08160227823204794,0.6837606837606838,0.7169047619047618,0.15071334536680994,0.72,10.4,10.4,4.6303347611160905,4,12.0,16
SVM_Linear,0.7717857142857143,0.09227281894823669,0.7317460317460316,0.8303098293571761,0.0933075897541317,0.7812346512750787,0.6715126050420167,0.06019422098222256,0.6637168141592921,0.6750396825396826,0.05950110678162929,0.650952380952381,0.6928751803751804,0.11435484289142606,0.676056338028169,0.7960317460317461,0.1485124017868707,0.7619047619047619,0.7219047619047619,0.06249535130103969,0.7164179104477612,0.5540476190476191,0.1435728105437713,0.54,10.4,10.4,4.6303347611160905,4,12.0,16
RandomForest,0.7717857142857143,0.04849920712196029,0.7371428571428571,0.8075322521007567,0.10884987781048112,0.7468241767456385,0.7037535014005603,0.07181524109751701,0.6991150442477876,0.724920634920635,0.06489394802133645,0.6971428571428572,0.7579267791032496,0.10907976041106927,0.7377049180327869,0.7531746031746032,0.17403225563530375,0.7142857142857143,0.731833568595819,0.0606711791453811,0.7258064516129032,0.6966666666666665,0.13012814197295425,0.68,10.4,10.4,4.6303347611160905,4,12.0,16
GradientBoosting,0.7660714285714285,0.05657455498816441,0.7314285714285715,0.8275379790068366,0.09146336753504271,0.8011849239487139,0.6832773109243696,0.07981077905396541,0.672566371681416,0.6986507936507937,0.07477925859318904,0.6671428571428571,0.7316666666666667,0.1418283391208463,0.703125,0.7506349206349207,0.14530218032762515,0.7142857142857143,0.7178716020821284,0.07743334974425417,0.7086614173228346,0.6466666666666667,0.17301252363147973,0.62,10.4,10.4,4.6303347611160905,4,12.0,16
SVM_RBF,0.7506746031746032,0.08356728309409668,0.6834920634920635,0.8158350505742579,0.08512495349456635,0.7510360918859165,0.6342717086834735,0.041933568342979316,0.6283185840707964,0.6471428571428571,0.04364819617091354,0.6150793650793651,0.6813315339631129,0.13481162209634293,0.647887323943662,0.7761904761904763,0.1897074434073481,0.7301587301587301,0.6903119868637109,0.05962750580868736,0.6865671641791045,0.5180952380952382,0.20324800261476972,0.5,10.4,10.4,4.6303347611160905,4,12.0,16
LightGBM,0.7463888888888889,0.05214358193306511,0.6863492063492064,0.798438115280282,0.08219647483403617,0.7658777802509102,0.6567507002801121,0.0774836523953033,0.6460176991150443,0.6705158730158731,0.06028058605535972,0.6453968253968254,0.7077233877233878,0.08674288010169236,0.6949152542372882,0.6941269841269841,0.17208252691525344,0.6507936507936508,0.6801674718196458,0.09219424814312889,0.6721311475409836,0.6469047619047619,0.09581846971394396,0.64,10.4,10.4,4.6303347611160905,4,12.0,16
XGBoost,0.7301984126984127,0.06935395464893991,0.7158730158730158,0.8004106447704403,0.10466004836875505,0.7741832702130871,0.6454201680672269,0.1062533848640643,0.6371681415929203,0.6508730158730158,0.11281360086972783,0.6292063492063492,0.6995104895104894,0.15640491342542864,0.6666666666666666,0.7241269841269842,0.12220944068397599,0.6984126984126984,0.6915527560106586,0.08241941172984157,0.6821705426356589,0.5776190476190476,0.24843090353697858,0.56,10.4,10.4,4.6303347611160905,4,12.0,16
ExtraTrees,0.7230555555555556,0.041792779667673655,0.7069841269841269,0.7870840994379908,0.09108174020234656,0.7022011138968054,0.6923249299719887,0.08672566566740084,0.6814159292035398,0.7046825396825397,0.08285440608507037,0.6812698412698412,0.7471794871794872,0.09058089254009168,0.7288135593220338,0.7317460317460317,0.20916274806386198,0.6825396825396826,0.711440995651522,0.10314835620735427,0.7049180327868853,0.6776190476190476,0.1397406084204708,0.68,10.4,10.4,4.6303347611160905,4,12.0,16
KNN,0.6784920634920635,0.08981076659803199,0.649047619047619,0.7356087906024881,0.11657800154400512,0.687485839525862,0.6028851540616247,0.06665028162934804,0.6017699115044248,0.6024603174603175,0.06743902558483252,0.5933333333333333,0.6514285714285715,0.16253100175231877,0.6363636363636364,0.6915873015873015,0.13876829231448026,0.6666666666666666,0.6492036948558687,0.08652815850980218,0.6511627906976745,0.5133333333333334,0.21380156947766102,0.52,10.4,10.4,4.6303347611160905,4,12.0,16
NaiveBayes,0.6690873015873016,0.08988164441374848,0.6447619047619046,0.7606973392730497,0.06661633301321018,0.7090026429008898,0.5879831932773109,0.08912703095659187,0.584070796460177,0.5617460317460317,0.05553151407244022,0.5609523809523809,0.6102673796791445,0.10812268242908482,0.6,0.7625396825396825,0.1394536363974047,0.7619047619047619,0.66379803982096,0.09284359025708479,0.6713286713286714,0.36095238095238097,0.21720550474727154,0.36,10.4,10.4,4.6303347611160905,4,12.0,16
