Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
KNN,0.7602579365079365,0.1377159313680973,0.7174603174603175,0.811952314629105,0.1335448986489078,0.7999321180156695,0.6459383753501401,0.1259535887020155,0.6371681415929203,0.652063492063492,0.1291029577358517,0.6312698412698412,0.6731643356643356,0.190064698893098,0.671875,0.6950793650793651,0.1967590774086572,0.6825396825396826,0.6712833403155983,0.1632199041487891,0.6771653543307087,0.6090476190476191,0.1440143605840118,0.58,5.6,5.6,1.4966629547095764,4,6.0,8,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,19,3,1.4736842105263157
GradientBoosting,0.7560912698412698,0.1077224476344824,0.7179365079365079,0.8262035352300785,0.1202072643641984,0.8035949590134506,0.6359383753501401,0.119092711842158,0.6283185840707964,0.6609126984126984,0.112434998438083,0.6253968253968254,0.7102777777777777,0.1902272844601594,0.6721311475409836,0.6763492063492064,0.1604811359984028,0.6507936507936508,0.6653374890216995,0.1213236066481312,0.6612903225806451,0.6454761904761905,0.2162324272282814,0.6,5.6,5.6,3.2,4,4.0,12,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,22,3,1.2727272727272727
SVM_Linear,0.7518650793650794,0.1682989607408344,0.7577777777777777,0.8217491031228764,0.1514035109060546,0.8262862399940916,0.6970868347338934,0.1016351207086286,0.6902654867256637,0.7080952380952382,0.1041790544410332,0.6912698412698413,0.7370739064856712,0.1584366311382143,0.7413793103448276,0.6942857142857143,0.2190651016717887,0.6825396825396826,0.6992147389802551,0.151256902797301,0.7107438016528925,0.7219047619047619,0.094609832513134,0.7,5.6,5.6,1.4966629547095764,4,6.0,8,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,19,3,1.4736842105263157
LogisticRegression,0.750357142857143,0.1567211352540676,0.7596825396825396,0.8273896371426513,0.145318878639037,0.8310056702854449,0.695420168067227,0.0975988871152025,0.6902654867256637,0.7080952380952382,0.0936933586347237,0.6953968253968255,0.7508974358974358,0.1342716000887792,0.7592592592592593,0.6633333333333333,0.2067861064654985,0.6507936507936508,0.6894811156271257,0.1430209733384742,0.7008547008547008,0.7528571428571429,0.0593693233352712,0.74,5.6,5.6,1.4966629547095764,4,6.0,8,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,19,3,1.4736842105263157
LightGBM,0.7482936507936508,0.1021422404737123,0.7136507936507935,0.8097330801266374,0.1352063393198172,0.7474077549440803,0.6521288515406163,0.1143544995395445,0.6460176991150443,0.6493253968253969,0.1197523847815639,0.6495238095238096,0.7238095238095238,0.1926777531353528,0.7090909090909091,0.6426984126984128,0.2316755709366187,0.6190476190476191,0.6483233282144353,0.1689983909315511,0.6610169491525424,0.655952380952381,0.2188145758264387,0.68,5.6,5.6,3.2,4,4.0,12,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,22,3,1.2727272727272727
SVM_RBF,0.7471825396825398,0.0999083417176563,0.7171428571428571,0.8172911303618218,0.1342393589180208,0.78511315749345,0.6610364145658263,0.0986820322687529,0.6548672566371682,0.666031746031746,0.1032230045199785,0.6492063492063491,0.7169747899159664,0.1372826486687255,0.6875,0.7306349206349207,0.1573620405033667,0.6984126984126984,0.6984126984126984,0.0921911175222201,0.6929133858267716,0.6014285714285714,0.2222723299516418,0.6,5.6,5.6,3.2,4,4.0,12,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,22,3,1.2727272727272727
SVM_RBF,0.7423015873015872,0.1567378137287124,0.7511111111111111,0.8184694167677427,0.1474998321317341,0.8248408647012908,0.6899439775910364,0.125137509594616,0.6814159292035398,0.6992857142857142,0.1264448867998749,0.6812698412698412,0.724920634920635,0.1687724864407415,0.7288135593220338,0.6942857142857143,0.2190651016717887,0.6825396825396826,0.6964800588427591,0.1643173679384654,0.7049180327868853,0.7042857142857144,0.0869800717395576,0.68,5.6,5.6,1.4966629547095764,4,6.0,8,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,19,3,1.4736842105263157
KNN,0.7320833333333333,0.0622533429624668,0.7323809523809524,0.7645749969558018,0.0809434241417786,0.7435797857950085,0.7130812324929972,0.0566664382011176,0.7079646017699115,0.6836111111111111,0.0622011119842207,0.6926984126984127,0.7031493506493506,0.0799598007873104,0.7027027027027027,0.8179365079365081,0.0616878576896958,0.8253968253968254,0.7540350877192983,0.0642608373505189,0.7591240875912408,0.5492857142857143,0.1490514224373999,0.56,11.6,11.6,4.6303347611160905,4,12.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,39,4,1.4871794871794872
SVM_Linear,0.7291269841269841,0.1182927389303682,0.6903174603174603,0.8090287966534095,0.1391192270374663,0.7649537546177629,0.652703081232493,0.1095692341343513,0.6460176991150443,0.656031746031746,0.11315562297711,0.6392063492063491,0.7048669467787115,0.1488320482394648,0.676923076923077,0.7273015873015873,0.1776711698492921,0.6984126984126984,0.690140766002835,0.1092489888155416,0.6875,0.5847619047619048,0.2198669975204088,0.58,5.6,5.6,3.2,4,4.0,12,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,22,3,1.2727272727272727
ExtraTrees,0.7275396825396825,0.0723510102368151,0.7057142857142857,0.7799851537988624,0.11186871078128,0.7522465242148861,0.6691316526610643,0.1082542493159449,0.6548672566371682,0.6855952380952381,0.089645623811097,0.6595238095238095,0.7439285714285714,0.1121074658540935,0.7222222222222222,0.6561904761904762,0.1829067393057093,0.6190476190476191,0.6766511266511266,0.1188937889048959,0.6666666666666666,0.715,0.1329578045011942,0.7,11.6,11.6,4.6303347611160905,4,12.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,39,4,1.4871794871794872
