Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
LogisticRegression,0.7896945646945647,0.0516793920883649,0.7165624999999999,0.8275908672238044,0.0819674437776982,0.765348575060879,0.6682303204042335,0.0575737056158401,0.6666666666666666,0.7055249867091973,0.0466280999832297,0.6725,0.7616605616605616,0.1637551558419926,0.7407407407407407,0.6587772461456672,0.1614115411900353,0.625,0.6754932786511734,0.0634106418470712,0.6779661016949152,0.7522727272727272,0.1752212297036035,0.72,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
ExtraTrees,0.7788934572427395,0.1175310297105237,0.7071875,0.8408960819280065,0.1177185682085393,0.7970479690566765,0.6727591249330379,0.1037855772975729,0.6666666666666666,0.6845872256398572,0.0944954947349133,0.6725,0.7341847041847043,0.1007189826731803,0.7407407407407407,0.6522913343965975,0.2035623325108526,0.625,0.6715917671416392,0.1288879662871251,0.6779661016949152,0.7168831168831169,0.1174840253187368,0.72,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
SVM_RBF,0.7772575723054193,0.1071680851463607,0.7210937500000001,0.8317130738407125,0.1247677626861378,0.8007479067146476,0.666831719005632,0.0791680419925359,0.6666666666666666,0.6769676084149768,0.0835811928400489,0.6528125,0.6916892911010557,0.1462751941187525,0.6805555555555556,0.7953854332801701,0.1170981262122509,0.765625,0.7199354838709678,0.0679638488439409,0.7205882352941176,0.5585497835497836,0.1957434116849928,0.54,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
SVM_Linear,0.7766797388328489,0.1062875123475903,0.723125,0.7931995416152688,0.1554668041426252,0.7594058497523472,0.6668693625215364,0.0734105581479228,0.6666666666666666,0.6803766993240679,0.0692793686776648,0.6528125,0.6904761904761905,0.1454136331866901,0.6805555555555556,0.7953854332801701,0.1170981262122509,0.765625,0.7189815514079189,0.0647696001279495,0.7205882352941176,0.5653679653679654,0.1746762634283877,0.54,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
LogisticRegression,0.7669917792645066,0.1060773027842836,0.7224999999999999,0.788400106406133,0.1547813494248386,0.7587472475517039,0.6436172523129045,0.1111398808022664,0.6403508771929824,0.6589412926255032,0.1140631226723315,0.6403125000000001,0.6886691086691087,0.1528551214962016,0.6949152542372882,0.6676661350345561,0.2080867963943565,0.640625,0.658400703954243,0.1371698603022159,0.6666666666666666,0.6502164502164502,0.1267027168460718,0.64,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
SVM_Linear,0.7587512859283194,0.0918188336244583,0.66625,0.8036449342001234,0.1109662533034797,0.7261563752423984,0.6239991892165805,0.0442448071337595,0.6228070175438597,0.6559542796384902,0.0655180898130767,0.6115625,0.6836296056884292,0.167317172348633,0.6521739130434783,0.7543328017012227,0.1821299483729772,0.703125,0.6777547734069473,0.0370032008694232,0.6766917293233082,0.5575757575757576,0.2294641820320309,0.52,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
SVM_RBF,0.7521825799576997,0.1036456161809897,0.6759374999999999,0.7850199074524077,0.1163385845637578,0.72393875557237,0.6081816733990647,0.0869883237738328,0.6052631578947368,0.6408320042530569,0.0828713670934649,0.6025,0.689010989010989,0.1764959693442976,0.6557377049180327,0.6710579479000531,0.1819476723784517,0.625,0.6402031302031302,0.0884786419189553,0.64,0.6106060606060606,0.2070608521922001,0.58,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
XGBoost,0.7440997235973313,0.133602730534336,0.6771875000000002,0.7622930403503159,0.1753336177958511,0.7069986217911481,0.6179183135704874,0.0795711939087095,0.6140350877192983,0.665998139287613,0.0597149188736696,0.6125,0.7192857142857143,0.1950876307546672,0.6666666666666666,0.6827538543328018,0.2170385225899433,0.625,0.6439452495974235,0.0983657943041401,0.6451612903225806,0.6492424242424242,0.2401120797370032,0.6,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
LightGBM,0.73699321190948,0.0835464910653455,0.68390625,0.7952649024111199,0.137485263775672,0.7841119638824273,0.6240368327324849,0.0461518534063567,0.6228070175438597,0.6412499050656946,0.0621234651495706,0.6290625000000001,0.6891808191808192,0.1259556354078527,0.6981132075471698,0.5921318447634236,0.1622046980095084,0.578125,0.62052457346575,0.0900496271968684,0.6324786324786325,0.6903679653679654,0.1000156937517582,0.68,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
NaiveBayes,0.7339522819905595,0.1156844465183434,0.6134375,0.7546605755884932,0.1869117749952615,0.6534415421093087,0.566436462088636,0.1134744983237944,0.5701754385964912,0.5134383306751727,0.0820738137666479,0.5209375,0.5656493506493506,0.1110778899381097,0.5728155339805825,0.9185433280170124,0.0412662748004105,0.921875,0.694764062637281,0.090939229567536,0.7065868263473054,0.1083333333333333,0.1615893285805443,0.12,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
