Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
LightGBM,0.6768749999999999,0.6777999578544086,0.5719925202977466,0.7754641439909297,0.7138176360767348,0.7194593518901476,0.5972250832042948,0.8299557476494499,0.6491228070175439,0.656875,0.59375,0.72,0.7307692307692307,0.5806451612903226,0.6551724137931034,0.3057247259439708,0.24422767199213827,36,14,26,38,13.2,5.761944116355173
RandomForest,0.6728124999999999,0.673569695557675,0.5737900647636333,0.7717466110356513,0.7291923278590429,0.7358617855264671,0.6181508821139264,0.8421788356096898,0.6666666666666666,0.6615625,0.703125,0.62,0.703125,0.62,0.703125,0.323125,0.2248753450629532,31,19,19,45,13.2,5.761944116355173
SVM_Linear,0.6725,0.6717611485178652,0.568496943174745,0.7697660113711264,0.6874278942700328,0.7015813340560626,0.5683659081192224,0.8298280525560207,0.6228070175438597,0.618125,0.65625,0.58,0.6666666666666666,0.5686274509803921,0.6614173228346457,0.23573433115060805,0.23815125831438197,29,21,22,42,13.2,5.761944116355173
XGBoost,0.665625,0.666452053896133,0.5675446504907493,0.7614682776773375,0.7181131578024202,0.7264664318044872,0.6029945630632928,0.8377888968296373,0.5877192982456141,0.5825,0.625,0.54,0.6349206349206349,0.5294117647058824,0.6299212598425197,0.1646398503274088,0.2923170588742141,27,23,24,40,13.2,5.761944116355173
SVM_RBF,0.6618749999999999,0.6605806234209858,0.5598426839388353,0.760010989010989,0.7287510585669122,0.7333799475901788,0.6095288896539263,0.8370148211630599,0.6228070175438597,0.61375,0.6875,0.54,0.6567164179104478,0.574468085106383,0.6717557251908397,0.2290028310789557,0.23869072860382834,27,23,20,44,13.2,5.761944116355173
ExtraTrees,0.654375,0.6539542829858628,0.5505449616014056,0.7522886398326643,0.7297168937832617,0.7356008876399937,0.6199863851407852,0.8369672517978296,0.6403508771929824,0.6425000000000001,0.625,0.66,0.7017543859649122,0.5789473684210527,0.6611570247933884,0.2807017543859649,0.23577942891969014,33,17,24,40,13.2,5.761944116355173
LogisticRegression,0.6496875,0.6486956697770612,0.5452495974235105,0.7475009725309623,0.6659287917953588,0.680719023475213,0.5491192133938662,0.8106043382551442,0.6403508771929824,0.65125,0.5625,0.74,0.7346938775510204,0.5692307692307692,0.6371681415929203,0.2928895612708018,0.24872323199511112,37,13,28,36,13.2,5.761944116355173
KNN,0.6437499999999999,0.6443110286212181,0.5361086103416436,0.7489261001592991,0.6569554332643543,0.6704708341016531,0.5479629011497462,0.7951151090652533,0.631578947368421,0.619375,0.71875,0.52,0.6571428571428571,0.5909090909090909,0.6865671641791045,0.24192526915769474,0.24710083627871912,26,24,18,46,13.2,5.761944116355173
GradientBoosting,0.6253124999999999,0.626019862458105,0.5223701616453678,0.724082630621693,0.7060619488627646,0.7134757514365125,0.5867983923112212,0.8226917323685219,0.5614035087719298,0.5503125,0.640625,0.46,0.6029411764705882,0.5,0.6212121212121212,0.10151324085750313,0.24781014468601645,23,27,23,41,13.2,5.761944116355173
NaiveBayes,0.5778125,0.5782426086350694,0.4677307361611529,0.6830771285126758,0.6223266809123944,0.6355333812444734,0.5107340136910078,0.7609193093487855,0.5701754385964912,0.5471874999999999,0.734375,0.36,0.5949367088607594,0.5142857142857142,0.6573426573426573,0.09757673667205158,0.3868889858502931,18,32,17,47,13.2,5.761944116355173
