,SVM_Linear,LogisticRegression,KNN,SVM_RBF,ExtraTrees,GradientBoosting,RandomForest,NaiveBayes,LightGBM,XGBoost
SVM_Linear,1.0,0.4001208234149234,0.840725277368577,0.24873493793816903,0.10230114538334512,0.4001883188286234,0.34879743752941494,0.7948202519643628,0.25127196326124757,0.29376401545530384
LogisticRegression,0.4001208234149234,1.0,0.6524189384915449,0.005584874225599713,0.009818127077489674,0.09745564842628195,0.06035377166728266,0.33197552237144135,0.06063889901977227,0.05419281103946593
KNN,0.840725277368577,0.6524189384915449,1.0,0.2036282101832143,0.052265217005479196,0.2710468418158143,0.1983895402616973,0.6166261801660804,0.1857257695449852,0.16715013436182335
SVM_RBF,0.24873493793816903,0.005584874225599713,0.2036282101832143,1.0,0.24226850755845364,0.8333271044688113,0.7429973864021016,0.594445537109909,0.535072489734935,0.6358915916371158
ExtraTrees,0.10230114538334512,0.009818127077489674,0.052265217005479196,0.24226850755845364,1.0,0.596922107007744,0.5083431798317982,0.16771885941838482,0.9691375370159445,0.7551032841743616
GradientBoosting,0.4001883188286234,0.09745564842628195,0.2710468418158143,0.8333271044688113,0.596922107007744,1.0,0.9265186836634238,0.5900293262431839,0.6364289039435452,0.7444554744990716
RandomForest,0.34879743752941494,0.06035377166728266,0.1983895402616973,0.7429973864021016,0.5083431798317982,0.9265186836634238,1.0,0.4789458513589665,0.6708823045903476,0.814043893951337
NaiveBayes,0.7948202519643628,0.33197552237144135,0.6166261801660804,0.594445537109909,0.16771885941838482,0.5900293262431839,0.4789458513589665,1.0,0.37692225400315116,0.43014872742374155
LightGBM,0.25127196326124757,0.06063889901977227,0.1857257695449852,0.535072489734935,0.9691375370159445,0.6364289039435452,0.6708823045903476,0.37692225400315116,1.0,0.7617123308478194
XGBoost,0.29376401545530384,0.05419281103946593,0.16715013436182335,0.6358915916371158,0.7551032841743616,0.7444554744990716,0.814043893951337,0.43014872742374155,0.7617123308478194,1.0
