Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
ADC_IB_MedianIntensity,ADC_IB_MedianIntensity,0.0899300978012619,2
Post2_Morph_Compacity,Post2_Morph_Compacity,0.05404036351584309,3
Post2_IH_IntensityHistogramMode_Intensity,Post2_IH_IntensityHistogramMode_Intensity,0.053958198387104556,2
Post2_IB_MaximumIntensity,Post2_IB_MaximumIntensity,0.04234790684732389,2
Pre_GLSZM_SmallZoneHighGreyLevelEmphasis,Pre_GLSZM_SmallZoneHighGreyLevelEmphasis,0.03790311649955005,2
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.036858735608671964,2
Pre_GLSZM_GreyLevelVariance,Pre_GLSZM_GreyLevelVariance,0.026675222721089704,2
ADC_Morph_SurfaceToVolumeRatio_cm,ADC_Morph_SurfaceToVolumeRatio_cm,0.022967679406565644,2
Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,0.021927193202055894,4
Post2_IB_50thIntensityPercentile,Post2_IB_50thIntensityPercentile,0.021270622910058122,2
Post2_IH_IntensityHistogram50thPercentile,Post2_IH_IntensityHistogram50thPercentile,0.01855220142709795,2
ADC_GLCM_ClusterTendency,ADC_GLCM_ClusterTendency,0.015511646526206554,2
ADC_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,ADC_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0.008554727399064882,2
Pre_IB_IntensitySkewness,Pre_IB_IntensitySkewness,0.004547492814489841,2
Post2_GLCM_Correlation,Post2_GLCM_Correlation,0.0,2
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.0,2
