,Pre_Morph_Compacity,Pre_Morph_Compactness1,Pre_Morph_Compactness2,Pre_Morph_SphericalDisproportion,Pre_Morph_Sphericity,Pre_Morph_Asphericity,T2_Morph_Compacity,T2_Morph_Compactness1,T2_Morph_Compactness2,T2_Morph_SphericalDisproportion,T2_Morph_Sphericity,T2_Morph_Asphericity
Pre_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
Pre_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
Pre_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
Pre_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
Pre_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
Pre_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
T2_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
T2_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
T2_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
T2_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
T2_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0
T2_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
