Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LogisticRegression,0.823529411764706,0.6923076923076923,0.7124183006535948,0.8992868725499394,0.8461538461538461,0.6470588235294118,0.7333333333333333,0.7777777777777778,0.7912631578947369
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_RBF,0.8235294117647058,0.6538461538461539,0.6830065359477124,0.8949974957760426,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.7777777777777778,0.786
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",SVM_Linear,0.8366013071895425,0.6538461538461539,0.6830065359477124,0.9001896796014444,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.7777777777777778,0.8281052631578948
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",RandomForest,0.8235294117647058,0.8076923076923077,0.8006535947712419,0.9221655795185206,0.875,0.8235294117647058,0.8484848484848485,0.7777777777777778,0.6943333333333332
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",GradientBoosting,0.8006535947712419,0.8076923076923077,0.8006535947712419,0.8898739392702242,0.875,0.8235294117647058,0.8484848484848485,0.7777777777777778,0.7465263157894737
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",ExtraTrees,0.8235294117647058,0.6538461538461539,0.7091503267973855,0.9114216435237197,0.9,0.5294117647058824,0.6666666666666666,0.8888888888888888,0.7263846153846154
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",KNN,0.7549019607843137,0.5769230769230769,0.6241830065359477,0.8666350018268177,0.8,0.47058823529411764,0.5925925925925926,0.7777777777777778,0.7622237762237762
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",NaiveBayes,0.738562091503268,0.6153846153846154,0.6274509803921569,0.8485570468201136,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.7386315789473685
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",XGBoost,0.8496732026143791,0.8076923076923077,0.8006535947712419,0.9085824377384479,0.875,0.8235294117647058,0.8484848484848485,0.7777777777777778,0.7295897435897436
1,90,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P1', 'P10', 'P16', 'P20', 'P22', 'P25', 'P3', 'P31', 'P35', 'P4', 'P5']",LightGBM,0.8496732026143791,0.7692307692307693,0.7450980392156863,0.9233383699524935,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.6666666666666666,0.6818041958041957
2,98,18,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",LogisticRegression,0.55,0.6666666666666666,0.7,0.7623428858722976,1.0,0.4,0.5714285714285714,1.0,0.6233626373626373
2,98,18,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P13', 'P14', 'P24', 'P26', 'P30', 'P33', 'P36', 'P40', 'P48', 'P7']",SVM_RBF,0.5875,0.6666666666666666,0.6875,0.7747088532382649,0.8333333333333334,0.5,0.625,0.875,0.7076117216117216
